panel,config_key,axis_label,method,effective_source_method,metric_name,absolute_value,normalized_radius,axis_min_method,axis_min_value,axis_max_method,axis_max_value,source_file_line,input_source_kind,input_snapshot
Pub Coordination,capetown_s100,capetown (s=100),random,random,focal_score_mean,,0,atom_tom1_mech,0.983035714286,oracle_focal,1.26508333333,未找到: 9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s100.json summary[random].focal_score_mean,git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s100,capetown (s=100),atom_tom1_mech,atom_tom1_mech,focal_score_mean,0.983035714286,0,atom_tom1_mech,0.983035714286,oracle_focal,1.26508333333,"9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s100.json:L183: ""focal_score_mean"": 0.9830357142857143,",git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s100,capetown (s=100),atom_tom2_mech,atom_tom2_mech,focal_score_mean,,0,atom_tom1_mech,0.983035714286,oracle_focal,1.26508333333,未找到: 9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s100.json summary[atom_tom2_mech].focal_score_mean,git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s100,capetown (s=100),econ_bne_mech,econ_bne_mech,focal_score_mean,1.04226587302,0.210000562778,atom_tom1_mech,0.983035714286,oracle_focal,1.26508333333,"9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s100.json:L175: ""focal_score_mean"": 1.042265873015873,",git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s100,capetown (s=100),llm_psrl_verbal,llm_psrl_verbal,focal_score_mean,,0,atom_tom1_mech,0.983035714286,oracle_focal,1.26508333333,未找到: analysis/llm_psrl_verbal/concordia_full_pub_capetown_s100_*_llmpsrl.json,git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s100,capetown (s=100),hpsmg_plus_joint_proxy,hpsmg_plus_joint_proxy,focal_score_mean,1.24833333333,0.940612865102,atom_tom1_mech,0.983035714286,oracle_focal,1.26508333333,"9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s100.json:L167: ""focal_score_mean"": 1.2483333333333333,",git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s100,capetown (s=100),oracle_focal,oracle_joint,focal_score_mean,1.26508333333,1,atom_tom1_mech,0.983035714286,oracle_focal,1.26508333333,"9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s100.json:L159: ""focal_score_mean"": 1.2650833333333333,",git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s30,capetown (s=30),random,random,focal_score_mean,,0,atom_tom1_mech,0.965,oracle_focal,1.27592592593,未找到: 9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s30.json summary[random].focal_score_mean,git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s30,capetown (s=30),atom_tom1_mech,atom_tom1_mech,focal_score_mean,0.965,0,atom_tom1_mech,0.965,oracle_focal,1.27592592593,"9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s30.json:L113: ""focal_score_mean"": 0.965,",git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s30,capetown (s=30),atom_tom2_mech,atom_tom2_mech,focal_score_mean,,0,atom_tom1_mech,0.965,oracle_focal,1.27592592593,未找到: 9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s30.json summary[atom_tom2_mech].focal_score_mean,git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s30,capetown (s=30),econ_bne_mech,econ_bne_mech,focal_score_mean,1.04388888889,0.253722453842,atom_tom1_mech,0.965,oracle_focal,1.27592592593,"9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s30.json:L105: ""focal_score_mean"": 1.0438888888888889,",git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s30,capetown (s=30),llm_psrl_verbal,llm_psrl_verbal,focal_score_mean,,0,atom_tom1_mech,0.965,oracle_focal,1.27592592593,未找到: analysis/llm_psrl_verbal/concordia_full_pub_capetown_s30_*_llmpsrl.json,git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s30,capetown (s=30),hpsmg_plus_joint_proxy,hpsmg_plus_joint_proxy,focal_score_mean,1.24722222222,0.907683144729,atom_tom1_mech,0.965,oracle_focal,1.27592592593,"9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s30.json:L97: ""focal_score_mean"": 1.2472222222222222,",git_blob_legacy_name,9e7f12b
Pub Coordination,capetown_s30,capetown (s=30),oracle_focal,oracle_joint,focal_score_mean,1.27592592593,1,atom_tom1_mech,0.965,oracle_focal,1.27592592593,"9e7f12b:analysis/concordia_pub_coordination_compact_capetown_mechanistic_joint_s30.json:L89: ""focal_score_mean"": 1.275925925925926,",git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_s30,edinburgh (s=30),random,random,focal_score_mean,,0,atom_tom1_mech,1.27,atom_tom1_mech,1.27,未找到: 9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_mechanistic_joint_s30.json summary[random].focal_score_mean,git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_s30,edinburgh (s=30),atom_tom1_mech,atom_tom1_mech,focal_score_mean,1.27,1,atom_tom1_mech,1.27,atom_tom1_mech,1.27,"9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_mechanistic_joint_s30.json:L89: ""focal_score_mean"": 1.27,",git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_s30,edinburgh (s=30),atom_tom2_mech,atom_tom2_mech,focal_score_mean,,0,atom_tom1_mech,1.27,atom_tom1_mech,1.27,未找到: 9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_mechanistic_joint_s30.json summary[atom_tom2_mech].focal_score_mean,git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_s30,edinburgh (s=30),econ_bne_mech,econ_bne_mech,focal_score_mean,1.27,1,atom_tom1_mech,1.27,atom_tom1_mech,1.27,"9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_mechanistic_joint_s30.json:L97: ""focal_score_mean"": 1.27,",git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_s30,edinburgh (s=30),llm_psrl_verbal,llm_psrl_verbal,focal_score_mean,,0,atom_tom1_mech,1.27,atom_tom1_mech,1.27,未找到: analysis/llm_psrl_verbal/concordia_full_pub_edinburgh_s30_*_llmpsrl.json,git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_s30,edinburgh (s=30),hpsmg_plus_joint_proxy,hpsmg_plus_joint_proxy,focal_score_mean,1.27,1,atom_tom1_mech,1.27,atom_tom1_mech,1.27,"9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_mechanistic_joint_s30.json:L105: ""focal_score_mean"": 1.27,",git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_s30,edinburgh (s=30),oracle_focal,oracle_joint,focal_score_mean,1.27,1,atom_tom1_mech,1.27,atom_tom1_mech,1.27,"9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_mechanistic_joint_s30.json:L121: ""focal_score_mean"": 1.27,",git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_closures_s30,edinburgh closures,random,random,focal_score_mean,,0,atom_tom1_mech,1.01321428571,oracle_focal,1.22574074074,未找到: 9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_closures_mechanistic_joint_s30.json summary[random].focal_score_mean,git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_closures_s30,edinburgh closures,atom_tom1_mech,atom_tom1_mech,focal_score_mean,1.01321428571,0,atom_tom1_mech,1.01321428571,oracle_focal,1.22574074074,"9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_closures_mechanistic_joint_s30.json:L121: ""focal_score_mean"": 1.0132142857142858,",git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_closures_s30,edinburgh closures,atom_tom2_mech,atom_tom2_mech,focal_score_mean,,0,atom_tom1_mech,1.01321428571,oracle_focal,1.22574074074,未找到: 9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_closures_mechanistic_joint_s30.json summary[atom_tom2_mech].focal_score_mean,git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_closures_s30,edinburgh closures,econ_bne_mech,econ_bne_mech,focal_score_mean,1.08649470899,0.344806124354,atom_tom1_mech,1.01321428571,oracle_focal,1.22574074074,"9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_closures_mechanistic_joint_s30.json:L105: ""focal_score_mean"": 1.086494708994709,",git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_closures_s30,edinburgh closures,llm_psrl_verbal,llm_psrl_verbal,focal_score_mean,,0,atom_tom1_mech,1.01321428571,oracle_focal,1.22574074074,未找到: analysis/llm_psrl_verbal/concordia_full_pub_edinburgh_closures_s30_*_llmpsrl.json,git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_closures_s30,edinburgh closures,hpsmg_plus_joint_proxy,hpsmg_plus_joint_proxy,focal_score_mean,1.20833333333,0.918092985623,atom_tom1_mech,1.01321428571,oracle_focal,1.22574074074,"9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_closures_mechanistic_joint_s30.json:L97: ""focal_score_mean"": 1.2083333333333333,",git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_closures_s30,edinburgh closures,oracle_focal,oracle_joint,focal_score_mean,1.22574074074,1,atom_tom1_mech,1.01321428571,oracle_focal,1.22574074074,"9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_closures_mechanistic_joint_s30.json:L89: ""focal_score_mean"": 1.2257407407407408,",git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_tough_friendship_s30,edinburgh tough fr.,random,random,focal_score_mean,,0,atom_tom1_mech,1.25333333333,atom_tom1_mech,1.25333333333,未找到: 9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_tough_friendship_mechanistic_joint_s30.json summary[random].focal_score_mean,git_blob_legacy_name,9e7f12b
Pub Coordination,edinburgh_tough_friendship_s30,edinburgh tough fr.,atom_tom1_mech,atom_tom1_mech,focal_score_mean,1.25333333333,1,atom_tom1_mech,1.25333333333,atom_tom1_mech,1.25333333333,"9e7f12b:analysis/concordia_pub_coordination_compact_edinburgh_tough_friendship_mechanistic_joint_s30.json:L89: ""focal_score_mean"": 1.2533333333333334,",git_blob_legacy_name,9e7f12b
