time,driver_id,request_id,action_code,synthetic_declined,actual_declined,intervened,reason,true_type,ptrue,rule_acc,long_trip,leaves_zone,home_ward,surge,pay,wait_time,travel_time,fare
29.0,1,0,0,False,False,True,accept,0010,0.05534158224241205,0.48568316448482407,0,0,0,1,2.616,50.0,261.0,2.616
149.0,2,2,0,False,False,True,accept,1011,0.06930332561222624,0.5136066512244525,0,0,0,1,1.359,15.0,135.0,1.359
149.0,5,1,0,False,False,True,accept,1110,0.05564727811524385,0.4862945562304877,0,0,0,1,1.425,111.0,142.0,1.425
389.0,2,3,0,False,False,True,accept,1011,0.07551683865891991,0.5260336773178398,0,0,0,1,0.979,101.0,97.0,0.979
389.0,4,4,3,True,True,True,zone_loyal,0111,0.23934337302060568,0.7386047903540113,0,1,0,1,2.697,221.0,269.0,2.697
389.0,1,4,0,False,False,True,accept,0010,0.07687234912973297,0.5270381111877069,0,1,0,1,2.697,230.0,269.0,2.697
509.0,4,5,0,False,False,True,accept,0111,0.2412486334621129,0.7406552836820303,0,0,0,1,1.882,117.0,188.0,1.882
749.0,7,6,2,True,True,True,avoid_long,1100,0.004028919874193666,0.5174116991253128,1,1,0,1,3.218,225.0,321.0,3.218
749.0,3,6,3,True,True,True,zone_loyal,0110,0.007950547837272837,0.49771564251009304,1,1,0,1,3.218,229.0,321.0,3.218
749.0,8,6,2,True,True,True,avoid_long,1110,0.004028919874193666,0.5174116991253128,1,1,0,1,3.218,230.0,321.0,3.218
749.0,2,6,2,True,True,True,avoid_long,1011,0.16897511436010898,0.6817962214335405,1,1,0,1,3.218,278.0,321.0,3.218
749.0,5,6,2,True,True,True,avoid_long,1110,0.003247038874967426,0.5165775144394172,1,1,0,1,3.218,279.0,321.0,3.218
749.0,6,6,0,False,False,True,accept,0001,0.17628581390735118,0.7100255782690634,1,1,0,1,3.218,381.0,321.0,3.218
869.0,2,7,0,False,False,True,accept,1011,0.16948526042585838,0.6824754303641258,0,0,0,1,2.144,95.0,214.0,2.144
989.0,1,8,0,False,False,True,accept,0010,0.06587060354993234,0.5127803345571688,0,0,0,1,1.328,89.0,132.0,1.328
989.0,5,9,2,True,True,True,avoid_long,1110,5.449945318616123e-05,0.5547158643668908,1,1,0,1,3.777,411.0,377.0,3.777
989.0,4,9,3,True,True,True,zone_loyal,0111,0.2793489813869841,0.7645561272635806,1,1,0,1,3.777,440.0,377.0,3.777
989.0,3,9,3,True,True,True,zone_loyal,0110,0.0002673943295735712,0.5291245677686277,1,1,0,1,3.777,477.0,377.0,3.777
989.0,8,9,2,True,True,True,avoid_long,1110,6.791708314071452e-05,0.5547277936766151,1,1,0,1,3.777,501.0,377.0,3.777
989.0,7,9,2,True,True,True,avoid_long,1100,6.791708314071452e-05,0.5547277936766152,1,1,0,1,3.777,517.0,377.0,3.777
989.0,6,9,0,False,False,True,accept,0001,0.22872199099892915,0.7393038101301342,1,1,0,1,3.777,521.0,377.0,3.777
1109.0,3,11,0,False,False,True,accept,0110,0.00021315791414441796,0.5290859335439491,0,0,0,1,1.875,120.0,187.0,1.875
1109.0,4,10,0,False,False,True,accept,0111,0.27938317815055563,0.7645818091686152,0,0,0,1,1.122,58.0,112.0,1.122
1109.0,8,12,0,False,False,True,accept,1110,5.3949472435793483e-05,0.5547153753915103,0,0,0,1,2.778,131.0,277.0,2.778
1349.0,5,13,0,False,False,True,accept,1110,4.392593998746943e-05,0.5547064636967093,0,0,0,1,1.26,108.0,126.0,1.26
1469.0,4,14,0,False,False,True,accept,0111,0.27941273792310767,0.7646040086750081,0,0,0,1,1.855,93.0,185.0,1.855
1589.0,3,15,0,False,False,True,accept,0110,0.0001705701076459201,0.5290555969726286,0,0,0,1,1.568,89.0,156.0,1.568
