horizon,beta,model,model_label,exploration_cost,exploration_cost_sem,ptrue,ptrue_sem,regret,regret_sem
16,0.0,gpt-5.4-mini-20260317,GPT-5.4-mini,1.7020977069645362,0.4554375386283088,0.43560122830942805,0.05053605472333133,2.8195887254368617,0.6264678008174188
16,0.0,DeepSeek-V3.2,DeepSeek-V3.2,1.7020977069645362,0.4554375386283088,0.4349256828261147,0.05012080607794539,2.813197266848708,0.6285219180635631
16,0.0,Kimi-K2.6,Kimi-K2.6,1.5314322473913897,0.3505353094887043,0.4136990876913231,0.04182146362588384,2.4539754192220355,0.36093379722326996
16,0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,1.961195531741905,0.2236100756732513,0.35097283814392066,0.032167082475733584,2.159908245312735,0.30793002242088774
16,0.1,gpt-5.4-mini-20260317,GPT-5.4-mini,2.1850924065377515,0.3112676534888576,0.32343490813292747,0.06720541353896303,1.9724026084367545,0.3841669630372464
16,0.1,DeepSeek-V3.2,DeepSeek-V3.2,2.2285851510629255,0.3492978707347926,0.3166059204555028,0.044092987599833336,1.9919600218797764,0.3014121536556783
16,0.1,Kimi-K2.6,Kimi-K2.6,2.2433111841743654,0.35855174864702305,0.2995484522847228,0.05475196759851987,2.0469949107772525,0.4382564067913089
16,0.1,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2.2633837295918897,0.38701014746405804,0.3118640824449279,0.060807327007989985,2.0823634874521426,0.4869828035517997
16,0.25,gpt-5.4-mini-20260317,GPT-5.4-mini,2.3950629635524034,0.40314659160839256,0.293173408162911,0.050754402521064765,2.042171881034442,0.3524844672708079
16,0.25,DeepSeek-V3.2,DeepSeek-V3.2,2.3592564033274295,0.39511357996691165,0.32067599899481747,0.04306555945977282,2.111580679582082,0.34874828410502723
16,0.25,Kimi-K2.6,Kimi-K2.6,2.3910199804669245,0.4040412356967546,0.2931816253879779,0.050761636090921,2.038381116469702,0.35260479291484653
16,0.25,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2.5268636939832616,0.3632378825387606,0.35284598492911823,0.07068138718061934,2.088965237743629,0.4377491567095668
24,0.0,gpt-5.4-mini-20260317,GPT-5.4-mini,2.0460413886566635,0.5444410743194252,0.46666774980752807,0.06345535125285331,3.1276018705964086,0.7646891743042912
24,0.0,DeepSeek-V3.2,DeepSeek-V3.2,1.7897707472434106,0.40890248367558435,0.42571703325536825,0.04261848798119886,2.6118738185479597,0.40574719672475246
24,0.0,Kimi-K2.6,Kimi-K2.6,1.797339952505998,0.4138545790658038,0.423126529801895,0.04444117288308007,2.683117147829055,0.43582587289332875
24,0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2.25431924453238,0.24352448507375488,0.3791759800088485,0.024448924458620413,2.318579597553968,0.3900292228186395
24,0.1,gpt-5.4-mini-20260317,GPT-5.4-mini,2.954541579057693,0.439546686753183,0.34851377393918936,0.052634634442374026,2.4811070407260187,0.5754254671992824
24,0.1,DeepSeek-V3.2,DeepSeek-V3.2,2.8080849049669148,0.36168581243552983,0.37817223212519663,0.0686240198978664,2.2401298392843305,0.42375301355792544
