model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,live_parse_ok_rate
DeepSeek-V3.2,live_atom_adaptive_hedge,5,3.354983333333333,3.1172420798048925,3.4807469322850055,0.0625,0.5,1.0
DeepSeek-V3.2,live_atom_tom0,5,3.502923333333333,2.7853303836524033,2.4682203993405345,0.0625,0.5,1.0
DeepSeek-V3.2,live_atom_tom1,5,3.10794,3.5263032466177586,3.2563691872529406,0.0625,0.5,0.975
DeepSeek-V3.2,live_econ_bne,5,3.63651,2.7714136871757757,2.7345470135629473,0.0625,0.5,0.975
DeepSeek-V3.2,live_joint_psrl,5,3.66757,2.7489706939074043,2.7882953091776708,0.5310344993373518,0.842458836952401,0.725
DeepSeek-V3.2,live_llm_belief,5,3.4467533333333336,2.9080833159586685,2.801759508896615,0.0625,0.5,1.0
DeepSeek-V3.2,live_llm_greedy,5,3.465356666666667,3.040495685264578,2.559351040313847,0.0625,0.5,1.0
DeepSeek-V3.2,live_map_greedy,5,3.799596666666667,2.4665072056999433,2.336229311435755,0.5929365627630909,0.883089002912811,0.775
DeepSeek-V3.2,live_pact,5,3.2784933333333326,2.6331449430572365,2.379988531401363,0.42358683820095494,0.8053064924943627,0.925
DeepSeek-V3.2,live_pact_plus,5,3.414086666666667,3.2264221071983195,2.6620671424525506,0.6043416405042487,0.8696389184899388,0.975
DeepSeek-V3.2,live_psrl_notype,5,3.2195233333333335,3.091006172704345,3.035348596417001,0.0625,0.5,0.975
Kimi-K2.6,live_atom_adaptive_hedge,5,4.093733333333333,2.3938074034202796,3.250462567663952,0.0625,0.5,0.6
Kimi-K2.6,live_atom_tom0,5,3.5507999999999997,2.7409367997675007,2.728183834969646,0.0625,0.5,0.975
Kimi-K2.6,live_atom_tom1,5,3.3554966666666663,3.231078916599343,2.9454620850775735,0.0625,0.5,0.725
Kimi-K2.6,live_econ_bne,5,3.22657,3.3483542449249057,3.2875746074242302,0.0625,0.5,0.825
Kimi-K2.6,live_joint_psrl,5,4.049406666666666,2.33237743169477,2.424288170612955,0.6341290464224095,0.8949125974279412,0.45
Kimi-K2.6,live_llm_belief,5,3.5071799999999995,3.1424783812970842,2.8835127341317532,0.0625,0.5,0.9
Kimi-K2.6,live_llm_greedy,5,2.870076666666667,3.2521562150310914,2.848165394516922,0.0625,0.5,0.95
Kimi-K2.6,live_map_greedy,5,3.624693333333333,2.7872782432032146,2.828729271545263,0.5128984081173222,0.8534725656706621,0.675
Kimi-K2.6,live_pact,5,4.362243333333334,2.3728785878752925,2.6355210963959115,0.6095140219906058,0.8944119127314657,0.625
Kimi-K2.6,live_pact_plus,5,3.9416700000000007,2.6779203377957366,2.5051921112581237,0.6915250840314352,0.9103612932552199,0.65
