model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,live_parse_ok_rate
DeepSeek-V3.2,live_atom_adaptive_hedge,5,10.893663333333333,5.017527818236718,4.379342149611097,0.0625,0.5,0.925
DeepSeek-V3.2,live_atom_tom0,5,10.94495,4.932855254743004,4.269426979001342,0.0625,0.5,1.0
DeepSeek-V3.2,live_atom_tom1,5,10.102703333333332,5.643820851083473,3.720931963784176,0.0625,0.5,0.95
DeepSeek-V3.2,live_econ_bne,5,11.623413333333332,4.472975170071455,4.200304790361766,0.0625,0.5,1.0
DeepSeek-V3.2,live_joint_psrl,5,11.428026666666666,4.631846162214567,4.588693087079403,0.5274627576155282,0.8719955851679355,0.65
DeepSeek-V3.2,live_llm_belief,5,11.110523333333333,5.2991213773911054,4.4032178743781785,0.0625,0.5,0.95
DeepSeek-V3.2,live_llm_greedy,5,10.551483333333334,5.050380886070249,4.062872246035829,0.0625,0.5,1.0
DeepSeek-V3.2,live_map_greedy,5,10.700536666666666,5.385259571588643,5.728188083587154,0.5061060574836026,0.8582418725538229,0.85
DeepSeek-V3.2,live_pact,5,11.11235,5.009663048776955,4.507978805213594,0.6086870532089476,0.8897310739752559,0.85
DeepSeek-V3.2,live_pact_plus,5,11.300396666666668,5.007023831007013,4.901920073216088,0.5674691899531064,0.8831502832242155,0.875
DeepSeek-V3.2,live_psrl_notype,5,10.271986666666667,5.205823154810647,3.839099063446335,0.0625,0.5,0.725
Kimi-K2.6,live_atom_adaptive_hedge,5,11.035146666666666,4.938543101197057,4.212064067934041,0.0625,0.5,0.625
Kimi-K2.6,live_atom_tom0,5,11.492206666666666,4.885686252131121,3.9127838856611312,0.0625,0.5,0.95
Kimi-K2.6,live_atom_tom1,5,10.297339999999998,5.269635887097339,4.145633477043969,0.0625,0.5,0.675
Kimi-K2.6,live_econ_bne,5,10.956539999999999,5.157943446694079,4.965278246378683,0.0625,0.5,0.65
Kimi-K2.6,live_joint_psrl,5,11.35478,4.644924871409855,4.362335630109671,0.5323461977770687,0.8596745285035402,0.325
Kimi-K2.6,live_llm_belief,5,11.712033333333332,4.078731547125694,4.3330992639936285,0.0625,0.5,0.65
Kimi-K2.6,live_llm_greedy,5,10.615966666666665,5.209844686455801,4.60749966766767,0.0625,0.5,1.0
Kimi-K2.6,live_map_greedy,5,11.516580000000001,4.635949154455388,4.96182271832052,0.3962039821625686,0.8214241096614128,0.6
Kimi-K2.6,live_pact,5,11.194263333333334,4.574378775154196,4.837229436309785,0.45667889511307536,0.8406708319342396,0.425
Kimi-K2.6,live_pact_plus,5,11.093633333333333,5.2017959453979135,5.657353415117699,0.4812366070002027,0.8516255527225631,0.4
Kimi-K2.6,live_psrl_notype,5,10.326076666666667,5.196521416668954,4.053876296235105,0.0625,0.5,0.775
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,5,10.573753333333332,5.276225446945501,4.523432190196454,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,5,11.576713333333334,4.701177779153371,4.790196391706898,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,5,10.729893333333333,5.309869900013477,4.411814891828256,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,5,10.47764,5.487525034260431,4.3271140405166095,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_joint_psrl,5,10.399976666666667,5.3179218717705705,4.940495413227319,0.46386347566099395,0.8423780878936793,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,5,10.65223,5.083333608817829,4.527839955014622,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,5,11.654393333333333,4.6873390713108645,4.505259781558235,0.0625,0.5,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_map_greedy,5,10.9148,4.833085729784754,5.024567479670607,0.5844677388515283,0.8738747969013069,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact,5,10.730846666666666,4.7028980741177016,5.0982977490946695,0.5640302653402275,0.8459155443966158,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,10.753553333333334,5.302889706304008,4.868993534545709,0.5683838791920699,0.8833079430083522,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_psrl_notype,5,11.324656666666666,4.956301911016435,4.211451030102335,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_atom_adaptive_hedge,5,10.86056,5.101536746600596,4.015166538239834,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_atom_tom0,5,10.83832,4.946332451097961,4.14226388178259,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_atom_tom1,5,10.357153333333333,5.398293652538086,4.19513854667239,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_econ_bne,5,10.40094,5.446847290905881,4.282044114118097,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_joint_psrl,5,10.118013333333334,6.061051258233446,5.550957064921247,0.5256268196626475,0.8578661098269282,1.0
gpt-5.4-mini-20260317,live_llm_belief,5,12.01403,3.9726366623871505,4.073022809490892,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_llm_greedy,5,11.050183333333333,5.039442627706579,4.218475376696002,0.0625,0.5,1.0
gpt-5.4-mini-20260317,live_map_greedy,5,11.01198,4.651548876228183,4.9462182664246495,0.5062514664425144,0.8363704948286568,1.0
gpt-5.4-mini-20260317,live_pact,5,10.569819999999998,5.282517574284952,5.323266389333352,0.4313134364367296,0.8302806176051067,1.0
gpt-5.4-mini-20260317,live_pact_plus,5,9.980406666666667,5.692043836751745,5.568621542578201,0.5168105037885415,0.8577953332989393,1.0
gpt-5.4-mini-20260317,live_psrl_notype,5,9.919636666666666,5.669132964005503,4.322046243872803,0.0625,0.5,1.0
