beta,model,model_label,regret,regret_sem,reward,reward_sem,p_true,rule_acc,parse
0.0,gpt-5.4-mini-20260317,GPT-5.4-mini,2.5268738456695106,0.5404680488650656,13.208103333333332,0.8042171847586389,0.43043159883660403,0.8072179749964894,1.0
0.0,DeepSeek-V3.2,DeepSeek-V3.2,2.533265304257664,0.5389274793173627,13.202556666666666,0.7987631204382322,0.43109422972746403,0.807411934052154,1.0
0.0,Kimi-K2.6,Kimi-K2.6,2.331573747950307,0.6286561449702829,13.490723333333332,0.8235905736232724,0.3867513000308171,0.7994531219372923,1.0
0.0,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2.0902084544562376,0.2744801734853403,13.863286666666664,1.2162177973971415,0.3631473816830185,0.7828707359883774,1.0
0.025,gpt-5.4-mini-20260317,GPT-5.4-mini,2.1746150530998105,0.5581852955758001,13.661326666666668,0.8159512781716808,0.3893541208537181,0.7797017492533297,1.0
0.025,DeepSeek-V3.2,DeepSeek-V3.2,2.1746150530998105,0.5581852955758001,13.661326666666668,0.8159512781716808,0.3893541208537181,0.7797017492533297,1.0
0.025,Kimi-K2.6,Kimi-K2.6,2.112734232482498,0.5972721998657992,13.567153333333332,0.8011920986428769,0.3697073630807825,0.7891138501749012,1.0
0.025,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,1.7379496618865378,0.13377169452725593,14.31651,1.1617765497958523,0.3220699037001326,0.7553545102452177,1.0
0.05,gpt-5.4-mini-20260317,GPT-5.4-mini,1.527642294822345,0.19517838940237045,14.380503333333332,0.7901756540373369,0.29108626313991126,0.7371693138643238,1.0
0.05,DeepSeek-V3.2,DeepSeek-V3.2,1.542453911691684,0.19694714422139453,14.368170000000001,0.7900048672916163,0.2912958326998702,0.737278878786078,1.0
0.05,Kimi-K2.6,Kimi-K2.6,1.6610615719242354,0.2113859780003052,14.003709999999998,0.8457331211177409,0.31511980417276264,0.7543462678450924,1.0
0.05,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,1.5783506308590218,0.20938336166409363,14.52689,0.978706905161658,0.25209154121929717,0.7292174131704012,1.0
0.1,gpt-5.4-mini-20260317,GPT-5.4-mini,1.5447362683248511,0.1982634375656407,14.264083333333332,0.728474305960371,0.2749730057803428,0.7264753154254794,1.0
0.1,DeepSeek-V3.2,DeepSeek-V3.2,1.5447362683248511,0.1982634375656407,14.264083333333332,0.728474305960371,0.2749730057803428,0.7264753154254794,1.0
0.1,Kimi-K2.6,Kimi-K2.6,1.7118523473344787,0.21373723846284085,13.858856666666664,0.770278569912643,0.2931930182977579,0.740655224808523,1.0
0.1,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,1.7182416505131957,0.32103799326804383,14.378246666666666,0.9720177591741824,0.29084514170020587,0.7478265177573471,1.0
0.2,gpt-5.4-mini-20260317,GPT-5.4-mini,1.8303019798369207,0.25081552209238595,14.12197,0.6836446787744834,0.3119849968355398,0.7378006809036457,1.0
0.2,DeepSeek-V3.2,DeepSeek-V3.2,1.776018251900781,0.2314221204511562,14.236266666666666,0.7276958932708999,0.31767206929404534,0.7408779045617475,1.0
0.2,Kimi-K2.6,Kimi-K2.6,1.8303019798369207,0.25081552209238595,14.12197,0.6836446787744834,0.3119849968355398,0.7378006809036457,1.0
0.2,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2.0164074410776536,0.34200042891150617,14.05756333333333,1.1828239234678068,0.37934504308247063,0.7765834865889991,1.0
0.4,gpt-5.4-mini-20260317,GPT-5.4-mini,2.25385456155906,0.408874331411304,13.754833333333332,1.1428465344262102,0.3615897316305115,0.7562907633975017,1.0
0.4,DeepSeek-V3.2,DeepSeek-V3.2,2.25385456155906,0.408874331411304,13.754833333333332,1.1428465344262102,0.36158973163051156,0.7562907633975017,1.0
0.4,Kimi-K2.6,Kimi-K2.6,2.25385456155906,0.408874331411304,13.754833333333332,1.1428465344262102,0.3615897316305115,0.7562907633975017,1.0
0.4,Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-Maverick,2.06914892563188,0.30223984268640697,14.012926666666667,1.1777229462988685,0.3951751824107623,0.78489111795,1.0
