family,p,episodes,focal_score_mean,focal_score_sem
craigslist_bargains,0.0,80,2.6651785714285716,0.07387966459371953
craigslist_bargains,0.1,80,2.658035714285714,0.07552337994961014
craigslist_bargains,0.2,80,2.6026785714285716,0.07221363050895521
craigslist_bargains,0.25,80,2.7,0.08025686932359365
craigslist_bargains,0.3,80,2.6419642857142858,0.07576670186991709
craigslist_bargains,0.5,80,2.6125,0.07920767178724598
donate_funds,0.0,20,3.2285714285714286,0.12081890292489092
donate_funds,0.1,20,3.3571428571428577,0.13700415918796513
donate_funds,0.2,20,3.117857142857143,0.1695285527060246
donate_funds,0.25,20,3.4285714285714284,0.14266904910492212
donate_funds,0.3,20,3.4607142857142863,0.11429452503631153
donate_funds,0.5,20,3.389285714285714,0.1323662002021714
revenge_plot,0.0,20,2.742857142857143,0.10238823777773956
revenge_plot,0.1,20,2.8642857142857148,0.1260722006834862
revenge_plot,0.2,20,2.675,0.12047112583091787
revenge_plot,0.25,20,2.778571428571428,0.11245001276375775
revenge_plot,0.3,20,2.7785714285714285,0.07308235867363495
revenge_plot,0.5,20,2.8892857142857147,0.1103498732306446
