model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,true_types
analytic-mixed,0.0,91000,pact_factored,1,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.4865147412310144,0|2|1
analytic-mixed,0.0,91000,pact_factored,2,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.6109410024591805,0|2|1
analytic-mixed,0.0,91000,pact_factored,3,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.6988172651543142,0|2|1
analytic-mixed,0.0,91000,pact_factored,4,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.7666265070576999,0|2|1
analytic-mixed,0.0,91000,pact_factored,5,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.8197098898262579,0|2|1
analytic-mixed,0.0,91000,pact_factored,6,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.8609757669022384,0|2|1
analytic-mixed,0.0,91000,pact_factored,7,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.8927724015251566,0|2|1
analytic-mixed,0.0,91000,pact_factored,8,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.9171380619291799,0|2|1
analytic-mixed,0.0,91000,pact_factored,9,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.9357764936406084,0|2|1
analytic-mixed,0.0,91000,pact_factored,10,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.9500492824762992,0|2|1
analytic-mixed,0.0,91000,joint_psrl_coupled,1,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.113322628683704,0|2|1
analytic-mixed,0.0,91000,joint_psrl_coupled,2,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.22301981726929523,0|2|1
analytic-mixed,0.0,91000,joint_psrl_coupled,3,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.3344066908545175,0|2|1
analytic-mixed,0.0,91000,joint_psrl_coupled,4,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.44317630479977527,0|2|1
analytic-mixed,0.0,91000,joint_psrl_coupled,5,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.5437402699744421,0|2|1
analytic-mixed,0.0,91000,joint_psrl_coupled,6,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.6320198217573785,0|2|1
analytic-mixed,0.0,91000,joint_psrl_coupled,7,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.7064290915844791,0|2|1
analytic-mixed,0.0,91000,joint_psrl_coupled,8,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.7673654541452789,0|2|1
analytic-mixed,0.0,91000,joint_psrl_coupled,9,0.0,0.0,124,124,1.8302529467499458,1.8302529467499458,0.8163260170037842,0|2|1
