veh,pos,t,event,paxes
1,44994287.0,0,STARTS_DAY,[]
1,44994287.0,0,OPENS_APP,[]
1,44994287.0,122,RECEIVES_REQUEST,[]
1,44994287.0,122,ACCEPTS_REQUEST,[]
1,44994287.0,142,IS_ACCEPTED_BY_TRAVELLER,[]
1,45016272.0,190,ARRIVES_AT_PICKUP,[]
1,45016272.0,190,MEETS_TRAVELLER_AT_PICKUP,[]
1,45016272.0,220,DEPARTS_FROM_PICKUP,[2]
1,2502710379.0,454,ARRIVES_AT_DROPOFF,[2]
1,2502710379.0,482,RECEIVES_REQUEST,[]
1,2502710379.0,482,ACCEPTS_REQUEST,[]
1,2502710379.0,502,IS_ACCEPTED_BY_TRAVELLER,[]
1,44998194.0,538,ARRIVES_AT_PICKUP,[]
1,44998194.0,538,MEETS_TRAVELLER_AT_PICKUP,[]
1,44998194.0,568,DEPARTS_FROM_PICKUP,[8]
1,522125215.0,795,ARRIVES_AT_DROPOFF,[8]
1,522125215.0,1562,RECEIVES_REQUEST,[]
1,522125215.0,1562,ACCEPTS_REQUEST,[]
1,522125215.0,1582,IS_ACCEPTED_BY_TRAVELLER,[]
1,45017813.0,1607,ARRIVES_AT_PICKUP,[]
1,45017813.0,1607,MEETS_TRAVELLER_AT_PICKUP,[]
1,45017813.0,1637,DEPARTS_FROM_PICKUP,[18]
1,306568311.0,1804,ARRIVES_AT_DROPOFF,[18]
1,306568311.0,2402,RECEIVES_REQUEST,[]
1,306568311.0,2402,REJECTS_REQUEST,[]
1,306568311.0,2882,RECEIVES_REQUEST,[]
1,306568311.0,2882,ACCEPTS_REQUEST,[]
1,306568311.0,2902,IS_ACCEPTED_BY_TRAVELLER,[]
1,44978594.0,3058,ARRIVES_AT_PICKUP,[]
1,44978594.0,3058,MEETS_TRAVELLER_AT_PICKUP,[]
1,44978594.0,3088,DEPARTS_FROM_PICKUP,[34]
1,510841574.0,3355,ARRIVES_AT_DROPOFF,[34]
1,510841574.0,10799,ENDS_SHIFT,[]
2,493799198.0,0,STARTS_DAY,[]
2,493799198.0,0,OPENS_APP,[]
2,493799198.0,2,RECEIVES_REQUEST,[]
2,493799198.0,15,ACCEPTS_REQUEST,[]
2,493799198.0,35,IS_ACCEPTED_BY_TRAVELLER,[]
2,472323871.0,46,ARRIVES_AT_PICKUP,[]
2,472323871.0,46,MEETS_TRAVELLER_AT_PICKUP,[]
2,472323871.0,76,DEPARTS_FROM_PICKUP,[0]
2,4290089185.0,259,ARRIVES_AT_DROPOFF,[0]
2,4290089185.0,362,RECEIVES_REQUEST,[]
2,4290089185.0,362,ACCEPTS_REQUEST,[]
2,4290089185.0,382,IS_ACCEPTED_BY_TRAVELLER,[]
2,2273226090.0,421,ARRIVES_AT_PICKUP,[]
2,2273226090.0,421,MEETS_TRAVELLER_AT_PICKUP,[]
2,2273226090.0,451,DEPARTS_FROM_PICKUP,[6]
2,45023685.0,558,ARRIVES_AT_DROPOFF,[6]
2,45023685.0,842,RECEIVES_REQUEST,[]
2,45023685.0,852,ACCEPTS_REQUEST,[]
2,45023685.0,872,IS_ACCEPTED_BY_TRAVELLER,[]
2,1665808438.0,902,ARRIVES_AT_PICKUP,[]
2,1665808438.0,902,MEETS_TRAVELLER_AT_PICKUP,[]
2,1665808438.0,932,DEPARTS_FROM_PICKUP,[12]
2,441422918.0,1131,ARRIVES_AT_DROPOFF,[12]
2,441422918.0,1682,RECEIVES_REQUEST,[]
2,441422918.0,1682,ACCEPTS_REQUEST,[]
2,441422918.0,1702,IS_ACCEPTED_BY_TRAVELLER,[]
2,838045975.0,1722,ARRIVES_AT_PICKUP,[]
2,838045975.0,1722,MEETS_TRAVELLER_AT_PICKUP,[]
2,838045975.0,1752,DEPARTS_FROM_PICKUP,[20]
2,1665808435.0,1940,ARRIVES_AT_DROPOFF,[20]
2,1665808435.0,2042,RECEIVES_REQUEST,[]
2,1665808435.0,2045,ACCEPTS_REQUEST,[]
2,1665808435.0,2065,IS_ACCEPTED_BY_TRAVELLER,[]
2,2273226088.0,2178,ARRIVES_AT_PICKUP,[]
2,2273226088.0,2178,MEETS_TRAVELLER_AT_PICKUP,[]
2,2273226088.0,2208,DEPARTS_FROM_PICKUP,[25]
2,44991812.0,2347,ARRIVES_AT_DROPOFF,[25]
2,44991812.0,2402,RECEIVES_REQUEST,[]
2,44991812.0,2402,ACCEPTS_REQUEST,[]
2,44991812.0,2422,IS_ACCEPTED_BY_TRAVELLER,[]
2,44991818.0,2466,ARRIVES_AT_PICKUP,[]
2,44991818.0,2466,MEETS_TRAVELLER_AT_PICKUP,[]
2,44991818.0,2496,DEPARTS_FROM_PICKUP,[30]
2,45009477.0,2548,ARRIVES_AT_DROPOFF,[30]
2,45009477.0,2882,RECEIVES_REQUEST,[]
2,45009477.0,2882,ACCEPTS_REQUEST,[]
2,45009477.0,2902,IS_ACCEPTED_BY_TRAVELLER,[]
2,552348325.0,2958,ARRIVES_AT_PICKUP,[]
2,552348325.0,2958,MEETS_TRAVELLER_AT_PICKUP,[]
2,552348325.0,2988,DEPARTS_FROM_PICKUP,[35]
2,44996087.0,3170,ARRIVES_AT_DROPOFF,[35]
2,44996087.0,3362,RECEIVES_REQUEST,[]
2,44996087.0,3362,ACCEPTS_REQUEST,[]
2,44996087.0,3382,IS_ACCEPTED_BY_TRAVELLER,[]
2,1552542881.0,3504,ARRIVES_AT_PICKUP,[]
2,1552542881.0,3504,MEETS_TRAVELLER_AT_PICKUP,[]
2,1552542881.0,3534,DEPARTS_FROM_PICKUP,[39]
2,45006627.0,3718,ARRIVES_AT_DROPOFF,[39]
2,45006627.0,10799,ENDS_SHIFT,[]
3,44994279.0,0,STARTS_DAY,[]
3,44994279.0,0,OPENS_APP,[]
3,44994279.0,122,RECEIVES_REQUEST,[]
3,44994279.0,122,ACCEPTS_REQUEST,[]
