pax,pos,t,event,veh_id
0,44995668,0,STARTS_DAY,
0,44995668,0,REQUESTS_RIDE,
0,44995668,59,RECEIVES_OFFER,
0,44995668,59,ACCEPTS_OFFER,
0,44995668,79,ARRIVES_AT_PICKUP,6.0
0,44995668,79,MEETS_DRIVER_AT_PICKUP,6.0
0,44995668,109,DEPARTS_FROM_PICKUP,6.0
0,44992299,183,ARRIVES_AT_DROPOFF,6.0
0,44992299,193,SETS_OFF_FOR_DEST,
0,44992299,193,ARRIVES_AT_DEST,
1,45028722,0,STARTS_DAY,
1,45028722,26,REQUESTS_RIDE,
1,45028722,59,RECEIVES_OFFER,
1,45028722,59,REJECTS_OFFER,
2,44969500,0,STARTS_DAY,
2,44969500,38,REQUESTS_RIDE,
2,44969500,59,RECEIVES_OFFER,
2,44969500,59,REJECTS_OFFER,
3,45006627,0,STARTS_DAY,
3,45006627,65,REQUESTS_RIDE,
3,45006627,179,RECEIVES_OFFER,
3,45006627,179,ACCEPTS_OFFER,
3,45006627,199,ARRIVES_AT_PICKUP,7.0
3,45006627,261,MEETS_DRIVER_AT_PICKUP,7.0
3,45006627,291,DEPARTS_FROM_PICKUP,7.0
3,4290089183,360,ARRIVES_AT_DROPOFF,7.0
3,4290089183,370,SETS_OFF_FOR_DEST,
3,4290089183,370,ARRIVES_AT_DEST,
4,541199371,0,STARTS_DAY,
4,541199371,70,REQUESTS_RIDE,
4,541199371,179,RECEIVES_OFFER,
4,541199371,179,REJECTS_OFFER,
5,44982385,0,STARTS_DAY,
5,44982385,180,REQUESTS_RIDE,
5,44982385,299,RECEIVES_OFFER,
5,44982385,299,ACCEPTS_OFFER,
5,44982385,319,ARRIVES_AT_PICKUP,3.0
5,44982385,352,MEETS_DRIVER_AT_PICKUP,3.0
5,44982385,382,DEPARTS_FROM_PICKUP,3.0
5,45002624,499,ARRIVES_AT_DROPOFF,3.0
5,45002624,509,SETS_OFF_FOR_DEST,
5,45002624,509,ARRIVES_AT_DEST,
6,45011501,0,STARTS_DAY,
