seed,tracker,beta,utility,snapshots,assignments,served,driver_rejects,passenger_rejects,assignment_changes_vs_pact,compared_snapshots,mean_selected_bonus
0,pact,0.0,39.35999999999999,39,56,33,7,16,0,0,0.0
0,pact_plus,0.25,39.35999999999999,39,56,33,7,16,0,39,0.47820119078689444
1,pact,0.0,24.74000000000001,40,62,25,12,25,0,0,0.0
1,pact_plus,0.25,24.74000000000001,40,62,25,12,25,0,40,0.6115600038979833
2,pact,0.0,64.28999999999999,32,49,38,5,6,0,0,0.0
2,pact_plus,0.25,61.820000000000014,32,49,37,5,7,1,32,0.6452372889223619
3,pact,0.0,36.47,35,54,30,7,17,0,0,0.0
3,pact_plus,0.25,36.47,35,54,30,7,17,1,35,0.7309562551766479
4,pact,0.0,-36.16,45,76,26,40,10,0,0,0.0
4,pact_plus,0.25,-36.16,45,76,26,40,10,1,45,0.5915076312213478
5,pact,0.0,37.14000000000001,52,75,42,17,16,0,0,0.0
5,pact_plus,0.25,37.14000000000001,52,75,42,17,16,0,52,0.564310783147832
6,pact,0.0,31.359999999999992,32,61,33,19,9,0,0,0.0
6,pact_plus,0.25,31.359999999999992,32,61,33,19,9,0,32,0.666628671228023
7,pact,0.0,31.069999999999997,36,64,34,24,6,0,0,0.0
7,pact_plus,0.25,31.069999999999997,36,64,34,24,6,0,36,0.7153606203687851
8,pact,0.0,-32.789999999999985,64,92,31,51,10,0,0,0.0
8,pact_plus,0.25,-32.789999999999985,64,92,31,51,10,1,64,0.4333457207572418
9,pact,0.0,80.58999999999999,31,52,41,3,8,0,0,0.0
9,pact_plus,0.25,80.58999999999999,31,52,41,3,8,0,31,0.6820282176913507
