variant,seed,episode,cum_regret
full,0,1,0.0
full,0,2,0.0
full,0,3,0.0
full,0,4,0.0
full,0,5,0.0
full,0,6,0.0
full,0,7,0.0
full,0,8,0.0
full,0,9,0.0
full,0,10,0.0
full,0,11,0.0
full,0,12,0.0
full,0,13,0.0
full,0,14,0.0
full,0,15,0.0
full,0,16,0.0
full,0,17,0.0
full,0,18,0.0
full,0,19,0.0
full,0,20,0.0
full,1,1,0.0
full,1,2,0.0
full,1,3,0.0
full,1,4,0.0
full,1,5,0.0
full,1,6,0.0
full,1,7,0.0
full,1,8,0.0
full,1,9,0.0
full,1,10,0.0
full,1,11,0.0
full,1,12,0.0
full,1,13,0.0
full,1,14,0.0
full,1,15,0.0
full,1,16,0.0
full,1,17,0.0
full,1,18,0.0
full,1,19,0.0
full,1,20,0.0
full,2,1,0.0
full,2,2,0.0
full,2,3,0.0
full,2,4,0.0
full,2,5,0.0
full,2,6,0.0
full,2,7,0.0
full,2,8,0.0
full,2,9,0.0
full,2,10,0.0
full,2,11,0.0
full,2,12,0.0
full,2,13,0.0
full,2,14,0.0
full,2,15,0.0
full,2,16,0.0
full,2,17,0.0
full,2,18,0.0
full,2,19,0.0
full,2,20,0.0
full,3,1,0.005121318554894394
full,3,2,0.010242637109788788
full,3,3,0.015363955664683182
full,3,4,0.020485274219577576
full,3,5,0.02560659277447197
full,3,6,0.030727911329366364
full,3,7,0.03584922988426076
full,3,8,0.04097054843915515
full,3,9,0.046091866994049546
full,3,10,0.05121318554894394
full,3,11,0.05121318554894394
full,3,12,0.05121318554894394
full,3,13,0.05121318554894394
full,3,14,0.05121318554894394
full,3,15,0.05121318554894394
full,3,16,0.05121318554894394
full,3,17,0.05121318554894394
full,3,18,0.05121318554894394
full,3,19,0.05121318554894394
full,3,20,0.05121318554894394
full,4,1,0.03449396343616895
full,4,2,0.03449396343616895
full,4,3,0.03449396343616895
full,4,4,0.03449396343616895
full,4,5,0.03449396343616895
full,4,6,0.03449396343616895
full,4,7,0.03449396343616895
full,4,8,0.03449396343616895
full,4,9,0.03449396343616895
full,4,10,0.03449396343616895
full,4,11,0.03449396343616895
full,4,12,0.03449396343616895
full,4,13,0.03449396343616895
full,4,14,0.03449396343616895
full,4,15,0.03449396343616895
full,4,16,0.03449396343616895
full,4,17,0.03449396343616895
full,4,18,0.03449396343616895
full,4,19,0.03449396343616895
full,4,20,0.03449396343616895
full,5,1,0.0
full,5,2,0.0
full,5,3,0.0007787718351064399
full,5,4,0.0015575436702128798
full,5,5,0.0023363155053193196
full,5,6,0.0031150873404257595
full,5,7,0.0038938591755321994
full,5,8,0.004672631010638639
full,5,9,0.005451402845745079
full,5,10,0.006230174680851519
full,5,11,0.007008946515957959
full,5,12,0.007787718351064399
full,5,13,0.008566490186170839
full,5,14,0.009345262021277279
full,5,15,0.010124033856383718
full,5,16,0.010902805691490158
full,5,17,0.011681577526596598
full,5,18,0.012460349361703038
full,5,19,0.013239121196809478
full,5,20,0.014017893031915918
full,6,1,0.0
full,6,2,0.0
full,6,3,0.0
full,6,4,0.0
full,6,5,0.0
full,6,6,0.0
full,6,7,0.0
full,6,8,0.0
full,6,9,0.0
full,6,10,0.0
full,6,11,0.0
full,6,12,0.0
full,6,13,0.0
full,6,14,0.0
full,6,15,0.0
full,6,16,0.0
full,6,17,0.0
full,6,18,0.0
full,6,19,0.0
full,6,20,0.0
full,7,1,0.0
full,7,2,0.0
full,7,3,0.0
full,7,4,0.0
full,7,5,0.0
full,7,6,0.0
full,7,7,0.0
full,7,8,0.0
full,7,9,0.0
full,7,10,0.0
full,7,11,0.0
full,7,12,0.0
full,7,13,0.0
full,7,14,0.0
full,7,15,0.0
full,7,16,0.0
full,7,17,0.0
full,7,18,0.0
full,7,19,0.0
full,7,20,0.0
full,8,1,0.0
full,8,2,0.0
full,8,3,0.0
full,8,4,0.0
full,8,5,0.0
full,8,6,0.0
full,8,7,0.0
full,8,8,0.0
full,8,9,0.0
full,8,10,0.0
full,8,11,0.0
full,8,12,0.0
full,8,13,0.0
full,8,14,0.0
full,8,15,0.0
full,8,16,0.0
full,8,17,0.0
full,8,18,0.0
full,8,19,0.0
full,8,20,0.0
full,9,1,0.031224935718186186
full,9,2,0.039769004646643014
full,9,3,0.04831307357509984
full,9,4,0.04831307357509984
full,9,5,0.04831307357509984
full,9,6,0.04831307357509984
full,9,7,0.04831307357509984
full,9,8,0.04831307357509984
full,9,9,0.04831307357509984
full,9,10,0.04831307357509984
full,9,11,0.04831307357509984
full,9,12,0.04831307357509984
full,9,13,0.04831307357509984
full,9,14,0.04831307357509984
full,9,15,0.04831307357509984
full,9,16,0.04831307357509984
full,9,17,0.04831307357509984
full,9,18,0.04831307357509984
full,9,19,0.04831307357509984
full,9,20,0.04831307357509984
minus_bonus,0,1,0.0
minus_bonus,0,2,0.0
minus_bonus,0,3,0.0
minus_bonus,0,4,0.0
minus_bonus,0,5,0.0
minus_bonus,0,6,0.0
minus_bonus,0,7,0.0
minus_bonus,0,8,0.0
minus_bonus,0,9,0.0
minus_bonus,0,10,0.0
minus_bonus,0,11,0.0
minus_bonus,0,12,0.0
minus_bonus,0,13,0.0
minus_bonus,0,14,0.0
minus_bonus,0,15,0.0
minus_bonus,0,16,0.0
minus_bonus,0,17,0.0
minus_bonus,0,18,0.0
minus_bonus,0,19,0.0
minus_bonus,0,20,0.0
minus_bonus,1,1,0.0
minus_bonus,1,2,0.0
minus_bonus,1,3,0.0
minus_bonus,1,4,0.0
minus_bonus,1,5,0.0
minus_bonus,1,6,0.0
minus_bonus,1,7,0.0
minus_bonus,1,8,0.0
minus_bonus,1,9,0.0
minus_bonus,1,10,0.0
minus_bonus,1,11,0.0
minus_bonus,1,12,0.0
minus_bonus,1,13,0.0
minus_bonus,1,14,0.0
minus_bonus,1,15,0.0
minus_bonus,1,16,0.0
minus_bonus,1,17,0.0
minus_bonus,1,18,0.0
minus_bonus,1,19,0.0
minus_bonus,1,20,0.0
minus_bonus,2,1,0.0
minus_bonus,2,2,0.0
minus_bonus,2,3,0.0
minus_bonus,2,4,0.0
minus_bonus,2,5,0.0
minus_bonus,2,6,0.0
minus_bonus,2,7,0.0
