arm,ci95_high,ci95_low,max,mean,median,min,n,round,section,seeds_at_or_below_prior,seeds_below_prior,sem
oracle,8.02145395998558,7.67854604001442,8,7.85,8.0,7,20,all,coverage,,,0.08191780219091253
joint,7.992066852396434,7.607933147603566,8,7.8,8.0,7,20,all,coverage,,,0.0917662935482247
harp,8.02145395998558,7.67854604001442,8,7.85,8.0,7,20,all,coverage,,,0.08191780219091253
harp_s,8.044050139297326,7.755949860702675,8,7.9,8.0,7,20,all,coverage,,,0.06882472016116853
joint,0.0625,0.0625,,0.0625,,,20,1,joint_belief,20,0,0.0
joint,0.0838129205164297,0.07033265645474353,,0.07707278848558662,,,20,2,joint_belief,4,4,0.0032203210849704195
joint,0.09276088017186866,0.07682676103643153,,0.0847938206041501,,,20,3,joint_belief,2,2,0.003806526310424543
joint,0.10073865290784233,0.07528463730464226,,0.08801164510624229,,,20,4,joint_belief,5,5,0.006080749069087449
joint,0.11223781843598163,0.079431813296859,,0.09583481586642031,,,20,5,joint_belief,4,4,0.00783707719520369
joint,0.11487494055953687,0.08035866496357774,,0.0976168027615573,,,20,6,joint_belief,5,5,0.008245646343994061
joint,0.13154929841980312,0.08229824860245072,,0.10692377351112692,,,20,7,joint_belief,5,5,0.011765659297026375
joint,0.131748910731385,0.08363307321112419,,0.1076909919712546,,,20,8,joint_belief,5,5,0.011494466679469857
joint,0.13584273169902814,0.08242332510427341,,0.10913302840165078,,,20,9,joint_belief,5,5,0.012761444480352298
joint,0.1381402475742264,0.08135479852773478,,0.1097475230509806,,,20,10,joint_belief,6,6,0.013565563556256958
joint,0.14049719522939588,0.08258523243186201,,0.11154121383062894,,,20,11,joint_belief,6,6,0.013834678164723809
joint,0.14753301802655286,0.08626032912600597,,0.11689667357627942,,,20,12,joint_belief,6,6,0.014637527209877425
joint,0.15817889742510383,0.09134061445390243,,0.12475975593950313,,,20,13,joint_belief,6,6,0.015967100566459964
joint,0.16582809018207845,0.09137288852445824,,0.12860048935326834,,,20,14,joint_belief,6,6,0.01778671802618734
joint,0.16515527796210197,0.0883957115446061,,0.12677549475335403,,,20,15,joint_belief,7,7,0.01833721127986046
joint,0.17161794144077433,0.09243135452808596,,0.13202464798443014,,,20,16,joint_belief,6,6,0.018917005951430574
joint,0.17541847914793493,0.09357619805212605,,0.1344973386000305,,,20,17,joint_belief,7,7,0.01955142883320805
joint,0.17642745999070225,0.09488939983021194,,0.1356584299104571,,,20,18,joint_belief,7,7,0.019478753024484072
joint,0.1753967879704941,0.09362071001162778,,0.13450874899106094,,,20,19,joint_belief,8,8,0.019535613463656547
joint,0.20842066651683572,0.0963120983328542,,0.15236638242484496,,,20,20,joint_belief,7,7,0.026781788863827403
oracle,0.0,0.0,,0.0,,,20,1,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,1,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,2,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,2,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,3,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,3,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,4,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,4,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,5,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,5,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,6,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,6,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,7,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,7,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,8,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,8,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,9,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,9,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,10,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,10,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,11,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,11,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,12,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,12,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,13,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,13,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,14,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,14,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,15,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,15,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,16,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,16,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,17,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,17,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,18,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,18,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,19,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,19,regret_increment,,,0.0
oracle,0.0,0.0,,0.0,,,20,20,cumulative_regret,,,0.0
oracle,0.0,0.0,,0.0,,,20,20,regret_increment,,,0.0
joint,0.231975,-0.081975,,0.075,,,20,1,cumulative_regret,,,0.075
joint,0.231975,-0.081975,,0.075,,,20,1,regret_increment,,,0.075
joint,0.36607520894598855,-0.06607520894598859,,0.15,,,20,2,cumulative_regret,,,0.1032370802417528
joint,0.231975,-0.081975,,0.075,,,20,2,regret_increment,,,0.075
joint,0.5038651812034558,-0.009865181203455836,,0.24699999999999997,,,20,3,cumulative_regret,,,0.1227258390843076
joint,0.25824681447347136,-0.06424681447347136,,0.097,,,20,3,regret_increment,,,0.07704100070399969
joint,0.9025434814610819,-0.10554348146108172,,0.3985000000000001,,,20,4,cumulative_regret,,,0.24082345029196456
joint,0.46858950000000016,-0.1655895,,0.15150000000000008,,,20,4,regret_increment,,,0.15150000000000005
joint,1.5432606875228652,-0.1342606875228649,,0.7045000000000001,,,20,5,cumulative_regret,,,0.4007456701017033
joint,0.7469607730039154,-0.13496077300391535,,0.30600000000000005,,,20,5,regret_increment,,,0.21068359914186116
joint,2.020312720590548,0.019687279409452474,,1.0200000000000002,,,20,6,cumulative_regret,,,0.47793249908769597
joint,0.7791696177817016,-0.14816961778170135,,0.3155000000000001,,,20,6,regret_increment,,,0.22153350109015837
joint,2.455966927254604,0.11003307274539686,,1.2830000000000004,,,20,7,cumulative_regret,,,0.5604237588411866
joint,0.678895423782356,-0.15289542378235566,,0.2630000000000002,,,20,7,regret_increment,,,0.19870779922711698
joint,2.5445906229515414,0.17140937704845904,,1.3580000000000003,,,20,8,cumulative_regret,,,0.5669329302205166
joint,0.2319749999999999,-0.08197499999999994,,0.07499999999999998,,,20,8,regret_increment,,,0.07499999999999997
joint,2.5445906229515414,0.17140937704845927,,1.3580000000000003,,,20,9,cumulative_regret,,,0.5669329302205165
joint,3.5094205205044524e-17,-1.683209681600633e-16,,-6.661338147750939e-17,,,20,9,regret_increment,,,4.8594164683494466e-17
joint,2.986464258259659,0.09953574174034197,,1.5430000000000006,,,20,10,cumulative_regret,,,0.6896628085330428
joint,0.5722050000000003,-0.20220500000000025,,0.18500000000000005,,,20,10,regret_increment,,,0.18500000000000014
joint,3.0514807267151856,0.18451927328481488,,1.6180000000000003,,,20,11,cumulative_regret,,,0.6848928460177666
joint,0.23197499999999988,-0.08197500000000006,,0.07499999999999991,,,20,11,regret_increment,,,0.07499999999999998
joint,3.3458085804799764,0.37819141952002466,,1.8620000000000005,,,20,12,cumulative_regret,,,0.7089386433253587
joint,0.6765194554928016,-0.18851945549280152,,0.24400000000000005,,,20,12,regret_increment,,,0.20665048040745418
joint,3.7258756446138346,0.5021243553861654,,2.114,,,20,13,cumulative_regret,,,0.7701269205035043
joint,0.6466658365879723,-0.14266583658797244,,0.25199999999999995,,,20,13,regret_increment,,,0.18856466153271495
joint,3.7258756446138346,0.5021243553861654,,2.114,,,20,14,cumulative_regret,,,0.7701269205035043
joint,9.707790127322365e-17,-2.747135852132487e-16,,-8.881784197001253e-17,,,20,14,regret_increment,,,8.88178419700125e-17
joint,4.272860008856247,0.8151399911437536,,2.544,,,20,15,cumulative_regret,,,0.8260200711209968
joint,1.3299899999999991,-0.4699899999999993,,0.4299999999999999,,,20,15,regret_increment,,,0.4299999999999996
joint,4.656937887870341,0.9130621121296594,,2.785,,,20,16,cumulative_regret,,,0.8943802617631824
joint,0.614648710253713,-0.13264871025371283,,0.2410000000000001,,,20,16,regret_increment,,,0.1785230340438189
joint,4.656937887870342,0.9130621121296598,,2.785000000000001,,,20,17,cumulative_regret,,,0.8943802617631826
joint,5.494271704264974e-16,-1.941558025464473e-16,,1.7763568394002506e-16,,,20,17,regret_increment,,,1.77635683940025e-16
joint,5.035619508758504,1.079380491241496,,3.0575,,,20,18,cumulative_regret,,,0.9451120443184444
joint,0.7068771249137726,-0.1618771249137727,,0.27249999999999996,,,20,18,regret_increment,,,0.20753804343706292
joint,6.069197882827918,1.0238021171720826,,3.5465000000000004,,,20,19,cumulative_regret,,,1.205302380710902
joint,1.3614385715987176,-0.38343857159871747,,0.48900000000000005,,,20,19,regret_increment,,,0.4168363935015373
joint,6.720039401333514,1.3249605986664856,,4.0225,,,20,20,cumulative_regret,,,1.2888387010671354
joint,1.3216865128296038,-0.36968651282960374,,0.476,,,20,20,regret_increment,,,0.40405471229316947
harp,0.0,0.0,,0.0,,,20,1,cumulative_regret,,,0.0
harp,0.0,0.0,,0.0,,,20,1,regret_increment,,,0.0
harp,0.231975,-0.081975,,0.075,,,20,2,cumulative_regret,,,0.075
harp,0.231975,-0.081975,,0.075,,,20,2,regret_increment,,,0.075
harp,0.25010333054006406,-0.07910333054006408,,0.08549999999999999,,,20,3,cumulative_regret,,,0.07864468731011183
harp,0.06356824423263141,-0.04256824423263142,,0.010499999999999999,,,20,3,regret_increment,,,0.02535510952347416
harp,0.7016005862690853,-0.023600586269085178,,0.3390000000000001,,,20,4,cumulative_regret,,,0.17324442726664369
harp,0.5962945230880994,-0.08929452308809926,,0.25350000000000006,,,20,4,regret_increment,,,0.16378142526903933
harp,0.7299968947595212,0.007003105240478813,,0.36850000000000005,,,20,5,cumulative_regret,,,0.17271710213068384
harp,0.0912435,-0.03224349999999997,,0.029500000000000016,,,20,5,regret_increment,,,0.029499999999999995
harp,1.3380326093656492,0.19796739063435098,,0.7680000000000001,,,20,6,cumulative_regret,,,0.272351939496249
harp,0.876420972133956,-0.07742097213395577,,0.3995000000000001,,,20,6,regret_increment,,,0.22786477407260194
harp,1.9156470526061735,0.14635294739382665,,1.0310000000000001,,,20,7,cumulative_regret,,,0.42266939923849667
harp,0.6788954237823559,-0.15289542378235582,,0.26300000000000007,,,20,7,regret_increment,,,0.198707799227117
harp,1.908576830224944,0.13342316977505686,,1.0210000000000004,,,20,8,cumulative_regret,,,0.4240691974318889
harp,0.010929999999999957,-0.030929999999999885,,-0.009999999999999964,,,20,8,regret_increment,,,0.009999999999999962
harp,2.03353373879107,0.2874662612089304,,1.1605,,,20,9,cumulative_regret,,,0.4171207543196702
harp,0.3617321952944888,-0.082732195294489,,0.1394999999999999,,,20,9,regret_increment,,,0.10617878418274673
harp,2.256338420200851,0.3646615797991499,,1.3105000000000004,,,20,10,cumulative_regret,,,0.4519055997137365
harp,0.36607520894598883,-0.06607520894598823,,0.1500000000000003,,,20,10,regret_increment,,,0.10323708024175277
harp,2.3569821885625823,0.4920178114374193,,1.4245000000000008,,,20,11,cumulative_regret,,,0.44552421813787935
harp,0.28707610748727697,-0.059076107487276666,,0.11400000000000014,,,20,11,regret_increment,,,0.08269283683099704
harp,2.659430485845699,0.5995695141543023,,1.6295000000000006,,,20,12,cumulative_regret,,,0.49208336638590466
harp,0.6340650000000001,-0.22406500000000015,,0.205,,,20,12,regret_increment,,,0.20500000000000007
harp,2.6908096607299306,0.6281903392700707,,1.6595000000000006,,,20,13,cumulative_regret,,,0.4927423128188867
harp,0.09279000000000022,-0.03279000000000008,,0.030000000000000072,,,20,13,regret_increment,,,0.030000000000000075
harp,2.69080966072993,0.628190339270071,,1.6595000000000006,,,20,14,cumulative_regret,,,0.4927423128188866
harp,1.4561685190983554e-16,-4.120703778198731e-16,,-1.3322676295501878e-16,,,20,14,regret_increment,,,1.3322676295501878e-16
harp,3.434039079840495,0.8949609201595057,,2.1645000000000003,,,20,15,cumulative_regret,,,0.6065642999715694
harp,1.4104015684614024,-0.4004015684614026,,0.5049999999999999,,,20,15,regret_increment,,,0.4325855558821799
harp,3.8782857591483384,0.9327142408516633,,2.405500000000001,,,20,16,cumulative_regret,,,0.7036721257278249
harp,0.6146487102537129,-0.13264871025371291,,0.24100000000000002,,,20,16,regret_increment,,,0.1785230340438189
harp,4.677940332288537,0.7350596677114645,,2.7065000000000006,,,20,17,cumulative_regret,,,0.941920846769487
harp,0.9309930000000004,-0.32899300000000037,,0.301,,,20,17,regret_increment,,,0.30100000000000016
harp,4.96615190625411,0.9468480937458916,,2.9565000000000006,,,20,18,cumulative_regret,,,0.960177690517969
harp,0.6720966785458917,-0.1720966785458914,,0.25000000000000017,,,20,18,regret_increment,,,0.20167065386808006
harp,5.062057092833879,1.0939429071661229,,3.0780000000000007,,,20,19,cumulative_regret,,,0.9479489215642035
harp,0.2892720378032974,-0.046272037803297084,,0.12150000000000016,,,20,19,regret_increment,,,0.08015864204648698
harp,5.351941603640046,1.3460583963599548,,3.349,,,20,20,cumulative_regret,,,0.9569716214238152
harp,0.6479935838083777,-0.10599358380837792,,0.2709999999999999,,,20,20,regret_increment,,,0.1801211580546478
