section,rho,arm,metric,subset,n,mean,sem,ci95_low,ci95_high
belief_accuracy,0.0,oracle,assigned_type_hit,all,20,1.0,0.0,1.0,1.0
belief_accuracy,0.0,oracle,assigned_type_hit,sensitive,20,1.0,0.0,1.0,1.0
belief_accuracy,0.0,oracle,assigned_type_hit,final,20,1.0,0.0,1.0,1.0
belief_accuracy,0.0,oracle,marginal_true_mass,all,20,1.0,0.0,1.0,1.0
belief_accuracy,0.0,oracle,marginal_true_mass,sensitive,20,1.0,0.0,1.0,1.0
belief_accuracy,0.0,oracle,marginal_true_mass,final,20,1.0,0.0,1.0,1.0
belief_accuracy,0.0,oracle,true_profile_mass,all,20,1.0,0.0,1.0,1.0
belief_accuracy,0.0,oracle,true_profile_mass,sensitive,20,1.0,0.0,1.0,1.0
belief_accuracy,0.0,oracle,true_profile_mass,final,20,1.0,0.0,1.0,1.0
belief_accuracy,0.0,joint,assigned_type_hit,all,20,0.09624999999999999,0.015525340067467969,0.06375546323878953,0.12874453676121045
belief_accuracy,0.0,joint,assigned_type_hit,sensitive,20,0.12114087301587302,0.03473408758658479,0.048442427697151055,0.193839318334595
belief_accuracy,0.0,joint,assigned_type_hit,final,20,0.1,0.04588314677411236,0.0039665738017828495,0.19603342619821718
belief_accuracy,0.0,joint,marginal_true_mass,all,20,0.10007812499999999,0.0026155760209681947,0.09460372438811356,0.10555252561188642
belief_accuracy,0.0,joint,marginal_true_mass,sensitive,20,0.09779978918650793,0.0035884417327315832,0.09028918063990073,0.10531039773311514
belief_accuracy,0.0,joint,marginal_true_mass,final,20,0.1375,0.005050373308896138,0.1269295686644804,0.14807043133551961
belief_accuracy,0.0,joint,true_profile_mass,all,20,1.2197415344417093e-08,2.6016129965631446e-09,6.752239342610431e-09,1.7642591346223754e-08
belief_accuracy,0.0,joint,true_profile_mass,sensitive,20,7.303670928296116e-09,1.7913929143109168e-09,3.5542855586433673e-09,1.1053056297948866e-08
belief_accuracy,0.0,joint,true_profile_mass,final,20,3.837049007415772e-08,7.926068014868543e-09,2.1781229719037857e-08,5.495975042927758e-08
belief_accuracy,0.0,harp,assigned_type_hit,all,20,0.09375,0.011736554457178468,0.06918539152112546,0.11831460847887454
belief_accuracy,0.0,harp,assigned_type_hit,sensitive,20,0.08333333333333334,0.02851720523038761,0.02364682278613208,0.1430198438805346
belief_accuracy,0.0,harp,assigned_type_hit,final,20,0.175,0.07500000000000001,0.018024999999999958,0.331975
belief_accuracy,0.0,harp,marginal_true_mass,all,20,0.10007812499999999,0.0026155760209681947,0.09460372438811356,0.10555252561188642
belief_accuracy,0.0,harp,marginal_true_mass,sensitive,20,0.09779978918650793,0.0035884417327315832,0.09028918063990073,0.10531039773311514
belief_accuracy,0.0,harp,marginal_true_mass,final,20,0.1375,0.005050373308896137,0.1269295686644804,0.14807043133551961
belief_accuracy,0.0,harp,true_profile_mass,all,20,1.2197415344417098e-08,2.6016129965631454e-09,6.752239342610434e-09,1.764259134622376e-08
belief_accuracy,0.0,harp,true_profile_mass,sensitive,20,7.303670928296117e-09,1.7913929143109172e-09,3.5542855586433673e-09,1.1053056297948866e-08
belief_accuracy,0.0,harp,true_profile_mass,final,20,3.8370490074157724e-08,7.926068014868545e-09,2.178122971903786e-08,5.4959750429277585e-08
belief_accuracy,0.0,harp_s,assigned_type_hit,all,20,0.09375,0.011736554457178468,0.06918539152112546,0.11831460847887454
belief_accuracy,0.0,harp_s,assigned_type_hit,sensitive,20,0.08333333333333334,0.02851720523038761,0.02364682278613208,0.1430198438805346
belief_accuracy,0.0,harp_s,assigned_type_hit,final,20,0.175,0.07500000000000001,0.018024999999999958,0.331975
belief_accuracy,0.0,harp_s,marginal_true_mass,all,20,0.10007812499999999,0.0026155760209681947,0.09460372438811356,0.10555252561188642
belief_accuracy,0.0,harp_s,marginal_true_mass,sensitive,20,0.09779978918650793,0.0035884417327315832,0.09028918063990073,0.10531039773311514
belief_accuracy,0.0,harp_s,marginal_true_mass,final,20,0.1375,0.005050373308896137,0.1269295686644804,0.14807043133551961
belief_accuracy,0.0,harp_s,true_profile_mass,all,20,1.2197415344417098e-08,2.6016129965631454e-09,6.752239342610434e-09,1.764259134622376e-08
belief_accuracy,0.0,harp_s,true_profile_mass,sensitive,20,7.303670928296117e-09,1.7913929143109172e-09,3.5542855586433673e-09,1.1053056297948866e-08
belief_accuracy,0.0,harp_s,true_profile_mass,final,20,3.8370490074157724e-08,7.926068014868545e-09,2.178122971903786e-08,5.4959750429277585e-08
paired_regret_subset,0.0,harp,regret_increment_minus_joint,sensitive,20,-0.8325000000000001,0.9012105528267604,-2.71873368706641,1.0537336870664094
paired_regret_subset,0.0,harp,regret_increment_minus_joint,nonsensitive,20,-1.5543122344752192e-15,6.1425065500022675e-16,-2.839938855390694e-15,-2.6868561355974453e-16
paired_regret_subset,0.0,harp_s,regret_increment_minus_joint,sensitive,20,-0.8325000000000001,0.9012105528267604,-2.71873368706641,1.0537336870664094
paired_regret_subset,0.0,harp_s,regret_increment_minus_joint,nonsensitive,20,-1.5543122344752192e-15,6.1425065500022675e-16,-2.839938855390694e-15,-2.6868561355974453e-16
round_regret_increment,0.0,oracle,regret_increment,round_1,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_2,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_3,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_4,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_5,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_6,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_7,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_8,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_9,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_10,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_11,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_12,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_13,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_14,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_15,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_16,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_17,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_18,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_19,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,oracle,regret_increment,round_20,20,0.0,0.0,0.0,0.0
round_regret_increment,0.0,joint,regret_increment,round_1,20,0.075,0.075,-0.081975,0.231975
round_regret_increment,0.0,joint,regret_increment,round_2,20,0.3185,0.18046763086347004,-0.05921875139724275,0.6962187513972428
round_regret_increment,0.0,joint,regret_increment,round_3,20,0.21049999999999996,0.2105,-0.23007650000000002,0.6510765
round_regret_increment,0.0,joint,regret_increment,round_4,20,0.21600000000000005,0.15618207997482667,-0.11088909338731215,0.5428890933873123
round_regret_increment,0.0,joint,regret_increment,round_5,20,0.2824999999999999,0.1616231402791204,-0.055777232604199034,0.6207772326041989
round_regret_increment,0.0,joint,regret_increment,round_6,20,0.4520000000000001,0.20630661902283107,0.020200246385214726,0.8837997536147855
round_regret_increment,0.0,joint,regret_increment,round_7,20,0.14999999999999986,0.1032370802417528,-0.06607520894598873,0.36607520894598844
round_regret_increment,0.0,joint,regret_increment,round_8,20,0.14999999999999977,0.10323708024175274,-0.0660752089459887,0.3660752089459882
round_regret_increment,0.0,joint,regret_increment,round_9,20,0.15400000000000036,0.10300843092730447,-0.061596645930847876,0.3695966459308486
round_regret_increment,0.0,joint,regret_increment,round_10,20,0.46899999999999986,0.25625326698816003,-0.06733808780621908,1.0053380878062188
round_regret_increment,0.0,joint,regret_increment,round_11,20,0.30000000000000016,0.1754692955596805,-0.06725723560641111,0.6672572356064115
round_regret_increment,0.0,joint,regret_increment,round_12,20,0.3385000000000001,0.20787936152338074,-0.09659150366843583,0.773591503668436
round_regret_increment,0.0,joint,regret_increment,round_13,20,0.22500000000000017,0.12287670328636878,-0.032180939978369655,0.48218093997836997
round_regret_increment,0.0,joint,regret_increment,round_14,20,8.881784197001253e-17,3.279240721266546e-16,-5.975272409910755e-16,7.751629249311005e-16
round_regret_increment,0.0,joint,regret_increment,round_15,20,0.13950000000000026,0.0963121979485683,-0.062081430306353186,0.34108143030635374
round_regret_increment,0.0,joint,regret_increment,round_16,20,0.6479999999999998,0.4332481967648569,-0.2587884758288457,1.5547884758288453
