backbone,substrate,method,seed,agent_idx,episode_k,posterior_entropy,posterior_parsed,theta_space_size
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,1,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,2,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,3,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,4,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,5,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,6,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,7,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,8,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,9,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,10,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,11,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,12,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,13,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,14,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,15,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,16,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,17,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,0,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,1,18,0.253446,1,4
DeepSeek-V3.2,hpspgg_c19,llm_greedy,90000,2,18,0.253446,1,4
