method,backbone,substrate,seed,agent_idx,episode_k,theta_star,kl_to_truth,posterior_parsed
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,1,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,1,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,1,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,2,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,2,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,2,0,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,3,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,3,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,3,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,4,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,4,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,4,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,5,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,5,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,5,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,6,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,6,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,6,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,7,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,7,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,7,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,8,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,8,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,8,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,9,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,9,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,9,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,10,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,10,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,10,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,11,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,11,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,11,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,12,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,12,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,12,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,13,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,13,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,13,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,14,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,14,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,14,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,15,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,15,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,15,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,16,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,16,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,16,0,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,17,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,17,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,17,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,18,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,18,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,18,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,19,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,19,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,19,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,0,20,3,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,1,20,2,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90000,2,20,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,1,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,1,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,1,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,2,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,2,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,2,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,3,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,3,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,3,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,4,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,4,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,4,0,0.051293,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,0,5,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,1,5,1,4.094345,1
llm_greedy,DeepSeek-V3.2,hpspgg_c19,90001,2,5,0,0.051293,1
