gap_level,rho,eta_over_rho,eta,rho_minus_eta,measured_contraction_exponent,exponent_ci95_low,exponent_ci95_high,exponent_fit_intercept,exponent_fit_r_squared,affinity_points_json,burn_inverse_rho_minus_eta,burn_burn_in_mean_episode,burn_burn_in_seed_cluster_sem,burn_censored_agents,burn_censoring_fraction,burn_seeds,burn_agents_per_seed,burn_H,burn_m
1,0.0035047535997874135,0.0,0.0,0.0035047535997874135,0.0035174060440929114,0.0034593964164828764,0.0035690234858709205,-0.004657220519913045,0.9999772573659108,"[{""target_information"":0.25,""turns"":71,""empirical_mean_root_lr"":0.7825662207681697,""negative_log_mean_root_lr"":0.2451767329687369},{""target_information"":0.5,""turns"":142,""empirical_mean_root_lr"":0.6088340166466208,""negative_log_mean_root_lr"":0.49620959908328505},{""target_information"":1.0,""turns"":285,""empirical_mean_root_lr"":0.3684812937045844,""negative_log_mean_root_lr"":0.998365331993801},{""target_information"":1.5,""turns"":427,""empirical_mean_root_lr"":0.2250039557852825,""negative_log_mean_root_lr"":1.4916372956643433},{""target_information"":2.0,""turns"":570,""empirical_mean_root_lr"":0.1348156521180554,""negative_log_mean_root_lr"":2.003846973609171}]",285.326763074202,69.854,1.025989391767573,0,0.0,500,3,4,8
1,0.0035047535997874135,0.25,0.0008761883999468534,0.00262856519984056,0.003380309530026598,0.003309103688796096,0.003455244518251227,0.008373105045744346,0.9999556771097494,"[{""target_information"":0.25,""turns"":71,""empirical_mean_root_lr"":0.7841461460558155,""negative_log_mean_root_lr"":0.24315986521858188},{""target_information"":0.5,""turns"":142,""empirical_mean_root_lr"":0.6124141345484855,""negative_log_mean_root_lr"":0.49034653488284874},{""target_information"":1.0,""turns"":285,""empirical_mean_root_lr"":0.3758457296323506,""negative_log_mean_root_lr"":0.978576513316646},{""target_information"":1.5,""turns"":427,""empirical_mean_root_lr"":0.2344562105307343,""negative_log_mean_root_lr"":1.4504864440096557},{""target_information"":2.0,""turns"":570,""empirical_mean_root_lr"":0.144733824706049,""negative_log_mean_root_lr"":1.932858915190752}]",380.435684098936,70.68066666666667,1.0591632627644971,0,0.0,500,3,4,8
1,0.0035047535997874135,0.5,0.0017523767998937068,0.0017523767998937068,0.0030157854378844388,0.0028965124904164075,0.0031319835316733326,0.044857768654263046,0.9990690522128571,"[{""target_information"":0.25,""turns"":71,""empirical_mean_root_lr"":0.7872589121793647,""negative_log_mean_root_lr"":0.2391980984180633},{""target_information"":0.5,""turns"":142,""empirical_mean_root_lr"":0.6207801989820141,""negative_log_mean_root_lr"":0.4767782065915091},{""target_information"":1.0,""turns"":285,""empirical_mean_root_lr"":0.3952171029747577,""negative_log_mean_root_lr"":0.928320037286846},{""target_information"":1.5,""turns"":427,""empirical_mean_root_lr"":0.2610999646403531,""negative_log_mean_root_lr"":1.34285193870275},{""target_information"":2.0,""turns"":570,""empirical_mean_root_lr"":0.1745158357960848,""negative_log_mean_root_lr"":1.7457397919093824}]",570.653526148404,72.42066666666666,1.1621333200131332,0,0.0,500,3,4,8
1,0.0035047535997874135,0.75,0.00262856519984056,0.0008761883999468534,0.00246060026964442,0.0023032437934481205,0.002620562018373419,0.09937194077070116,0.993814824820249,"[{""target_information"":0.25,""turns"":71,""empirical_mean_root_lr"":0.791916569449465,""negative_log_mean_root_lr"":0.23329923432073854},{""target_information"":0.5,""turns"":142,""empirical_mean_root_lr"":0.6340618839929492,""negative_log_mean_root_lr"":0.45560872048665585},{""target_information"":1.0,""turns"":285,""empirical_mean_root_lr"":0.4278096430938531,""negative_log_mean_root_lr"":0.8490769414615278},{""target_information"":1.5,""turns"":427,""empirical_mean_root_lr"":0.30870838606293416,""negative_log_mean_root_lr"":1.1753581821062573},{""target_information"":2.0,""turns"":570,""empirical_mean_root_lr"":0.23174583918381664,""negative_log_mean_root_lr"":1.4621140285967344}]",1141.307052296808,77.51266666666666,1.505896416103068,0,0.0,500,3,4,8
1,0.0035047535997874135,0.9,0.0031542782398086724,0.0003504753599787411,0.0020547430751512146,0.0018738610666703087,0.0022376740304770933,0.13803157973207708,0.9840458179161465,"[{""target_information"":0.25,""turns"":71,""empirical_mean_root_lr"":0.7954599617250969,""negative_log_mean_root_lr"":0.22883476342619266},{""target_information"":0.5,""turns"":142,""empirical_mean_root_lr"":0.6444727764997031,""negative_log_mean_root_lr"":0.43932269721619144},{""target_information"":1.0,""turns"":285,""empirical_mean_root_lr"":0.45452328055729335,""negative_log_mean_root_lr"":0.788506144328143},{""target_information"":1.5,""turns"":427,""empirical_mean_root_lr"":0.34999254733642876,""negative_log_mean_root_lr"":1.049843418049873},{""target_information"":2.0,""turns"":570,""empirical_mean_root_lr"":0.2849356900877135,""negative_log_mean_root_lr"":1.255491772991051}]",2853.2676307420224,81.916,1.77559750284103,0,0.0,500,3,4,8
2,0.013945486661227524,0.0,0.0,0.013945486661227524,0.014078278996002263,0.013813398734649625,0.014286560541735898,-0.004014375134408406,0.9999249316542443,"[{""target_information"":0.25,""turns"":18,""empirical_mean_root_lr"":0.7785103447287743,""negative_log_mean_root_lr"":0.25037299976968397},{""target_information"":0.5,""turns"":36,""empirical_mean_root_lr"":0.6040288691545758,""negative_log_mean_root_lr"":0.5041332855760078},{""target_information"":1.0,""turns"":71,""empirical_mean_root_lr"":0.3690189791726647,""negative_log_mean_root_lr"":0.9969072021920344},{""target_information"":1.5,""turns"":107,""empirical_mean_root_lr"":0.22489942629487875,""negative_log_mean_root_lr"":1.492101970954408},{""target_information"":2.0,""turns"":142,""empirical_mean_root_lr"":0.1351068934743986,""negative_log_mean_root_lr"":2.00168901034067}]",71.70778792398035,18.6,0.26411774463812937,0,0.0,500,3,4,8
2,0.013945486661227524,0.25,0.003486371665306881,0.010459114995920643,0.01354208638865909,0.013207055431292363,0.013858859272880645,0.00914376012604296,0.9998956291488768,"[{""target_information"":0.25,""turns"":18,""empirical_mean_root_lr"":0.779845433451755,""negative_log_mean_root_lr"":0.24865954117657046},{""target_information"":0.5,""turns"":36,""empirical_mean_root_lr"":0.6073045655135902,""negative_log_mean_root_lr"":0.49872485838318636},{""target_information"":1.0,""turns"":71,""empirical_mean_root_lr"":0.3754687092731081,""negative_log_mean_root_lr"":0.9795801420807584},{""target_information"":1.5,""turns"":107,""empirical_mean_root_lr"":0.23485996200038703,""negative_log_mean_root_lr"":1.4487658488420854},{""target_information"":2.0,""turns"":142,""empirical_mean_root_lr"":0.1444634536253136,""negative_log_mean_root_lr"":1.934728719506113}]",95.61038389864045,18.75,0.2641124754498837,0,0.0,500,3,4,8
2,0.013945486661227524,0.5,0.006972743330613762,0.006972743330613762,0.012117299518908888,0.01163537027856985,0.012602374261343544,0.045154502666104955,0.9992211692228127,"[{""target_information"":0.25,""turns"":18,""empirical_mean_root_lr"":0.7827099780639584,""negative_log_mean_root_lr"":0.2449930499915089},{""target_information"":0.5,""turns"":36,""empirical_mean_root_lr"":0.615376832217277,""negative_log_mean_root_lr"":0.48552046350860784},{""target_information"":1.0,""turns"":71,""empirical_mean_root_lr"":0.39370861278315844,""negative_log_mean_root_lr"":0.9321442047587571},{""target_information"":1.5,""turns"":107,""empirical_mean_root_lr"":0.2618951389627784,""negative_log_mean_root_lr"":1.3398110883021257},{""target_information"":2.0,""turns"":142,""empirical_mean_root_lr"":0.1728772062717565,""negative_log_mean_root_lr"":1.7551737268414482}]",143.4155758479607,19.306,0.3054348047472867,0,0.0,500,3,4,8
2,0.013945486661227524,0.75,0.010459114995920643,0.003486371665306881,0.009939474207293002,0.009298373165114147,0.01059790983425618,0.09904462326921921,0.9949752944488656,"[{""target_information"":0.25,""turns"":18,""empirical_mean_root_lr"":0.7871152632776193,""negative_log_mean_root_lr"":0.239380582232119},{""target_information"":0.5,""turns"":36,""empirical_mean_root_lr"":0.6283729955018352,""negative_log_mean_root_lr"":0.4646213469457048},{""target_information"":1.0,""turns"":71,""empirical_mean_root_lr"":0.42486200839916577,""negative_log_mean_root_lr"":0.8559908488992807},{""target_information"":1.5,""turns"":107,""empirical_mean_root_lr"":0.30981100889799035,""negative_log_mean_root_lr"":1.171792816130448},{""target_information"":2.0,""turns"":142,""empirical_mean_root_lr"":0.22745545188262303,""negative_log_mean_root_lr"":1.4808008756661266}]",286.8311516959214,20.205333333333332,0.3592232100369609,0,0.0,500,3,4,8
2,0.013945486661227524,0.9,0.012550937995104773,0.0013945486661227514,0.008342045714831867,0.0076312416644455355,0.009096566968528145,0.13741972057620452,0.9869329177921476,"[{""target_information"":0.25,""turns"":18,""empirical_mean_root_lr"":0.7905049549363314,""negative_log_mean_root_lr"":0.23508335424810373},{""target_information"":0.5,""turns"":36,""empirical_mean_root_lr"":0.6386161216434314,""negative_log_mean_root_lr"":0.44845175372817475},{""target_information"":1.0,""turns"":71,""empirical_mean_root_lr"":0.45051441033867623,""negative_log_mean_root_lr"":0.7973652150120879},{""target_information"":1.5,""turns"":107,""empirical_mean_root_lr"":0.351242140940279,""negative_log_mean_root_lr"":1.0462794331317438},{""target_information"":2.0,""turns"":142,""empirical_mean_root_lr"":0.27808069319787576,""negative_log_mean_root_lr"":1.2798439441080307}]",717.0778792398039,21.338666666666665,0.44666351208768484,0,0.0,500,3,4,8
3,0.031104180927428282,0.0,0.0,0.031104180927428282,0.03152335588688958,0.031118218673488286,0.0319301584610176,0.0003296852316089404,0.9999988863425131,"[{""target_information"":0.25,""turns"":8,""empirical_mean_root_lr"":0.7768538179937313,""negative_log_mean_root_lr"":0.25250308274457206},{""target_information"":0.5,""turns"":16,""empirical_mean_root_lr"":0.6041666443425943,""negative_log_mean_root_lr"":0.5039052178716064},{""target_information"":1.0,""turns"":32,""empirical_mean_root_lr"":0.3641433392418454,""negative_log_mean_root_lr"":1.0102076997340363},{""target_information"":1.5,""turns"":47,""empirical_mean_root_lr"":0.2271538685065038,""negative_log_mean_root_lr"":1.48212765629659},{""target_information"":2.0,""turns"":63,""empirical_mean_root_lr"":0.13727324551073355,""negative_log_mean_root_lr"":1.9857818467349093}]",32.15001874935031,8.522666666666666,0.11957522980231172,0,0.0,500,3,4,8
3,0.031104180927428282,0.25,0.0077760452318570705,0.02332813569557121,0.030791917809018295,0.03021148890455155,0.031332374183250564,0.00772168885736543,0.9999928129249387,"[{""target_information"":0.25,""turns"":8,""empirical_mean_root_lr"":0.7773167535092982,""negative_log_mean_root_lr"":0.25190734951200877},{""target_information"":0.5,""turns"":16,""empirical_mean_root_lr"":0.605827852212626,""negative_log_mean_root_lr"":0.5011594055253816},{""target_information"":1.0,""turns"":32,""empirical_mean_root_lr"":0.36947984858536775,""negative_log_mean_root_lr"":0.9956590770624892},{""target_information"":1.5,""turns"":47,""empirical_mean_root_lr"":0.23338906387385228,""negative_log_mean_root_lr"":1.455048415952157},{""target_information"":2.0,""turns"":63,""empirical_mean_root_lr"":0.14280252423291126,""negative_log_mean_root_lr"":1.9462925525318249}]",42.86669166580041,8.676666666666666,0.12192428413619763,0,0.0,500,3,4,8
3,0.031104180927428282,0.5,0.015552090463714141,0.015552090463714141,0.028108380331075943,0.027163537068661828,0.029094769938670603,0.03775889879000585,0.9996329901755373,"[{""target_information"":0.25,""turns"":8,""empirical_mean_root_lr"":0.7792306954465075,""negative_log_mean_root_lr"":0.24944813388953785},{""target_information"":0.5,""turns"":16,""empirical_mean_root_lr"":0.6120132338816276,""negative_log_mean_root_lr"":0.4910013727140184},{""target_information"":1.0,""turns"":32,""empirical_mean_root_lr"":0.38610961589376913,""negative_log_mean_root_lr"":0.9516339708323083},{""target_information"":1.5,""turns"":47,""empirical_mean_root_lr"":0.25514271475964817,""negative_log_mean_root_lr"":1.3659322246540524},{""target_information"":2.0,""turns"":63,""empirical_mean_root_lr"":0.16583367896897952,""negative_log_mean_root_lr"":1.796769926818719}]",64.30003749870062,8.953333333333333,0.13851038158625473,0,0.0,500,3,4,8
3,0.031104180927428282,0.75,0.02332813569557121,0.0077760452318570705,0.023710805620711678,0.02239152636314982,0.025151487381432594,0.08653539159325695,0.9970180452785725,"[{""target_information"":0.25,""turns"":8,""empirical_mean_root_lr"":0.7826030529204315,""negative_log_mean_root_lr"":0.2451296682162047},{""target_information"":0.5,""turns"":16,""empirical_mean_root_lr"":0.6228186596691236,""negative_log_mean_root_lr"":0.4734998785380313},{""target_information"":1.0,""turns"":32,""empirical_mean_root_lr"":0.4150676484848718,""negative_log_mean_root_lr"":0.8793137636385824},{""target_information"":1.5,""turns"":47,""empirical_mean_root_lr"":0.29535297252501863,""negative_log_mean_root_lr"":1.219584120864375},{""target_information"":2.0,""turns"":63,""empirical_mean_root_lr"":0.21200545791758924,""negative_log_mean_root_lr"":1.5511432597472299}]",128.60007499740124,9.551333333333334,0.17086253738027746,0,0.0,500,3,4,8
