eta_over_rho,eta,rho_hat,method,method_internal,seed,cumulative_regret_K50
0.0,0.0,0.0011696097542561734,HARP,pact,1000,0.35441203703704627
0.0,0.0,0.0011696097542561734,HARP,pact,1001,0.3561111111111188
0.0,0.0,0.0011696097542561734,HARP,pact,1002,0.2183287037037145
0.0,0.0,0.0011696097542561734,HARP,pact,1003,0.0
0.0,0.0,0.0011696097542561734,HARP,pact,1004,0.07424074074074127
0.0,0.0,0.0011696097542561734,HARP,pact,1005,0.5125092592592675
0.0,0.0,0.0011696097542561734,HARP,pact,1006,0.16710648148148177
0.0,0.0,0.0011696097542561734,HARP,pact,1007,0.18893287037036766
0.0,0.0,0.0011696097542561734,HARP,pact,1008,0.4244120370370359
0.0,0.0,0.0011696097542561734,HARP,pact,1009,0.13112037037037005
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1000,0.030407407407409437
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1001,0.11939814814815097
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1002,0.007379629629638451
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1003,0.0
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1004,0.0
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1005,0.2084722222222246
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1006,0.0
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1007,0.0030787037037027787
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1008,0.0
0.0,0.0,0.0011696097542561734,HARP+,pact_plus,1009,0.0
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1000,0.35441203703704627
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1001,0.3561111111111188
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1002,0.2183287037037145
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1003,0.0
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1004,0.07424074074074127
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1005,0.5125092592592675
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1006,0.16710648148148177
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1007,0.1838773148148123
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1008,0.4244120370370359
0.25,0.00029240243856404335,0.0011696097542561734,HARP,pact,1009,0.13112037037037005
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1000,0.030407407407409437
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1001,0.11939814814815097
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1002,0.004212962962971467
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1003,0.0
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1004,0.0
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1005,0.2084722222222246
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1006,0.0
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1007,0.0030787037037027787
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1008,0.0
0.25,0.00029240243856404335,0.0011696097542561734,HARP+,pact_plus,1009,0.0
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1000,0.35441203703704627
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1001,0.3561111111111188
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1002,0.2183287037037145
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1003,0.0
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1004,0.07424074074074127
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1005,0.5125092592592675
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1006,0.16710648148148177
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1007,0.1838773148148123
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1008,0.4244120370370359
0.5,0.0005848048771280867,0.0011696097542561734,HARP,pact,1009,0.13112037037037005
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1000,0.030407407407409437
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1001,0.11939814814815097
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1002,0.002629629629637975
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1003,0.0
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1004,0.0
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1005,0.2084722222222246
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1006,0.0
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1007,0.0030787037037027787
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1008,0.0
0.5,0.0005848048771280867,0.0011696097542561734,HARP+,pact_plus,1009,0.0
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1000,0.35441203703704627
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1001,0.3561111111111188
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1002,0.2183287037037145
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1003,0.0
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1004,0.07424074074074127
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1005,0.5125092592592675
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1006,0.16710648148148177
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1007,0.1838773148148123
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1008,0.4244120370370359
0.75,0.0008772073156921301,0.0011696097542561734,HARP,pact,1009,0.13112037037037005
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1000,0.030407407407409437
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1001,0.11939814814815097
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1002,0.002629629629637975
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1003,0.0
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1004,0.0
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1005,0.2084722222222246
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1006,0.0
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1007,0.0030787037037027787
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1008,0.0
0.75,0.0008772073156921301,0.0011696097542561734,HARP+,pact_plus,1009,0.0
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1000,0.35441203703704627
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1001,0.3561111111111188
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1002,0.2183287037037145
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1003,0.0
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1004,0.07424074074074127
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1005,0.5125092592592675
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1006,0.16710648148148177
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1007,0.1838773148148123
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1008,0.4244120370370359
0.9,0.001052648778830556,0.0011696097542561734,HARP,pact,1009,0.13112037037037005
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1000,0.030407407407409437
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1001,0.11939814814815097
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1002,0.002629629629637975
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1003,0.0
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1004,0.0
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1005,0.2084722222222246
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1006,0.0
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1007,0.0030787037037027787
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1008,0.0
0.9,0.001052648778830556,0.0011696097542561734,HARP+,pact_plus,1009,0.0
