model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,live_score_parse_ok_rate,mean_llm_assignment_score,mean_structured_assignment_score
DeepSeek-V3.2,live_atom_adaptive_hedge,5,9.974586666666667,5.7663962464224605,3.539426691611522,0.0625,0.5,1.0,1.46,0.0
DeepSeek-V3.2,live_atom_tom0,5,11.03882,4.721917922583368,2.986509431889888,0.0625,0.5,1.0,0.68,0.0
DeepSeek-V3.2,live_atom_tom1,5,10.89759,4.713047383324545,3.3332198893791656,0.0625,0.5,1.0,1.5666666666666667,0.0
DeepSeek-V3.2,live_econ_bne,5,10.589310000000001,4.939431063604941,3.3531476317707196,0.0625,0.5,1.0,1.2,0.0
DeepSeek-V3.2,live_joint_psrl,5,13.55293,2.3294086783632943,1.917192891323556,0.37798626688700915,0.805363652887829,1.0,-0.03333333333333334,1.9378220803448927
DeepSeek-V3.2,live_llm_belief,5,11.437940000000001,4.3205001247705495,3.2569700950536586,0.0625,0.5,1.0,1.5466666666666666,0.0
DeepSeek-V3.2,live_llm_greedy,5,11.619136666666666,4.419324379250083,3.1444322043861592,0.0625,0.5,1.0,0.8266666666666668,0.0
DeepSeek-V3.2,live_map_greedy,5,12.457513333333335,2.8254380449963064,1.3648867574616137,0.40640617716659005,0.8022137987380628,1.0,0.020000000000000007,2.088934484839778
DeepSeek-V3.2,live_pact,5,13.447076666666666,2.3003402717996955,1.009716261886258,0.40497016345918074,0.8004124182368388,1.0,0.6199999999999999,1.908300224943399
DeepSeek-V3.2,live_pact_plus,5,14.264083333333332,1.5447362683248511,1.4293629216794748,0.2749730057803428,0.7264753154254794,1.0,0.9066666666666666,2.052402227049597
DeepSeek-V3.2,live_psrl_notype,5,11.309993333333335,4.785763785825128,2.8750371056987474,0.0625,0.5,1.0,-0.2805333333333333,1.991654648101503
Kimi-K2.6,live_atom_adaptive_hedge,5,11.34424,4.278303315655461,3.2107930322857996,0.0625,0.5,1.0,1.0933333333333333,0.0
Kimi-K2.6,live_atom_tom0,5,10.93362,4.925604791962298,2.928177471423239,0.0625,0.5,1.0,0.5800000000000001,0.0
Kimi-K2.6,live_atom_tom1,5,10.746876666666667,4.874478789747622,3.244904528005024,0.0625,0.5,1.0,0.78,0.0
Kimi-K2.6,live_econ_bne,5,10.742036666666667,4.459047622499446,3.214810535928122,0.0625,0.5,1.0,1.3333333333333335,0.0
Kimi-K2.6,live_joint_psrl,5,13.48927,2.542618750423016,2.4348735549486547,0.4550511247558795,0.8414691272535324,1.0,-0.24000000000000005,1.8336445487927364
Kimi-K2.6,live_llm_belief,5,9.621193333333334,5.309800264836796,3.294133026608525,0.0625,0.5,1.0,1.42,0.0
Kimi-K2.6,live_llm_greedy,5,11.313233333333333,4.591372966880897,3.0028213345507795,0.0625,0.5,1.0,0.5866666666666667,0.0
Kimi-K2.6,live_map_greedy,5,12.581170000000002,2.688635246547565,1.1873469843976114,0.3750608488370565,0.7863356560243372,1.0,0.7116,2.157269933390435
Kimi-K2.6,live_pact,5,13.740303333333333,2.123430603280313,0.9325205418299767,0.3929163951214967,0.7898084502104104,1.0,-0.2866666666666666,1.911319568506202
Kimi-K2.6,live_pact_plus,5,13.858856666666664,1.7118523473344787,1.4668188304594612,0.2931930182977579,0.740655224808523,1.0,0.6926666666666667,1.96882535790599
Kimi-K2.6,live_psrl_notype,5,11.398589999999999,4.697973673881678,3.134641643285837,0.0625,0.5,1.0,0.23333333333333334,1.991654648101503
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,5,10.994643333333332,4.872002402303104,2.8953840248694425,0.0625,0.5,1.0,1.42,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,5,10.169893333333333,5.411729384868387,3.2837708575948916,0.0625,0.5,1.0,1.6453333333333333,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,5,9.98327,5.740473589115719,3.169923466429922,0.0625,0.5,1.0,1.2933333333333332,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,5,10.365079999999999,5.521932290001835,2.988078415515872,0.0625,0.5,1.0,1.5333333333333334,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_joint_psrl,5,13.389959999999999,2.7655975311651337,2.2228021850666866,0.5717166067451289,0.865391205829064,1.0,0.1266666666666667,1.8336445487927364
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,5,10.502793333333333,5.185244836707685,2.9386483364281424,0.0625,0.5,1.0,1.48,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,5,10.149093333333331,5.565417879328832,3.332715267788818,0.0625,0.5,1.0,1.4599999999999997,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_map_greedy,5,13.423783333333333,2.589133186655592,1.9811234260796575,0.3955546410888246,0.7868615136152258,1.0,0.7953333333333333,2.3221059545796536
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact,5,13.182156666666666,2.268549445541403,1.1407392562601462,0.3230436831048231,0.7678579017234171,1.0,0.2266666666666667,2.051150650647912
Llama-4-Maverick-17B-128E-Instruct-FP8,live_pact_plus,5,14.378246666666666,1.7182416505131954,1.288584356186687,0.29084514170020587,0.7478265177573471,1.0,0.9110666666666667,2.06283470680492
Llama-4-Maverick-17B-128E-Instruct-FP8,live_psrl_notype,5,11.14040333333333,5.0392674097569365,3.0656343464351146,0.0625,0.5,0.975,0.4204,1.991654648101503
gpt-5.4-mini-20260317,live_atom_adaptive_hedge,5,10.437276666666666,5.212789114093115,3.048634167332961,0.0625,0.5,1.0,1.5266666666666666,0.0
gpt-5.4-mini-20260317,live_atom_tom0,5,10.344316666666666,5.387993706806218,2.9300582239006276,0.0625,0.5,1.0,0.8066666666666666,0.0
gpt-5.4-mini-20260317,live_atom_tom1,5,10.584676666666667,5.033309207131967,3.115041750788868,0.0625,0.5,1.0,1.5066666666666666,0.0
gpt-5.4-mini-20260317,live_econ_bne,5,10.368776666666665,5.40086298669913,3.2345972016595126,0.0625,0.5,1.0,1.6200000000000003,0.0
