w_llm,model,method,regret,regret_sem,ptrue,ptrue_sem,rule_acc,rule_acc_sem,parse
0.0,gpt-5.4-mini-20260317,live_pact_plus,1.6781555454267412,0.21155965089552226,0.29900654681319416,0.046293384135159474,0.743652269406248,0.02336673582527894,1.0
0.0,gpt-5.4-mini-20260317,live_pact,2.533265304257664,0.5389274793173627,0.43109422972746403,0.04785245005720863,0.807411934052154,0.027784152073585876,1.0
0.0,gpt-5.4-mini-20260317,live_joint_psrl,2.1149795277751005,0.37387050826444046,0.43675635003236024,0.09692431183365514,0.8172348060397905,0.047047849059668315,1.0
0.0,gpt-5.4-mini-20260317,live_map_greedy,2.8811189829916666,0.2392547818257649,0.3675374672278727,0.116296827946915,0.7892737003787519,0.04835452236365914,1.0
0.0,gpt-5.4-mini-20260317,live_psrl_notype,4.6887228061400625,0.7342174148035762,0.0625,0.0,0.5,0.0,1.0
0.0,gpt-5.4-mini-20260317,live_llm_greedy,5.2690088318942445,0.4278858041338274,0.0625,0.0,0.5,0.0,1.0
0.0,gpt-5.4-mini-20260317,live_llm_belief,5.3874319716760635,0.6307397491288081,0.0625,0.0,0.5,0.0,1.0
0.0,gpt-5.4-mini-20260317,live_atom_tom0,5.387993706806218,0.2310926819100165,0.0625,0.0,0.5,0.0,1.0
0.0,gpt-5.4-mini-20260317,live_atom_tom1,5.033309207131968,0.30849689678276687,0.0625,0.0,0.5,0.0,1.0
0.0,gpt-5.4-mini-20260317,live_atom_adaptive_hedge,5.212789114093115,0.43315339391518587,0.0625,0.0,0.5,0.0,1.0
0.0,gpt-5.4-mini-20260317,live_econ_bne,5.40086298669913,0.34255458862057964,0.0625,0.0,0.5,0.0,1.0
0.0,DeepSeek-V3.2,live_pact_plus,1.6781555454267412,0.21155965089552226,0.29900654681319416,0.046293384135159474,0.743652269406248,0.02336673582527894,1.0
0.0,DeepSeek-V3.2,live_pact,2.533265304257664,0.5389274793173627,0.43109422972746403,0.04785245005720863,0.807411934052154,0.027784152073585876,1.0
0.0,DeepSeek-V3.2,live_joint_psrl,2.1149795277751005,0.37387050826444046,0.43675635003236024,0.09692431183365514,0.8172348060397905,0.047047849059668315,1.0
0.0,DeepSeek-V3.2,live_map_greedy,2.8811189829916666,0.2392547818257649,0.3675374672278727,0.116296827946915,0.7892737003787519,0.04835452236365914,1.0
0.0,DeepSeek-V3.2,live_psrl_notype,4.6887228061400625,0.7342174148035762,0.0625,0.0,0.5,0.0,1.0
0.0,DeepSeek-V3.2,live_llm_greedy,4.419324379250083,0.5146101004567383,0.0625,0.0,0.5,0.0,1.0
