model,model_snapshot,algorithm,family,seed_index,rng_seed,true_types,initial_state_id,final_cumulative_regret,matched_seed,source_file
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,0,0,3|2|2,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,1,1,1|2|3,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,2,2,3|1|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,3,3,3|0|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,4,4,2|3|3,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,5,5,2|3|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,6,6,1|2|2,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,7,7,3|2|2,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,8,8,2|1|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,oracle,native,9,9,1|3|3,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,0,0,3|2|2,fixed_hp_spgg_initial_state,1.0000000000000053,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,1,1,1|2|3,fixed_hp_spgg_initial_state,0.050000000000000266,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,2,2,3|1|0,fixed_hp_spgg_initial_state,0.9999999999999964,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,3,3,3|0|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,4,4,2|3|3,fixed_hp_spgg_initial_state,0.04999999999999982,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,5,5,2|3|0,fixed_hp_spgg_initial_state,0.1499999999999999,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,6,6,1|2|2,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,7,7,3|2|2,fixed_hp_spgg_initial_state,1.0000000000000053,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,8,8,2|1|0,fixed_hp_spgg_initial_state,0.2999999999999998,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg_plus,native,9,9,1|3|3,fixed_hp_spgg_initial_state,0.04999999999999982,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,0,0,3|2|2,fixed_hp_spgg_initial_state,2.7500000000000004,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,1,1,1|2|3,fixed_hp_spgg_initial_state,0.5000000000000009,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,2,2,3|1|0,fixed_hp_spgg_initial_state,1.3499999999999996,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,3,3,3|0|0,fixed_hp_spgg_initial_state,2.250000000000001,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,4,4,2|3|3,fixed_hp_spgg_initial_state,0.04999999999999982,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,5,5,2|3|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,6,6,1|2|2,fixed_hp_spgg_initial_state,0.9000000000000008,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,7,7,3|2|2,fixed_hp_spgg_initial_state,0.8000000000000007,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,8,8,2|1|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,hpsmg,native,9,9,1|3|3,fixed_hp_spgg_initial_state,1.2499999999999982,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,joint_psrl,native,0,0,3|2|2,fixed_hp_spgg_initial_state,1.2000000000000002,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,joint_psrl,native,1,1,1|2|3,fixed_hp_spgg_initial_state,0.25000000000000044,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,joint_psrl,native,2,2,3|1|0,fixed_hp_spgg_initial_state,0.6499999999999999,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
DeepSeek-V3.2,DeepSeek-V3.2,joint_psrl,native,3,3,3|0|0,fixed_hp_spgg_initial_state,1.4500000000000006,True,analysis\e_a_matched_likelihood\matched_s10\native\DeepSeek_V3_2.npz
