model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,posterior_marginal_tv_vs_joint,true_types
analytic-mixed,0.0,40000,pact_factored,1,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.6661001272742945,1.236105618904193e-12,3|2|3
analytic-mixed,0.0,40000,pact_factored,2,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.8274948772834523,4.042207049349327e-13,3|2|3
analytic-mixed,0.0,40000,pact_factored,3,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9003926037013534,2.429014498923299e-13,3|2|3
analytic-mixed,0.0,40000,pact_factored,4,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9383620989438368,1.6223773866041064e-13,3|2|3
analytic-mixed,0.0,40000,pact_factored,5,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9604160098196631,1.154172277062822e-13,3|2|3
analytic-mixed,0.0,40000,pact_factored,6,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9741516670521002,8.511324075686112e-14,3|2|3
analytic-mixed,0.0,40000,pact_factored,7,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9830163761336709,6.346868429889463e-14,3|2|3
analytic-mixed,0.0,40000,pact_factored,8,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9888234929948582,4.7157621960505064e-14,3|2|3
analytic-mixed,0.0,40000,pact_factored,9,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9926464945329095,3.4750225382735275e-14,3|2|3
analytic-mixed,0.0,40000,pact_factored,10,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9951653208340883,2.5349364439131197e-14,3|2|3
analytic-mixed,0.0,40000,pact_factored,11,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9968238016069456,1.8371801506437975e-14,3|2|3
analytic-mixed,0.0,40000,pact_factored,12,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9979147168371667,1.3110146782168314e-14,3|2|3
analytic-mixed,0.0,40000,pact_factored,13,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9986316293669302,9.32799373466819e-15,3|2|3
analytic-mixed,0.0,40000,pact_factored,14,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9991024037926642,6.64578676267013e-15,3|2|3
analytic-mixed,0.0,40000,pact_factored,15,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9994113699807907,4.6669728124123915e-15,3|2|3
analytic-mixed,0.0,40000,pact_factored,16,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9996140579010074,3.267602842891955e-15,3|2|3
analytic-mixed,0.0,40000,pact_factored,17,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9997469856875497,2.276366031180641e-15,3|2|3
analytic-mixed,0.0,40000,pact_factored,18,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9998341448897192,1.5979444968365937e-15,3|2|3
analytic-mixed,0.0,40000,pact_factored,19,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9998912859144369,1.0974686338697977e-15,3|2|3
analytic-mixed,0.0,40000,pact_factored,20,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999287434929087,7.627923078294679e-16,3|2|3
analytic-mixed,0.0,40000,pact_factored,21,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999532963438594,5.165947714614941e-16,3|2|3
analytic-mixed,0.0,40000,pact_factored,22,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.99996938960833,3.8038379806067124e-16,3|2|3
analytic-mixed,0.0,40000,pact_factored,23,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.999979937674149,2.507032950481457e-16,3|2|3
analytic-mixed,0.0,40000,pact_factored,24,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999868510853108,1.7539352405599274e-16,3|2|3
analytic-mixed,0.0,40000,pact_factored,25,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.999991382207849,1.8610493976748436e-16,3|2|3
analytic-mixed,0.0,40000,pact_factored,26,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.999994351925196,9.40773341924451e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,27,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999962982784886,6.325537640024503e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,28,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999975739134012,1.7840242818494255e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,29,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999984099588684,4.9117478452384845e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,30,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999989578983352,8.21050793130217e-18,3|2|3
analytic-mixed,0.0,40000,pact_factored,31,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999993170143134,2.4064137815765928e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,32,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999995523764058,3.761780163025609e-18,3|2|3
analytic-mixed,0.0,40000,pact_factored,33,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999997066309851,2.104619273999201e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,34,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999998077282622,2.022052949508949e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,35,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999998739866319,1.9661999404205642e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,36,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999174118459,3.7788257385668903e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,37,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999458723864,5.259589429725062e-19,3|2|3
analytic-mixed,0.0,40000,pact_factored,38,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999645251972,3.736145863740195e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,39,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999767500999,2.3813096230449907e-19,3|2|3
analytic-mixed,0.0,40000,pact_factored,40,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999847622029,5.567122281247625e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,41,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999900132707,1.0753127410281544e-19,3|2|3
analytic-mixed,0.0,40000,pact_factored,42,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999934547782,3.7079628272336065e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,43,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999957103144,3.7055876332431485e-17,3|2|3
analytic-mixed,0.0,40000,pact_factored,44,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999971885747,3.248696712310863e-20,3|2|3
analytic-mixed,0.0,40000,pact_factored,45,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999981574145,2.1775667496490326e-20,3|2|3
analytic-mixed,0.0,40000,pact_factored,46,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999987923843,1.4588708739789946e-20,3|2|3
analytic-mixed,0.0,40000,pact_factored,47,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999992085384,9.769140898921177e-21,3|2|3
analytic-mixed,0.0,40000,pact_factored,48,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999994812825,6.53882827687014e-21,3|2|3
analytic-mixed,0.0,40000,pact_factored,49,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999996600367,4.374751464840079e-21,3|2|3
analytic-mixed,0.0,40000,pact_factored,50,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999997771908,2.925703360821806e-21,3|2|3
analytic-mixed,0.0,40000,pact_factored,51,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999998539727,1.9558427090199218e-21,3|2|3
analytic-mixed,0.0,40000,pact_factored,52,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999042949,1.306971217240969e-21,3|2|3
analytic-mixed,0.0,40000,pact_factored,53,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999372756,8.730503624637511e-22,3|2|3
analytic-mixed,0.0,40000,pact_factored,54,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.999999999958891,5.82985694325353e-22,3|2|3
analytic-mixed,0.0,40000,pact_factored,55,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999999999730574,3.8916262881290392e-22,3|2|3
