model,alpha,algorithm,seeds,cumulative_regret_mean,cumulative_regret_sem,posterior_true_mass_mean,posterior_true_mass_sem,posterior_marginal_tv_vs_joint_mean,posterior_marginal_tv_vs_joint_sem,regret_gap_vs_joint,regret_gap_vs_joint_sem
DeepSeek-V3.2-live,0.0,joint_psrl_coupled,10,1.1299999999999994,0.15369522511197983,0.8940077895006133,0.05835629538717397,0.0,0.0,0.0,0.0
DeepSeek-V3.2-live,0.0,pact_factored,10,1.1299999999999994,0.15369522511197983,0.9644920000345468,0.01948415564313021,4.5193252815646227e-13,1.111153527789759e-13,0.0,0.0
DeepSeek-V3.2-live,0.0,psrl_notype,10,31.464999999999996,5.174660751091701,0.015625,0.0,nan,nan,30.335000000000008,5.141627768626502
DeepSeek-V3.2-live,0.25,joint_psrl_coupled,10,0.7409999999999995,0.12938701635017336,0.8628111052658509,0.06455982393996632,0.0,0.0,0.0,0.0
DeepSeek-V3.2-live,0.25,pact_factored,10,0.7239999999999995,0.13359308032645678,0.9482349363476705,0.022799372726619943,0.0065416809068195286,0.002999064782212704,-0.016999999999999994,0.018138357147217024
DeepSeek-V3.2-live,0.25,psrl_notype,10,29.133999999999975,4.903660356191978,0.015625,0.0,nan,nan,28.392999999999983,4.805817550982692
DeepSeek-V3.2-live,0.5,joint_psrl_coupled,10,0.6866666666666668,0.11870702601232733,0.8501751712043898,0.07208612248533978,0.0,0.0,0.0,0.0
DeepSeek-V3.2-live,0.5,pact_factored,10,0.6333333333333335,0.12247448713915889,0.9345454677477525,0.024606067037903724,0.0054717703849779895,0.0028643214711199195,-0.053333333333333365,0.03855411460643884
DeepSeek-V3.2-live,0.5,psrl_notype,10,26.52333333333333,4.636878606333841,0.015625,0.0,nan,nan,25.836666666666655,4.551601129218827
DeepSeek-V3.2-live,1.0,joint_psrl_coupled,10,0.575,0.11612971674429895,0.7775187614509803,0.07975764800983018,0.0,0.0,0.0,0.0
DeepSeek-V3.2-live,1.0,pact_factored,10,0.5825,0.11493053457535891,0.9303679360162038,0.02598956224348497,0.008211362255023339,0.004238276394601758,0.007500000000000018,0.007500000000000018
DeepSeek-V3.2-live,1.0,psrl_notype,10,24.7875,5.147451162684515,0.015625,0.0,nan,nan,24.2125,5.056033593088992
