model,alpha,algorithm,seeds,cumulative_regret_mean,cumulative_regret_sem,posterior_true_mass_mean,posterior_true_mass_sem,regret_gap_vs_joint
DeepSeek-V3.2-live,0.0,joint_psrl_coupled,10,0.9799999999999995,0.17339742404853273,0.796421523966629,0.0746835787538518,0.0
DeepSeek-V3.2-live,0.0,pact_factored,10,0.7949999999999996,0.13005340783266267,0.9341884794288484,0.024329698731979807,-0.18499999999999994
DeepSeek-V3.2-live,0.0,psrl_notype,10,31.200000000000006,6.008549464443703,0.015625,0.0,30.220000000000006
DeepSeek-V3.2-live,0.25,joint_psrl_coupled,10,0.8774999999999998,0.15218090477381774,0.8714134419128232,0.06279672366229389,0.0
DeepSeek-V3.2-live,0.25,pact_factored,10,0.7462499999999996,0.1412622905173997,0.9376112301667053,0.023047827189641865,-0.1312500000000002
DeepSeek-V3.2-live,0.25,psrl_notype,10,32.96375,6.776402184234646,0.015625,0.0,32.08625
DeepSeek-V3.2-live,0.5,joint_psrl_coupled,10,0.8250000000000002,0.14563081175813491,0.8714134420137543,0.06279672360097774,0.0
DeepSeek-V3.2-live,0.5,pact_factored,10,0.8175000000000004,0.13075900223948894,0.9374219004062436,0.02373873156890415,-0.007499999999999729
DeepSeek-V3.2-live,0.5,psrl_notype,10,31.359999999999978,6.726764741604154,0.015625,0.0,30.53499999999998
DeepSeek-V3.2-live,1.0,joint_psrl_coupled,10,0.7549999999999999,0.1555367052070561,0.7050061436304527,0.06557769433482423,0.0
DeepSeek-V3.2-live,1.0,pact_factored,10,0.7949999999999997,0.1718284027743958,0.8972480787797734,0.027735549103095645,0.039999999999999813
DeepSeek-V3.2-live,1.0,psrl_notype,10,43.84500000000001,9.609178049020535,0.015625,0.0,43.09000000000001
DeepSeek-V3.2-live,2.0,joint_psrl_coupled,10,0.8099999999999999,0.22593017603774057,0.9079564479014552,0.06606826255489802,0.0
DeepSeek-V3.2-live,2.0,pact_factored,10,1.2799999999999998,0.3284813541131369,0.9709449139795071,0.018384001140984537,0.46999999999999986
DeepSeek-V3.2-live,2.0,psrl_notype,10,65.75499999999997,13.85095153169388,0.015625,0.0,64.94499999999996
DeepSeek-V3.2-live,4.0,joint_psrl_coupled,10,1.335,0.3537144171346269,0.8833307603855121,0.07876317052336973,0.0
DeepSeek-V3.2-live,4.0,pact_factored,10,2.095,0.48312926726590355,0.9137407517753419,0.0376109242335835,0.7600000000000002
DeepSeek-V3.2-live,4.0,psrl_notype,10,132.45499999999998,25.797654339967487,0.015625,0.0,131.11999999999998
