seed,n,lambda,events,joint_entries,factored_entries,storage_ratio,oracle_utility,source_scheme,environment_index,evidence_stream,driver_reject_penalty,tracker,utility,max_tv,update_wallclock_s,wallclock,mean_update_us,p95_update_us,peak_mem_bytes,peak_mem,belief_entries,snapshots,assignments,served,driver_rejects,passenger_rejects,sampling_rng_seed
0,8,0.0,56,4294967296,128,33554432.0,52.48999999999999,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,factored,33.55999999999999,nan,0.0003444,0.0003444,6.1499999999999995,9.75,1024,1024,128,39,56,31,10,15,190000
1,8,0.0,62,4294967296,128,33554432.0,36.74,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,factored,12.189999999999998,nan,0.0004027,0.0004027,6.495161290322581,10.995,1024,1024,128,40,62,23,16,23,190001
2,8,0.0,49,4294967296,128,33554432.0,73.80000000000001,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,factored,47.81000000000002,nan,0.000306,0.000306,6.244897959183674,11.499999999999995,1024,1024,128,32,49,33,9,7,190002
3,8,0.0,54,4294967296,128,33554432.0,50.35000000000001,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,factored,38.57,nan,0.0003868,0.0003868,7.162962962962962,15.474999999999975,1024,1024,128,35,54,31,6,17,190003
4,8,0.0,83,4294967296,128,33554432.0,-21.64,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-43.84,nan,0.0005014,0.0005014,6.040963855421687,10.78,1024,1024,128,45,76,24,43,9,190004
5,8,0.0,75,4294967296,128,33554432.0,46.96000000000002,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,factored,43.310000000000024,nan,0.0004662,0.0004662,6.216,11.099999999999998,1024,1024,128,52,75,45,17,13,190005
6,8,0.0,60,4294967296,128,33554432.0,37.45,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,factored,17.710000000000008,nan,0.0003845,0.0003845,6.408333333333333,12.169999999999996,1024,1024,128,32,61,28,20,13,190006
7,8,0.0,66,4294967296,128,33554432.0,37.42,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,factored,28.73,nan,0.0003961,0.0003961,6.001515151515152,11.5,1024,1024,128,36,64,34,24,6,190007
8,8,0.0,99,4294967296,128,33554432.0,-16.770000000000003,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-35.449999999999996,nan,0.0006335,0.0006335,6.398989898989898,11.639999999999992,1024,1024,128,64,92,31,53,8,190008
9,8,0.0,52,4294967296,128,33554432.0,92.39999999999999,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,factored,66.47999999999999,nan,0.0003384,0.0003384,6.5076923076923086,11.719999999999985,1024,1024,128,31,52,38,8,6,190009
