veh,pos,t,event,paxes
1,45022511.0,0,STARTS_DAY,[]
1,45022511.0,0,OPENS_APP,[]
1,45022511.0,1386,RECEIVES_REQUEST,[]
1,45022511.0,1387,ACCEPTS_REQUEST,[]
1,45022511.0,1407,IS_ACCEPTED_BY_TRAVELLER,[]
1,45007839.0,1446,ARRIVES_AT_PICKUP,[]
1,45007839.0,1446,MEETS_TRAVELLER_AT_PICKUP,[]
1,45007839.0,1476,DEPARTS_FROM_PICKUP,[12]
1,45029511.0,1549,ARRIVES_AT_DROPOFF,[12]
1,45029511.0,1986,RECEIVES_REQUEST,[]
1,45029511.0,1986,ACCEPTS_REQUEST,[]
1,45029511.0,2006,IS_ACCEPTED_BY_TRAVELLER,[]
1,45026017.0,2283,ARRIVES_AT_PICKUP,[]
1,45026017.0,2283,MEETS_TRAVELLER_AT_PICKUP,[]
1,45026017.0,2313,DEPARTS_FROM_PICKUP,[19]
1,44993509.0,2489,ARRIVES_AT_DROPOFF,[19]
1,44993509.0,2586,RECEIVES_REQUEST,[]
1,44993509.0,2586,ACCEPTS_REQUEST,[]
1,44993509.0,2606,IS_ACCEPTED_BY_TRAVELLER,[]
1,45000375.0,2606,ARRIVES_AT_PICKUP,[]
1,45000375.0,2606,MEETS_TRAVELLER_AT_PICKUP,[]
1,45000375.0,2636,DEPARTS_FROM_PICKUP,[25]
1,1670703741.0,2743,ARRIVES_AT_DROPOFF,[25]
1,1670703741.0,2826,RECEIVES_REQUEST,[]
1,1670703741.0,2826,REJECTS_REQUEST,[]
1,1670703741.0,2946,RECEIVES_REQUEST,[]
1,1670703741.0,2946,REJECTS_REQUEST,[]
1,1670703741.0,2946,RECEIVES_REQUEST,[]
1,1670703741.0,2946,REJECTS_REQUEST,[]
1,1670703741.0,3066,RECEIVES_REQUEST,[]
1,1670703741.0,3066,REJECTS_REQUEST,[]
1,1670703741.0,3066,RECEIVES_REQUEST,[]
1,1670703741.0,3066,REJECTS_REQUEST,[]
1,1670703741.0,3186,RECEIVES_REQUEST,[]
1,1670703741.0,3186,REJECTS_REQUEST,[]
1,1670703741.0,3426,RECEIVES_REQUEST,[]
1,1670703741.0,3426,REJECTS_REQUEST,[]
1,1670703741.0,3546,RECEIVES_REQUEST,[]
1,1670703741.0,3546,REJECTS_REQUEST,[]
1,1670703741.0,3546,RECEIVES_REQUEST,[]
1,1670703741.0,3546,REJECTS_REQUEST,[]
1,1670703741.0,3666,RECEIVES_REQUEST,[]
1,1670703741.0,3666,REJECTS_REQUEST,[]
1,1670703741.0,10799,ENDS_SHIFT,[]
2,401350747.0,0,STARTS_DAY,[]
2,401350747.0,0,OPENS_APP,[]
2,401350747.0,546,RECEIVES_REQUEST,[]
2,401350747.0,546,ACCEPTS_REQUEST,[]
2,401350747.0,566,IS_ACCEPTED_BY_TRAVELLER,[]
2,510874686.0,568,ARRIVES_AT_PICKUP,[]
2,510874686.0,568,MEETS_TRAVELLER_AT_PICKUP,[]
2,510874686.0,598,DEPARTS_FROM_PICKUP,[7]
2,45016105.0,764,ARRIVES_AT_DROPOFF,[7]
2,45016105.0,1626,RECEIVES_REQUEST,[]
2,45016105.0,1626,ACCEPTS_REQUEST,[]
2,45016105.0,1646,IS_ACCEPTED_BY_TRAVELLER,[]
2,1665808438.0,1658,ARRIVES_AT_PICKUP,[]
2,1665808438.0,1658,MEETS_TRAVELLER_AT_PICKUP,[]
2,1665808438.0,1688,DEPARTS_FROM_PICKUP,[16]
2,1845935220.0,1901,ARRIVES_AT_DROPOFF,[16]
2,1845935220.0,2106,RECEIVES_REQUEST,[]
2,1845935220.0,2106,ACCEPTS_REQUEST,[]
2,1845935220.0,2126,IS_ACCEPTED_BY_TRAVELLER,[]
2,1433121144.0,2218,ARRIVES_AT_PICKUP,[]
2,1433121144.0,2218,MEETS_TRAVELLER_AT_PICKUP,[]
2,1433121144.0,2248,DEPARTS_FROM_PICKUP,[20]
2,44999810.0,2390,ARRIVES_AT_DROPOFF,[20]
2,44999810.0,2706,RECEIVES_REQUEST,[]
2,44999810.0,2706,REJECTS_REQUEST,[]
2,44999810.0,2826,RECEIVES_REQUEST,[]
2,44999810.0,2826,REJECTS_REQUEST,[]
2,44999810.0,2826,RECEIVES_REQUEST,[]
2,44999810.0,2826,REJECTS_REQUEST,[]
2,44999810.0,2946,RECEIVES_REQUEST,[]
2,44999810.0,2946,REJECTS_REQUEST,[]
2,44999810.0,2946,RECEIVES_REQUEST,[]
2,44999810.0,2946,REJECTS_REQUEST,[]
