pax,pos,t,event,veh_id
0,45022517,0,STARTS_DAY,
0,45022517,0,REQUESTS_RIDE,
0,45022517,53,RECEIVES_OFFER,
0,45022517,53,ACCEPTS_OFFER,
0,45022517,73,ARRIVES_AT_PICKUP,2.0
0,45022517,140,MEETS_DRIVER_AT_PICKUP,2.0
0,45022517,170,DEPARTS_FROM_PICKUP,2.0
0,44986749,317,ARRIVES_AT_DROPOFF,2.0
0,44986749,327,SETS_OFF_FOR_DEST,
0,44986749,327,ARRIVES_AT_DEST,
1,510841597,0,STARTS_DAY,
1,510841597,14,REQUESTS_RIDE,
1,510841597,53,RECEIVES_OFFER,
1,510841597,53,ACCEPTS_OFFER,
1,510841597,73,ARRIVES_AT_PICKUP,6.0
1,510841597,91,MEETS_DRIVER_AT_PICKUP,6.0
1,510841597,121,DEPARTS_FROM_PICKUP,6.0
1,45007127,238,ARRIVES_AT_DROPOFF,6.0
1,45007127,248,SETS_OFF_FOR_DEST,
1,45007127,248,ARRIVES_AT_DEST,
2,500966009,0,STARTS_DAY,
2,500966009,24,REQUESTS_RIDE,
2,500966009,53,RECEIVES_OFFER,
2,500966009,53,ACCEPTS_OFFER,
2,500966009,73,ARRIVES_AT_PICKUP,7.0
2,500966009,106,MEETS_DRIVER_AT_PICKUP,7.0
2,500966009,136,DEPARTS_FROM_PICKUP,7.0
2,44981880,193,ARRIVES_AT_DROPOFF,7.0
2,44981880,203,SETS_OFF_FOR_DEST,
2,44981880,203,ARRIVES_AT_DEST,
3,4290089188,0,STARTS_DAY,
3,4290089188,92,REQUESTS_RIDE,
3,4290089188,173,RECEIVES_OFFER,
3,4290089188,173,REJECTS_OFFER,
4,45022511,0,STARTS_DAY,
4,45022511,182,REQUESTS_RIDE,
4,45022511,293,RECEIVES_OFFER,
4,45022511,293,IS_REJECTED_BY_VEHICLE,
4,45022511,293,RECEIVES_OFFER,
4,45022511,293,REJECTS_OFFER,
5,45022518,0,STARTS_DAY,
5,45022518,186,REQUESTS_RIDE,
5,45022518,293,RECEIVES_OFFER,
5,45022518,293,IS_REJECTED_BY_VEHICLE,
5,45022518,293,RECEIVES_OFFER,
5,45022518,293,IS_REJECTED_BY_VEHICLE,
5,45022518,293,RECEIVES_OFFER,
5,45022518,293,IS_REJECTED_BY_VEHICLE,
5,45022518,413,RECEIVES_OFFER,
5,45022518,413,REJECTS_OFFER,
6,44985744,0,STARTS_DAY,
6,44985744,210,REQUESTS_RIDE,
6,44985744,293,RECEIVES_OFFER,
6,44985744,293,ACCEPTS_OFFER,
6,44985744,313,ARRIVES_AT_PICKUP,4.0
6,44985744,328,MEETS_DRIVER_AT_PICKUP,4.0
6,44985744,358,DEPARTS_FROM_PICKUP,4.0
6,45021573,495,ARRIVES_AT_DROPOFF,4.0
6,45021573,505,SETS_OFF_FOR_DEST,
6,45021573,505,ARRIVES_AT_DEST,
7,44997885,0,STARTS_DAY,
7,44997885,234,REQUESTS_RIDE,
7,44997885,293,RECEIVES_OFFER,
7,44997885,293,ACCEPTS_OFFER,
7,44997885,313,ARRIVES_AT_PICKUP,3.0
7,44997885,341,MEETS_DRIVER_AT_PICKUP,3.0
7,44997885,371,DEPARTS_FROM_PICKUP,3.0
7,401350749,475,ARRIVES_AT_DROPOFF,3.0
7,401350749,485,SETS_OFF_FOR_DEST,
7,401350749,485,ARRIVES_AT_DEST,
8,4290089184,0,STARTS_DAY,
8,4290089184,261,REQUESTS_RIDE,
8,4290089184,293,RECEIVES_OFFER,
8,4290089184,293,ACCEPTS_OFFER,
8,4290089184,313,ARRIVES_AT_PICKUP,6.0
