sweep,n,m,seeds,pact_minus_joint_mean,pact_minus_joint_sem,ci95_low,ci95_high,ci_covers_zero,max_abs_trajectory_gap,action_mismatch_count,joint_feasible
s1_population_m4,2,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s1_population_m4,3,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s1_population_m4,4,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s1_population_m4,5,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s1_population_m4,6,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s1_population_m4,7,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s1_population_m4,8,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s1_population_m4,9,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s1_population_m4,10,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s2_library_n3,3,4,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s2_library_n3,3,8,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s2_library_n3,3,16,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s3_frontier_m16,2,16,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s3_frontier_m16,3,16,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s3_frontier_m16,4,16,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s3_frontier_m16,5,16,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s3_frontier_m16,6,16,10,0.0,0.0,0.0,0.0,True,0.0,0,True
s3_frontier_m16,7,16,10,nan,nan,nan,nan,False,nan,0,False
s3_frontier_m16,8,16,10,nan,nan,nan,nan,False,nan,0,False
