phase,H,n,m,seed,agent,true_type,first_turn,censored,rho_action,first_episode
type_horizon,1,3,4,2000,0,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2000,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2000,2,1,38.0,False,0.07433819726669055,38
type_horizon,1,3,4,2001,0,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2001,1,1,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2001,2,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2002,0,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2002,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2002,2,3,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2003,0,3,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2003,1,1,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2003,2,0,12.0,False,0.07433819726669055,12
type_horizon,1,3,4,2004,0,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2004,1,3,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2004,2,1,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2005,0,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2005,1,3,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2005,2,0,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2006,0,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2006,1,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2006,2,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2007,0,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2007,1,1,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2007,2,0,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2008,0,1,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2008,1,0,15.0,False,0.07433819726669055,15
type_horizon,1,3,4,2008,2,1,8.0,False,0.07433819726669055,8
