phase,n,m,H,rho_action,rho_global,predictor_per_agent,predictor_all_agent,predictor_original_linear_n,restricted_mean_per_agent_episode,restricted_mean_all_agent_episode,median_per_agent_episode,median_all_agent_episode,censored_agents,censoring_fraction_agents,censored_seeds,censoring_fraction_seeds,mean_final_true_mass
type_horizon,3,2,1,0.0035047535997874135,0.0011696097542561734,296.660162044768,610.1236502439807,791.0937654527146,156.946,273.274,110.0,221.0,0,0.0,0,0.0,0.9999994491967297
type_horizon,3,2,2,0.0035047535997874135,0.0011696097542561734,148.330081022384,305.06182512199035,395.5468827263573,84.07,146.608,58.0,121.5,0,0.0,0,0.0,0.9999999999852986
type_horizon,3,2,4,0.0035047535997874135,0.0011696097542561734,74.165040511192,152.53091256099518,197.77344136317865,42.60666666666667,72.68,30.0,60.5,0,0.0,0,0.0,1.0
type_horizon,3,2,8,0.0035047535997874135,0.0011696097542561734,37.082520255596,76.26545628049759,98.88672068158932,21.483333333333334,35.77,16.0,30.0,0,0.0,0,0.0,1.0
type_horizon,3,3,1,0.0035047535997874135,0.0011696097542561734,470.1952322988189,783.6587204980316,1253.8539527968503,209.69466666666668,347.958,197.5,292.5,0,0.0,0,0.0,0.9999567719130569
type_horizon,3,3,2,0.0035047535997874135,0.0011696097542561734,235.09761614940945,391.8293602490158,626.9269763984252,107.59866666666667,177.076,104.0,152.0,0,0.0,0,0.0,0.9999999999995971
type_horizon,3,3,4,0.0035047535997874135,0.0011696097542561734,117.54880807470472,195.9146801245079,313.4634881992126,54.318666666666665,88.004,52.0,76.5,0,0.0,0,0.0,1.0
type_horizon,3,3,8,0.0035047535997874135,0.0011696097542561734,58.77440403735236,97.95734006225395,156.7317440996063,28.442,45.798,26.0,40.0,0,0.0,0,0.0,1.0
type_horizon,3,4,1,0.0035047535997874135,0.0011696097542561734,593.3203240895359,906.7838122887484,1582.1875309054292,238.76933333333332,379.128,215.5,315.0,0,0.0,0,0.0,0.9998851667748883
type_horizon,3,4,2,0.0035047535997874135,0.0011696097542561734,296.66016204476796,453.3919061443742,791.0937654527146,125.488,198.546,112.5,174.0,0,0.0,0,0.0,0.9999999999999161
type_horizon,3,4,4,0.0035047535997874135,0.0011696097542561734,148.33008102238398,226.6959530721871,395.5468827263573,61.37533333333333,95.74,55.0,80.5,0,0.0,0,0.0,1.0
type_horizon,3,4,8,0.0035047535997874135,0.0011696097542561734,74.16504051119199,113.34797653609355,197.77344136317865,31.720666666666666,48.47,29.0,43.0,0,0.0,0,0.0,1.0
type_horizon,3,6,1,0.0035047535997874135,0.0011696097542561734,766.8553943435868,1080.3188825427992,2044.9477182495648,260.574,400.052,227.0,334.0,0,0.0,0,0.0,0.999978849158883
type_horizon,3,6,2,0.0035047535997874135,0.0011696097542561734,383.4276971717934,540.1594412713996,1022.4738591247824,130.07066666666665,194.374,115.0,170.0,0,0.0,0,0.0,0.999999999989522
type_horizon,3,6,4,0.0035047535997874135,0.0011696097542561734,191.7138485858967,270.0797206356998,511.2369295623912,67.74,101.932,58.0,85.5,0,0.0,0,0.0,1.0
type_horizon,3,6,8,0.0035047535997874135,0.0011696097542561734,95.85692429294835,135.0398603178499,255.6184647811956,34.142,51.1,30.0,45.0,0,0.0,0,0.0,1.0
type_horizon,3,8,1,0.0035047535997874135,0.0011696097542561734,889.9804861343039,1203.4439743335165,2373.2812963581437,269.91266666666667,397.484,232.0,335.5,0,0.0,0,0.0,0.9999706032654961
type_horizon,3,8,2,0.0035047535997874135,0.0011696097542561734,444.99024306715194,601.7219871667583,1186.6406481790718,137.22533333333334,202.362,118.0,180.0,0,0.0,0,0.0,0.9999999999993822
type_horizon,3,8,4,0.0035047535997874135,0.0011696097542561734,222.49512153357597,300.8609935833791,593.3203240895359,69.854,102.092,61.0,88.0,0,0.0,0,0.0,1.0
