appendix_reference,filename,bytes,sha256
figs/E2_native_vs_llm_baselines_main.pdf,E2_native_vs_llm_baselines_main.pdf,27354,8d77e78c599ddf73f8b6f1c5cbc69c0ad3db521e0d84512f8a47a8cb2d214c8c
figs/fig10_beta_sweep_v3.pdf,fig10_beta_sweep_v3.pdf,34785,e701bd10a3626c0083794c53e01cbb40beef4fb06dde1a210f45440c74b13570
figs/fig11_haggling_pareto.png,fig11_haggling_pareto.png,66833,8d87473ab59696046e03751df2387f4b7ca31b7bb51b3197bde99d807e948f9c
figs/fig12_decentralized_price.pdf,fig12_decentralized_price.pdf,26910,d62b6ca3498cd85158792d29c43f9454c5c3f0e92af2658e34b0f8bfd2791eed
figs/fig2_concordia_strip_v11c.pdf,fig2_concordia_strip_v11c.pdf,31878,f844ce8ede3f2b6712a175f6041a2e8dad52c6db34b1d14becde0e2169c97cf3
figs/fig_e1_1_n_scaling.pdf,fig_e1_1_n_scaling.pdf,27921,ae8a2ae3293b9ed89b37a39c83e73c59963a8dc318bd497b2dd4ec66a26ba559
figs/fig_e1_1_n_scaling_llm.pdf,fig_e1_1_n_scaling_llm.pdf,32977,e2096f643bc2270751d416b11f2a5f15b7e00835f96f1a0827d8c4211582dc71
figs/fig_e1_3_pf_isolation.pdf,fig_e1_3_pf_isolation.pdf,26216,1a34383738cf6bed3ad921664cf55b5c073e1c6650bbd27417608a3ccd186d9b
figs/fig_e1_posterior_concentration_v3.pdf,fig_e1_posterior_concentration_v3.pdf,39342,86fa87072a5db87ba5a728fcde796486b6829031231f5fc10b0020df20fa8da7
figs/fig_e5_cumulative_regret_trajectories_v3.pdf,fig_e5_cumulative_regret_trajectories_v3.pdf,32412,2d377ae3d9b02612473e424a3bf13987ce666f051f110ab5c9dc5c5607dbb5cc
figs/fig_e_c_sotopia_component_corrected.pdf,fig_e_c_sotopia_component_corrected.pdf,14071,940dfc4d0fc5cf94fa3e20dd9101f21eebfbfb4b1f2cbe3027f9bfdd02dd1226
figs/fig_e_c_sotopia_corrected.pdf,fig_e_c_sotopia_corrected.pdf,23534,664c409b0d595559574c08b56b13d75e2b02889fe4e3c675e86001f674ec672b
figs/fig_e_d_reward_locality_violation.pdf,fig_e_d_reward_locality_violation.pdf,27489,d60263ae71337eab1eb12453e29acb04c30eb9a70ed69bfcec07b890ff1332e9
figs/fig_maassim_concentration_v1.pdf,fig_maassim_concentration_v1.pdf,17590,3e4b2317e901370cff4870a48f2dcbbe125c8b002a3e53726fc7a82e8350b6d1
figs/fig_maassim_conflict_dynamics_v4.pdf,fig_maassim_conflict_dynamics_v4.pdf,29488,fb61b71cf48f3a02148d8a14d34a39e63b5b8937f933b9cc8cb277fb70d7a0da
figs/fig_maassim_pact_persona_mechanism.pdf,fig_maassim_pact_persona_mechanism.pdf,26520,36e8212481611336afcfa798cbd8f620d3e8a0d6b93fd05dd5ffbdf4aa112b8f
figs/fig_maassim_unit_validation_v3.pdf,fig_maassim_unit_validation_v3.pdf,21084,e424a5b2a1121efd759cdacde1c9d202da5189e1238e2e2bd01d9408826e0b8e
figs/fig_maassim_wait_reject_tradeoff_v1.pdf,fig_maassim_wait_reject_tradeoff_v1.pdf,22749,356bf3d0a9aa0c2addfee3bc3935df4ab9b8065d28e369a28fa72d12530ed3d0
figs/fig_scaling_hidden_complexity_v5.pdf,fig_scaling_hidden_complexity_v5.pdf,30888,c70e97baf26915989e99ed1c36cd637d0d615e23764da885b419ce62c803b766
figs/fig_sotopia_combined_v7.pdf,fig_sotopia_combined_v7.pdf,39132,d799e94ccd4ebf670a8bac68d2e3ec860782f674254cb9e9228c115b11e2e0ba
