method,config,seed,episode,cum_regret
pact,pub/london,1000,1,0.0
pact,pub/london,1000,2,0.0
pact,pub/london,1000,3,0.0
pact,pub/london,1000,4,0.0
pact,pub/london,1000,5,0.0
pact,pub/london,1000,6,0.0
pact,pub/london,1000,7,0.0
pact,pub/london,1000,8,0.0
pact,pub/london,1000,9,0.0
pact,pub/london,1000,10,0.0
pact,pub/london,1000,11,0.0
pact,pub/london,1000,12,0.0
pact,pub/london,1000,13,0.0
pact,pub/london,1000,14,0.0
pact,pub/london,1000,15,0.0
pact,pub/london,1000,16,0.0
pact,pub/london,1000,17,0.0
pact,pub/london,1000,18,0.0
pact,pub/london,1000,19,0.0
pact,pub/london,1000,20,0.0
pact_plus,pub/london,1000,1,0.0
pact_plus,pub/london,1000,2,0.0
pact_plus,pub/london,1000,3,0.0
pact_plus,pub/london,1000,4,0.0
pact_plus,pub/london,1000,5,0.0
pact_plus,pub/london,1000,6,0.0
pact_plus,pub/london,1000,7,0.0
pact_plus,pub/london,1000,8,0.0
pact_plus,pub/london,1000,9,0.0
pact_plus,pub/london,1000,10,0.0
pact_plus,pub/london,1000,11,0.0
pact_plus,pub/london,1000,12,0.0
pact_plus,pub/london,1000,13,0.0
pact_plus,pub/london,1000,14,0.0
pact_plus,pub/london,1000,15,0.0
pact_plus,pub/london,1000,16,0.0
pact_plus,pub/london,1000,17,0.0
pact_plus,pub/london,1000,18,0.0
pact_plus,pub/london,1000,19,0.0
pact_plus,pub/london,1000,20,0.0
joint_psrl_uniform,pub/london,1000,1,0.0
joint_psrl_uniform,pub/london,1000,2,0.0
joint_psrl_uniform,pub/london,1000,3,0.0
joint_psrl_uniform,pub/london,1000,4,0.0
joint_psrl_uniform,pub/london,1000,5,0.0
joint_psrl_uniform,pub/london,1000,6,0.0
joint_psrl_uniform,pub/london,1000,7,0.0
joint_psrl_uniform,pub/london,1000,8,0.0
joint_psrl_uniform,pub/london,1000,9,0.0
joint_psrl_uniform,pub/london,1000,10,0.0
joint_psrl_uniform,pub/london,1000,11,0.0
joint_psrl_uniform,pub/london,1000,12,0.0
joint_psrl_uniform,pub/london,1000,13,0.0
joint_psrl_uniform,pub/london,1000,14,0.0
joint_psrl_uniform,pub/london,1000,15,0.0
joint_psrl_uniform,pub/london,1000,16,0.0
joint_psrl_uniform,pub/london,1000,17,0.0
joint_psrl_uniform,pub/london,1000,18,0.0
joint_psrl_uniform,pub/london,1000,19,0.0
joint_psrl_uniform,pub/london,1000,20,0.0
psrl_notype,pub/london,1000,1,0.0
psrl_notype,pub/london,1000,2,0.0
psrl_notype,pub/london,1000,3,0.0
psrl_notype,pub/london,1000,4,0.0
psrl_notype,pub/london,1000,5,0.0
psrl_notype,pub/london,1000,6,0.0
psrl_notype,pub/london,1000,7,0.0
psrl_notype,pub/london,1000,8,0.0
psrl_notype,pub/london,1000,9,0.0
psrl_notype,pub/london,1000,10,0.0
psrl_notype,pub/london,1000,11,0.0
psrl_notype,pub/london,1000,12,0.0
psrl_notype,pub/london,1000,13,0.0
psrl_notype,pub/london,1000,14,0.0
psrl_notype,pub/london,1000,15,0.0
psrl_notype,pub/london,1000,16,0.0
psrl_notype,pub/london,1000,17,0.0
psrl_notype,pub/london,1000,18,0.0
psrl_notype,pub/london,1000,19,0.0
psrl_notype,pub/london,1000,20,0.0
map_type_greedy,pub/london,1000,1,0.0
map_type_greedy,pub/london,1000,2,0.0
map_type_greedy,pub/london,1000,3,0.0
map_type_greedy,pub/london,1000,4,0.0
map_type_greedy,pub/london,1000,5,0.0
map_type_greedy,pub/london,1000,6,0.0
map_type_greedy,pub/london,1000,7,0.0
map_type_greedy,pub/london,1000,8,0.0
map_type_greedy,pub/london,1000,9,0.0
map_type_greedy,pub/london,1000,10,0.0
map_type_greedy,pub/london,1000,11,0.0
map_type_greedy,pub/london,1000,12,0.0
map_type_greedy,pub/london,1000,13,0.0
map_type_greedy,pub/london,1000,14,0.0
map_type_greedy,pub/london,1000,15,0.0
map_type_greedy,pub/london,1000,16,0.0
map_type_greedy,pub/london,1000,17,0.0
map_type_greedy,pub/london,1000,18,0.0
map_type_greedy,pub/london,1000,19,0.0
map_type_greedy,pub/london,1000,20,0.0
econ_bne,pub/london,1000,1,0.0
econ_bne,pub/london,1000,2,0.0
econ_bne,pub/london,1000,3,0.0
econ_bne,pub/london,1000,4,0.0
econ_bne,pub/london,1000,5,0.0
