config_id,config_label,domain,method,seeds,episodes,cumulative_regret_mean,cumulative_regret_sem,late_instant_regret_mean,late_instant_regret_sem,posterior_true_mass_mean,posterior_true_mass_sem,n_agents,factored_storage,joint_storage
haggling/fruitville,Haggling: fruitville,haggling,atom_tom1,5,20,4.468210926249349,0.8045824476674801,0.22341054631246743,0.040229122383374,0.0625,0.0,2,8,16
haggling/fruitville,Haggling: fruitville,haggling,econ_bne,5,20,0.6532973823165928,0.3466269991539138,0.032664869115829644,0.017331349957695693,0.0625,0.0,2,8,16
haggling/fruitville,Haggling: fruitville,haggling,joint_psrl_uniform,5,20,0.5515405827741521,0.04074837667902624,0.01168599033816425,0.005508773836824172,0.8943502373223099,0.03371797295788836,2,8,16
haggling/fruitville,Haggling: fruitville,haggling,map_type_greedy,5,20,0.4175246907906162,0.1707151268849315,0.008888888888888901,0.008888888888888901,0.5733607723896738,0.10479797589783943,2,8,16
haggling/fruitville,Haggling: fruitville,haggling,pact,5,20,0.47634678432453964,0.07299294589379896,0.004130434782608697,0.0030388163052185346,0.9026341840883427,0.03730755387176763,2,8,16
haggling/fruitville,Haggling: fruitville,haggling,pact_plus,5,20,0.4998093166242813,0.050879031203077026,0.0031304347826087,0.0031304347826087006,0.945290259184594,0.016859629445705338,2,8,16
haggling/fruitville,Haggling: fruitville,haggling,psrl_notype,5,20,2.019067724770455,0.5411613886734775,0.10860731684897511,0.031120310871887127,0.0625,0.0,2,8,16
haggling/fruitville,Haggling: fruitville,haggling,random,5,20,10.340390456639193,1.2346860156282218,0.55625030895405,0.07192862941595421,0.0625,0.0,2,8,16
haggling/vegbrooke,Haggling: vegbrooke,haggling,atom_tom1,5,20,1.1511387163561082,0.7615164642008344,0.05755693581780541,0.038075823210041715,0.0625,0.0,2,8,16
haggling/vegbrooke,Haggling: vegbrooke,haggling,econ_bne,5,20,1.1666425923251,0.7557937148972976,0.058332129616255,0.03778968574486489,0.0625,0.0,2,8,16
haggling/vegbrooke,Haggling: vegbrooke,haggling,joint_psrl_uniform,5,20,0.579853628003274,0.08006698935709179,0.0047460156964706955,0.002352273177677666,0.8022614471244844,0.05042144317264952,2,8,16
haggling/vegbrooke,Haggling: vegbrooke,haggling,map_type_greedy,5,20,0.34559359301523107,0.0996241235938989,0.0,0.0,0.5854613536457645,0.11091533723328854,2,8,16
haggling/vegbrooke,Haggling: vegbrooke,haggling,pact,5,20,0.48394947598183186,0.13087209467396813,0.00031007751937983663,0.00031007751937983663,0.7815073505055562,0.05414035693230432,2,8,16
haggling/vegbrooke,Haggling: vegbrooke,haggling,pact_plus,5,20,0.5966799878023336,0.06537549105104742,0.0007140449708700425,0.0005414712793158861,0.8904836088512379,0.03322767350645913,2,8,16
haggling/vegbrooke,Haggling: vegbrooke,haggling,psrl_notype,5,20,2.3277044312838044,0.4411805061310184,0.13398812332482707,0.02741820885166627,0.0625,0.0,2,8,16
haggling/vegbrooke,Haggling: vegbrooke,haggling,random,5,20,3.9256378898037143,0.8796732254874667,0.20871696599098008,0.04063418277840664,0.0625,0.0,2,8,16
haggling_multi_item/fruitville_multi,Multi-item: fruitville,haggling_multi_item,atom_tom1,5,20,6.3468531468531495,0.7391734460195799,0.3173426573426574,0.03695867230097896,0.0625,0.0,2,8,16
haggling_multi_item/fruitville_multi,Multi-item: fruitville,haggling_multi_item,econ_bne,5,20,0.17575757575757667,0.1198407268683958,0.008787878787878834,0.00599203634341979,0.0625,0.0,2,8,16
haggling_multi_item/fruitville_multi,Multi-item: fruitville,haggling_multi_item,joint_psrl_uniform,5,20,0.3390442890442895,0.0494536029805389,0.005958041958041971,0.0026448156865893436,0.7578806732201786,0.09475468742454439,2,8,16
haggling_multi_item/fruitville_multi,Multi-item: fruitville,haggling_multi_item,map_type_greedy,5,20,0.16186480186480193,0.04008657178785017,0.0,0.0,0.5746777322541317,0.07424240279942391,2,8,16
haggling_multi_item/fruitville_multi,Multi-item: fruitville,haggling_multi_item,pact,5,20,0.46857808857808897,0.03299932087885537,0.00989743589743591,0.005784435709788425,0.9301557538707528,0.021624135333350832,2,8,16
haggling_multi_item/fruitville_multi,Multi-item: fruitville,haggling_multi_item,pact_plus,5,20,0.4712820512820515,0.05589247816636435,0.003909090909090915,0.00357793975530081,0.9281946519655125,0.02114799715497994,2,8,16
haggling_multi_item/fruitville_multi,Multi-item: fruitville,haggling_multi_item,psrl_notype,5,20,1.6554312354312362,0.16552533393248697,0.09751748251748257,0.021808010574206664,0.0625,0.0,2,8,16
haggling_multi_item/fruitville_multi,Multi-item: fruitville,haggling_multi_item,random,5,20,9.503846153846155,0.545165289988266,0.480925407925408,0.057902609988389,0.0625,0.0,2,8,16
haggling_multi_item/vegbrooke,Multi-item: vegbrooke,haggling_multi_item,atom_tom1,5,20,5.204795204795206,1.4097486565002155,0.26023976023976025,0.07048743282501074,0.0625,0.0,2,8,16
haggling_multi_item/vegbrooke,Multi-item: vegbrooke,haggling_multi_item,econ_bne,5,20,0.7338661338661332,0.45375342397418145,0.03669330669330666,0.02268767119870907,0.0625,0.0,2,8,16
haggling_multi_item/vegbrooke,Multi-item: vegbrooke,haggling_multi_item,joint_psrl_uniform,5,20,0.40871128871128876,0.04971191386343605,0.003543123543123547,0.0024026291331888396,0.735453250996245,0.13235457649228627,2,8,16
haggling_multi_item/vegbrooke,Multi-item: vegbrooke,haggling_multi_item,map_type_greedy,5,20,0.09584748584748584,0.03482990219837061,0.0,0.0,0.6267167837545007,0.06628855835777747,2,8,16
haggling_multi_item/vegbrooke,Multi-item: vegbrooke,haggling_multi_item,pact,5,20,0.40583083583083585,0.09768024080706793,0.010159507159507164,0.005458734262979256,0.904968074691368,0.026252831397866588,2,8,16
haggling_multi_item/vegbrooke,Multi-item: vegbrooke,haggling_multi_item,pact_plus,5,20,0.4321711621711623,0.10166300347975728,0.004153846153846162,0.0035228101293419208,0.9078248950306586,0.02815633663417949,2,8,16
haggling_multi_item/vegbrooke,Multi-item: vegbrooke,haggling_multi_item,psrl_notype,5,20,1.5075890775890781,0.06804361234885759,0.09101964701964704,0.01583884428440382,0.0625,0.0,2,8,16
haggling_multi_item/vegbrooke,Multi-item: vegbrooke,haggling_multi_item,random,5,20,9.758795371295369,0.7610224021485156,0.485604229104229,0.04922553962442499,0.0625,0.0,2,8,16
pub/london,Pub: london,pub,atom_tom1,5,20,1.4178258991290456,1.4178258991290453,0.07089129495645227,0.07089129495645227,0.00390625,0.0,4,16,256
pub/london,Pub: london,pub,econ_bne,5,20,3.9178258991290456,2.54714505011587,0.19589129495645227,0.12735725250579352,0.00390625,0.0,4,16,256
pub/london,Pub: london,pub,joint_psrl_uniform,5,20,0.0547884817508832,0.0547884817508832,0.0,0.0,0.10739985252906836,0.039150743895025625,4,16,256
pub/london,Pub: london,pub,map_type_greedy,5,20,0.0547884817508832,0.0547884817508832,0.0,0.0,0.6143572542500875,0.05150469790057368,4,16,256
pub/london,Pub: london,pub,pact,5,20,0.03578156638293919,0.03578156638293919,0.0,0.0,0.6167808281601317,0.050747619221641074,4,16,256
pub/london,Pub: london,pub,pact_plus,5,20,0.03578156638293919,0.03578156638293919,0.0,0.0,0.6167808281601317,0.050747619221641074,4,16,256
pub/london,Pub: london,pub,psrl_notype,5,20,0.618331818098236,0.4774425029786128,0.02370447101950024,0.021537898260388422,0.00390625,0.0,4,16,256
pub/london,Pub: london,pub,random,5,20,29.168430702515174,1.719079637619907,1.5717968627359893,0.1555632871794202,0.00390625,0.0,4,16,256
pub/london_mini,Pub: london_mini,pub,atom_tom1,5,20,0.0,0.0,0.0,0.0,0.0625,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,econ_bne,5,20,1.4090909090909076,1.4090909090909074,0.07045454545454541,0.0704545454545454,0.0625,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,joint_psrl_uniform,5,20,0.03739561802397686,0.03739561802397686,0.0037395618023976862,0.0037395618023976862,0.42915006435700215,0.1447195080537508,2,8,16
pub/london_mini,Pub: london_mini,pub,map_type_greedy,5,20,0.03739561802397686,0.03739561802397686,0.0,0.0,0.6555462526303243,0.09807513673892987,2,8,16
pub/london_mini,Pub: london_mini,pub,pact,5,20,0.0,0.0,0.0,0.0,0.6344872173755747,0.0997282253158128,2,8,16
pub/london_mini,Pub: london_mini,pub,pact_plus,5,20,0.07479123604795372,0.07479123604795372,0.0,0.0,0.6696595360139282,0.09947859314234912,2,8,16
pub/london_mini,Pub: london_mini,pub,psrl_notype,5,20,0.03739561802397686,0.03739561802397686,0.0037395618023976862,0.0037395618023976862,0.0625,0.0,2,8,16
pub/london_mini,Pub: london_mini,pub,random,5,20,16.35141932623743,1.9866463273618729,0.7692330226615056,0.12627833040615222,0.0625,0.0,2,8,16
