model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,true_types
analytic-mixed,0.0,40000,pact_factored,1,0.018525916650308005,0.018525916650308005,124,99,1.342339859097794,1.360865775748102,0.6661001272742945,3|2|3
analytic-mixed,0.0,40000,pact_factored,2,0.0,0.018525916650308005,99,99,1.360865775748102,1.360865775748102,0.7966253990535064,3|2|3
analytic-mixed,0.0,40000,pact_factored,3,0.018525916650308005,0.03705183330061601,124,99,1.342339859097794,1.360865775748102,0.8955457248832617,3|2|3
analytic-mixed,0.0,40000,pact_factored,4,0.018525916650308005,0.055577749950924016,124,99,1.342339859097794,1.360865775748102,0.9420123522972214,3|2|3
analytic-mixed,0.0,40000,pact_factored,5,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9667999476646916,3|2|3
analytic-mixed,0.0,40000,pact_factored,6,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9807899702306274,3|2|3
analytic-mixed,0.0,40000,pact_factored,7,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9885785448180114,3|2|3
analytic-mixed,0.0,40000,pact_factored,8,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9929688341054838,3|2|3
analytic-mixed,0.0,40000,pact_factored,9,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9955134165666436,3|2|3
analytic-mixed,0.0,40000,pact_factored,10,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9970417934889668,3|2|3
analytic-mixed,0.0,40000,pact_factored,11,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9979951884438085,3|2|3
analytic-mixed,0.0,40000,pact_factored,12,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9986115804669439,3|2|3
analytic-mixed,0.0,40000,pact_factored,13,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9990226752901492,3|2|3
analytic-mixed,0.0,40000,pact_factored,14,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9993038601609073,3|2|3
analytic-mixed,0.0,40000,pact_factored,15,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9994999663238003,3|2|3
analytic-mixed,0.0,40000,pact_factored,16,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9996387206780893,3|2|3
analytic-mixed,0.0,40000,pact_factored,17,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9997379179738924,3|2|3
analytic-mixed,0.0,40000,pact_factored,18,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9998093543006566,3|2|3
analytic-mixed,0.0,40000,pact_factored,19,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9998610594795551,3|2|3
analytic-mixed,0.0,40000,pact_factored,20,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9998986134560132,3|2|3
analytic-mixed,0.0,40000,pact_factored,21,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9999259538466473,3|2|3
analytic-mixed,0.0,40000,pact_factored,22,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9999458903888225,3|2|3
analytic-mixed,0.0,40000,pact_factored,23,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9999604438246547,3|2|3
analytic-mixed,0.0,40000,pact_factored,24,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9999710754215068,3|2|3
analytic-mixed,0.0,40000,pact_factored,25,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9999788458507144,3|2|3
analytic-mixed,0.0,40000,pact_factored,26,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9999845269852475,3|2|3
analytic-mixed,0.0,40000,pact_factored,27,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9999886815119936,3|2|3
analytic-mixed,0.0,40000,pact_factored,28,0.0,0.055577749950924016,99,99,1.360865775748102,1.360865775748102,0.9999917201065633,3|2|3
