model,alpha,algorithm,seeds,cumulative_regret_mean,cumulative_regret_sem,posterior_true_mass_mean,posterior_true_mass_sem,regret_gap_vs_joint
analytic-mixed,0.0,joint_psrl_coupled,10,0.0054708608040695324,0.003923287830072426,0.9997070352094074,0.0002929640729612422,0.0
analytic-mixed,0.0,pact_factored,10,0.007029172890099011,0.005588972029274747,0.9998563291904228,0.00014367057036684814,0.0015583120860294787
analytic-mixed,0.0,psrl_notype,10,1.075077477488476,0.16072587983528894,0.015625,0.0,1.0696066166844065
analytic-mixed,0.25,joint_psrl_coupled,10,0.0021981494468600316,0.0021981494468600316,0.9999999996460724,8.897040398689403e-11,0.0
analytic-mixed,0.25,pact_factored,10,0.027891263323422268,0.013879603387700995,0.9999999997827522,6.408686331402187e-11,0.025693113876562236
analytic-mixed,0.25,psrl_notype,10,1.2574300286286302,0.19451309680692314,0.015625,0.0,1.2552318791817703
analytic-mixed,0.5,joint_psrl_coupled,10,0.020621448264951225,0.011354429132816226,0.9990619559282523,0.0008852622751799555,0.0
analytic-mixed,0.5,pact_factored,10,0.03448417087186604,0.015116789019063746,0.9999374259827517,6.214262426244702e-05,0.013862722606914814
analytic-mixed,0.5,psrl_notype,10,3.7349975999135587,0.5403120901601984,0.015625,0.0,3.7143761516486076
analytic-mixed,1.0,joint_psrl_coupled,10,0.14534152739531364,0.055783982744098376,0.9996476664508149,0.0003047368333314844,0.0
analytic-mixed,1.0,pact_factored,10,0.22196443423758244,0.07632622601142053,0.9999430839236576,4.305702468550751e-05,0.0766229068422688
analytic-mixed,1.0,psrl_notype,10,17.089751066391692,1.8827884058786089,0.015625,0.0,16.94440953899638
analytic-mixed,2.0,joint_psrl_coupled,10,0.665422458690752,0.12498099831285048,0.999649195158843,0.0003268076020199005,0.0
analytic-mixed,2.0,pact_factored,10,0.7837079223601622,0.14190647168718243,0.9999407268859007,4.975236019943812e-05,0.11828546366941017
analytic-mixed,2.0,psrl_notype,10,27.890273954674694,1.7912715660666272,0.015625,0.0,27.22485149598394
analytic-mixed,4.0,joint_psrl_coupled,10,0.5836829614332454,0.14637663645292062,0.9986735198860494,0.0006719133761351932,0.0
analytic-mixed,4.0,pact_factored,10,1.2663492294369003,0.3353964078435668,0.9992047806806005,0.00057378782614265,0.6826662680036549
analytic-mixed,4.0,psrl_notype,10,44.17237153333536,4.333659287283365,0.015625,0.0,43.58868857190211
