model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,true_types
DeepSeek-V3.2-live,0.0,40000,pact_factored,1,0.0,0.0,13,13,2.85,2.85,0.4067971430183621,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,2,0.0,0.0,13,13,2.85,2.85,0.4955631940551574,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,3,1.85,1.85,26,13,1.0,2.85,0.9917625854561218,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,4,0.0,1.85,13,13,2.85,2.85,0.998587566337246,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,5,0.0,1.85,13,13,2.85,2.85,0.9997572695900075,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,6,0.0,1.85,13,13,2.85,2.85,0.9999581958455107,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,7,0.0,1.85,13,13,2.85,2.85,0.9999927945211663,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,8,0.0,1.85,13,13,2.85,2.85,0.9999987577375792,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,9,0.0,1.85,13,13,2.85,2.85,0.9999997858117499,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,10,0.0,1.85,13,13,2.85,2.85,0.9999999630686932,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,11,0.0,1.85,13,13,2.85,2.85,0.9999999936313904,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,12,0.0,1.85,13,13,2.85,2.85,0.9999999989010561,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,13,0.0,1.85,13,13,2.85,2.85,0.9999999998096655,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,14,0.0,1.85,13,13,2.85,2.85,0.9999999999663337,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,15,0.0,1.85,13,13,2.85,2.85,0.9999999999933505,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,16,0.0,1.85,13,13,2.85,2.85,0.9999999999980118,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,17,0.0,1.85,13,13,2.85,2.85,0.999999999998818,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,18,0.0,1.85,13,13,2.85,2.85,0.999999999998959,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,19,0.0,1.85,13,13,2.85,2.85,0.9999999999989851,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,20,0.0,1.85,13,13,2.85,2.85,0.9999999999989909,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,21,0.0,1.85,13,13,2.85,2.85,0.9999999999989931,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,22,0.0,1.85,13,13,2.85,2.85,0.9999999999989945,3|2|3
DeepSeek-V3.2-live,0.0,40000,pact_factored,23,0.0,1.85,13,13,2.85,2.85,0.9999999999989955,3|2|3
