seed,n,lambda,events,joint_entries,factored_entries,storage_ratio,oracle_utility,source_scheme,environment_index,evidence_stream,driver_reject_penalty,tracker,utility,max_tv,update_wallclock_s,wallclock,mean_update_us,p95_update_us,peak_mem_bytes,peak_mem,belief_entries,snapshots,assignments,served,driver_rejects,passenger_rejects,sampling_rng_seed
0,2,0.0,42,256,32,8.0,-7.379999999999999,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-8.879999999999999,4.970636506847387e-16,0.0002736,0.0002736,6.514285714285715,11.424999999999994,256,256,32,31,42,15,18,9,130000
0,2,0.0,42,256,32,8.0,-7.379999999999999,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-7.379999999999999,4.970636506847387e-16,0.0003561,0.0003561,8.478571428571428,15.869999999999989,2048,2048,256,31,42,15,17,10,240000
1,2,0.0,44,256,32,8.0,-8.96,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-12.549999999999997,6.664061424721564e-16,0.0003711,0.0003711,8.43409090909091,11.025000000000004,256,256,32,37,44,15,21,8,130001
1,2,0.0,44,256,32,8.0,-8.96,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-8.96,6.664061424721564e-16,0.0005845,0.0005845,13.284090909090908,18.970000000000002,2048,2048,256,37,44,16,20,8,240001
2,2,0.0,27,256,32,8.0,38.949999999999996,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,factored,33.239999999999995,6.661338147750939e-16,0.000312,0.000312,11.555555555555557,20.509999999999998,256,256,32,20,27,19,2,6,130002
2,2,0.0,27,256,32,8.0,38.949999999999996,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,joint,38.68999999999999,6.661338147750939e-16,0.0004704,0.0004704,17.422222222222224,34.89999999999999,2048,2048,256,20,27,21,1,5,240002
3,2,0.0,42,256,32,8.0,-19.740000000000002,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-25.450000000000003,7.806942334832554e-16,0.0002962,0.0002962,7.052380952380952,10.874999999999998,256,256,32,35,42,13,24,5,130003
3,2,0.0,42,256,32,8.0,-19.740000000000002,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-19.740000000000002,7.806942334832554e-16,0.0004187,0.0004187,9.969047619047618,19.814999999999984,2048,2048,256,35,42,14,22,6,240003
4,2,0.0,42,256,32,8.0,-25.690000000000005,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-25.690000000000005,3.55862314312368e-16,0.0002551,0.0002551,6.0738095238095235,8.485,256,256,32,33,42,12,23,7,130004
4,2,0.0,42,256,32,8.0,-25.690000000000005,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-25.690000000000005,3.55862314312368e-16,0.000338,0.000338,8.047619047619047,11.3,2048,2048,256,33,42,12,23,7,240004
5,2,0.0,37,256,32,8.0,-5.590000000000001,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-5.590000000000001,4.718600866526625e-16,0.0002702,0.0002702,7.302702702702702,11.47999999999999,256,256,32,29,37,15,15,7,130005
5,2,0.0,37,256,32,8.0,-5.590000000000001,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-5.590000000000001,4.718600866526625e-16,0.0003747,0.0003747,10.127027027027026,19.059999999999995,2048,2048,256,29,37,15,15,7,240005
6,2,0.0,37,256,32,8.0,7.049999999999997,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,factored,6.449999999999999,2.8119251859378886e-16,0.0002347,0.0002347,6.343243243243243,8.319999999999995,256,256,32,31,37,16,12,9,130006
6,2,0.0,37,256,32,8.0,7.049999999999997,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,joint,6.449999999999999,2.8119251859378886e-16,0.0003223,0.0003223,8.710810810810809,11.679999999999987,2048,2048,256,31,37,16,12,9,240006
7,2,0.0,48,256,32,8.0,-22.92,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-22.92,3.3306690738754696e-16,0.0005756,0.0005756,11.991666666666665,22.439999999999994,256,256,32,37,48,15,28,5,130007
7,2,0.0,48,256,32,8.0,-22.92,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-22.92,3.3306690738754696e-16,0.0009124,0.0009124,19.008333333333333,35.235,2048,2048,256,37,48,15,28,5,240007
8,2,0.0,36,256,32,8.0,5.959999999999998,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,factored,3.7199999999999998,3.612561638721701e-16,0.0002683,0.0002683,7.452777777777778,12.725,256,256,32,30,37,17,16,4,130008
8,2,0.0,36,256,32,8.0,5.959999999999998,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,joint,5.959999999999998,3.612561638721701e-16,0.000386,0.000386,10.722222222222223,18.8,2048,2048,256,30,37,18,16,3,240008
