n,lambda,tracker,seeds,utility_mean,utility_sem,max_tv,mean_update_us,p95_update_us,peak_mem_bytes,belief_entries,joint_entries,factored_entries,storage_ratio,events_mean
2,0.0,factored,10,-8.460000000000003,6.02813532989726,7.806942334832554e-16,8.046651304551304,13.594499999999996,256,32,256,32,8.0,40.5
2,0.0,joint,10,-6.6110000000000015,6.327344615941895,7.806942334832554e-16,11.621994461994463,21.43999999999999,2048,256,256,32,8.0,40.5
2,0.5,factored,10,-42.92399999999999,8.368732308088509,7.806942334832554e-16,6.920886613886614,10.097499999999998,256,32,256,32,8.0,40.5
2,0.5,joint,10,-43.307,8.439038788076912,7.806942334832554e-16,9.655550152750152,14.794499999999994,2048,256,256,32,8.0,40.5
2,1.0,factored,10,-52.488,8.598211028399387,7.806942334832554e-16,7.735948487773489,12.726999999999997,256,32,256,32,8.0,40.5
2,1.0,joint,10,-52.374,9.375270330917278,7.806942334832554e-16,10.838381143481143,18.959999999999994,2048,256,256,32,8.0,40.5
3,0.0,factored,10,-7.481000000000002,8.16111545344412,2.4702462297909733e-15,7.9824476104072515,15.421499999999995,384,48,4096,48,85.33333333333333,54.2
3,0.0,joint,10,-6.150000000000001,7.817737666500597,2.4702462297909733e-15,30.560198496788935,51.518499999999996,32768,4096,4096,48,85.33333333333333,54.2
3,0.5,factored,10,-53.485,6.622575908713063,2.4702462297909733e-15,7.335505910367495,11.421999999999997,384,48,4096,48,85.33333333333333,54.2
3,0.5,joint,10,-56.524,7.282729067229308,2.4702462297909733e-15,29.432721103377833,42.12349999999999,32768,4096,4096,48,85.33333333333333,54.2
3,1.0,factored,10,-57.15,7.628500362310917,2.4702462297909733e-15,8.430937684845976,14.33349999999999,384,48,4096,48,85.33333333333333,54.2
3,1.0,joint,10,-58.739,7.084174295176852,2.4702462297909733e-15,31.547772688531403,48.05699999999999,32768,4096,4096,48,85.33333333333333,54.2
4,0.0,factored,10,-7.141000000000001,8.332525487509773,2.5479618415147343e-14,9.531591227546398,15.052499999999998,512,64,65536,64,1024.0,61.5
4,0.0,joint,10,-8.516000000000002,9.015388350543258,2.5479618415147343e-14,560.1217654853374,782.5584999999999,524288,65536,65536,64,1024.0,61.5
4,0.5,factored,10,-59.28099999999999,9.497574011878566,2.5479618415147343e-14,8.630586521141693,13.472999999999999,512,64,65536,64,1024.0,61.5
4,0.5,joint,10,-56.65200000000001,10.910911948849902,2.5479618415147343e-14,540.5828763637535,737.5929999999998,524288,65536,65536,64,1024.0,61.5
4,1.0,factored,10,-60.362,8.603949842304338,2.5479618415147343e-14,8.926903958516128,15.567499999999999,512,64,65536,64,1024.0,61.5
4,1.0,joint,10,-60.733999999999995,9.533526944420935,2.5479618415147343e-14,536.1559641838666,738.735,524288,65536,65536,64,1024.0,61.5
6,0.0,factored,10,9.717000000000002,11.338639253063443,nan,7.091275282184219,10.873499999999996,768,96,16777216,96,174762.66666666666,63.0
6,0.5,factored,10,-30.116999999999997,12.47433757314948,nan,8.13846674632301,13.171999999999997,768,96,16777216,96,174762.66666666666,63.0
6,1.0,factored,10,-29.022,10.041519672506414,nan,8.938503108070035,14.236499999999998,768,96,16777216,96,174762.66666666666,63.0
8,0.0,factored,10,20.907000000000004,11.200364979172182,nan,7.727634405044611,13.377499999999994,1024,128,4294967296,128,33554432.0,65.6
8,0.5,factored,10,-16.694,12.88914428674163,nan,8.296681128597248,14.495999999999995,1024,128,4294967296,128,33554432.0,65.6
8,1.0,factored,10,-15.617999999999999,11.220225963262358,nan,8.207675425143233,13.307499999999996,1024,128,4294967296,128,33554432.0,65.6
