pax,pos,t,event,veh_id
0,44976029,0,STARTS_DAY,
0,44976029,0,REQUESTS_RIDE,
0,44976029,109,RECEIVES_OFFER,
0,44976029,109,ACCEPTS_OFFER,
0,44976029,129,ARRIVES_AT_PICKUP,3.0
0,44976029,239,MEETS_DRIVER_AT_PICKUP,3.0
0,44976029,269,DEPARTS_FROM_PICKUP,3.0
0,1430378800,471,ARRIVES_AT_DROPOFF,3.0
0,1430378800,481,SETS_OFF_FOR_DEST,
0,1430378800,481,ARRIVES_AT_DEST,
1,522125137,0,STARTS_DAY,
1,522125137,33,REQUESTS_RIDE,
1,522125137,109,RECEIVES_OFFER,
1,522125137,109,ACCEPTS_OFFER,
1,522125137,129,ARRIVES_AT_PICKUP,2.0
1,522125137,213,MEETS_DRIVER_AT_PICKUP,2.0
1,522125137,243,DEPARTS_FROM_PICKUP,2.0
1,4290089790,482,ARRIVES_AT_DROPOFF,2.0
1,4290089790,492,SETS_OFF_FOR_DEST,
1,4290089790,492,ARRIVES_AT_DEST,
2,1631846303,0,STARTS_DAY,
2,1631846303,256,REQUESTS_RIDE,
2,1631846303,349,RECEIVES_OFFER,
2,1631846303,349,REJECTS_OFFER,
3,45013245,0,STARTS_DAY,
3,45013245,501,REQUESTS_RIDE,
3,45013245,589,RECEIVES_OFFER,
3,45013245,589,ACCEPTS_OFFER,
3,45013245,609,ARRIVES_AT_PICKUP,1.0
3,45013245,786,MEETS_DRIVER_AT_PICKUP,1.0
3,45013245,816,DEPARTS_FROM_PICKUP,1.0
3,1430378814,1053,ARRIVES_AT_DROPOFF,1.0
3,1430378814,1063,SETS_OFF_FOR_DEST,
3,1430378814,1063,ARRIVES_AT_DEST,
4,45009475,0,STARTS_DAY,
4,45009475,564,REQUESTS_RIDE,
4,45009475,589,RECEIVES_OFFER,
4,45009475,589,ACCEPTS_OFFER,
4,45009475,609,ARRIVES_AT_PICKUP,2.0
4,45009475,710,MEETS_DRIVER_AT_PICKUP,2.0
4,45009475,740,DEPARTS_FROM_PICKUP,2.0
4,45028722,926,ARRIVES_AT_DROPOFF,2.0
4,45028722,936,SETS_OFF_FOR_DEST,
4,45028722,936,ARRIVES_AT_DEST,
5,45007582,0,STARTS_DAY,
5,45007582,707,REQUESTS_RIDE,
5,45007582,709,RECEIVES_OFFER,
5,45007582,722,REJECTS_OFFER,
6,44987282,0,STARTS_DAY,
6,44987282,974,REQUESTS_RIDE,
6,44987282,1069,RECEIVES_OFFER,
6,44987282,1069,ACCEPTS_OFFER,
6,44987282,1089,ARRIVES_AT_PICKUP,3.0
6,44987282,1311,MEETS_DRIVER_AT_PICKUP,3.0
6,44987282,1341,DEPARTS_FROM_PICKUP,3.0
6,44974670,1518,ARRIVES_AT_DROPOFF,3.0
6,44974670,1528,SETS_OFF_FOR_DEST,
6,44974670,1528,ARRIVES_AT_DEST,
7,560171623,0,STARTS_DAY,
7,560171623,1003,REQUESTS_RIDE,
7,560171623,1069,RECEIVES_OFFER,
7,560171623,1069,IS_REJECTED_BY_VEHICLE,
7,560171623,1189,RECEIVES_OFFER,
7,560171623,1189,ACCEPTS_OFFER,
7,560171623,1209,ARRIVES_AT_PICKUP,1.0
7,560171623,1418,MEETS_DRIVER_AT_PICKUP,1.0
7,560171623,1448,DEPARTS_FROM_PICKUP,1.0
7,44992623,1517,ARRIVES_AT_DROPOFF,1.0
7,44992623,1527,SETS_OFF_FOR_DEST,
7,44992623,1527,ARRIVES_AT_DEST,
8,1454318509,0,STARTS_DAY,
8,1454318509,1004,REQUESTS_RIDE,
8,1454318509,1069,RECEIVES_OFFER,
8,1454318509,1069,REJECTS_OFFER,
9,45027379,0,STARTS_DAY,
9,45027379,1005,REQUESTS_RIDE,
9,45027379,1069,RECEIVES_OFFER,
9,45027379,1069,IS_REJECTED_BY_VEHICLE,
9,45027379,1620,LOSES_PATIENCE,
9,45027379,1620,LOSES_PATIENCE,
10,44969500,0,STARTS_DAY,
10,44969500,1259,REQUESTS_RIDE,
10,44969500,1309,RECEIVES_OFFER,
10,44969500,1309,IS_REJECTED_BY_VEHICLE,
10,44969500,1549,RECEIVES_OFFER,
10,44969500,1549,ACCEPTS_OFFER,
10,44969500,1569,ARRIVES_AT_PICKUP,3.0
10,44969500,1610,MEETS_DRIVER_AT_PICKUP,3.0
10,44969500,1640,DEPARTS_FROM_PICKUP,3.0
10,45007127,1837,ARRIVES_AT_DROPOFF,3.0
10,45007127,1847,SETS_OFF_FOR_DEST,
10,45007127,1847,ARRIVES_AT_DEST,
11,500966010,0,STARTS_DAY,
11,500966010,1262,REQUESTS_RIDE,
11,500966010,1309,RECEIVES_OFFER,
11,500966010,1309,IS_REJECTED_BY_VEHICLE,
11,500966010,1877,LOSES_PATIENCE,
11,500966010,1877,LOSES_PATIENCE,
12,44993916,0,STARTS_DAY,
12,44993916,1327,REQUESTS_RIDE,
12,44993916,1429,RECEIVES_OFFER,
12,44993916,1429,IS_REJECTED_BY_VEHICLE,
12,44993916,1942,LOSES_PATIENCE,
12,44993916,1942,LOSES_PATIENCE,
13,45011500,0,STARTS_DAY,
13,45011500,1350,REQUESTS_RIDE,
13,45011500,1429,RECEIVES_OFFER,
13,45011500,1429,IS_REJECTED_BY_VEHICLE,
13,45011500,1549,RECEIVES_OFFER,
13,45011500,1549,ACCEPTS_OFFER,
13,45011500,1569,ARRIVES_AT_PICKUP,1.0
13,45011500,1633,MEETS_DRIVER_AT_PICKUP,1.0
13,45011500,1663,DEPARTS_FROM_PICKUP,1.0
13,44974249,1882,ARRIVES_AT_DROPOFF,1.0
13,44974249,1892,SETS_OFF_FOR_DEST,
13,44974249,1892,ARRIVES_AT_DEST,
14,1430378821,0,STARTS_DAY,
14,1430378821,1437,REQUESTS_RIDE,
14,1430378821,1549,RECEIVES_OFFER,
14,1430378821,1549,IS_REJECTED_BY_VEHICLE,
14,1430378821,2052,LOSES_PATIENCE,
14,1430378821,2052,LOSES_PATIENCE,
15,472323867,0,STARTS_DAY,
15,472323867,1479,REQUESTS_RIDE,
15,472323867,1549,RECEIVES_OFFER,
15,472323867,1549,IS_REJECTED_BY_VEHICLE,
15,472323867,2094,LOSES_PATIENCE,
15,472323867,2094,LOSES_PATIENCE,
16,513920005,0,STARTS_DAY,
16,513920005,1525,REQUESTS_RIDE,
16,513920005,1549,RECEIVES_OFFER,
16,513920005,1549,IS_REJECTED_BY_VEHICLE,
16,513920005,2140,LOSES_PATIENCE,
16,513920005,2140,LOSES_PATIENCE,
17,44995668,0,STARTS_DAY,
17,44995668,1594,REQUESTS_RIDE,
17,44995668,1669,RECEIVES_OFFER,
17,44995668,1669,IS_REJECTED_BY_VEHICLE,
17,44995668,2209,LOSES_PATIENCE,
17,44995668,2209,LOSES_PATIENCE,
18,45000375,0,STARTS_DAY,
18,45000375,1683,REQUESTS_RIDE,
18,45000375,1909,RECEIVES_OFFER,
18,45000375,1909,ACCEPTS_OFFER,
18,45000375,1929,ARRIVES_AT_PICKUP,3.0
18,45000375,1954,MEETS_DRIVER_AT_PICKUP,3.0
18,45000375,1984,DEPARTS_FROM_PICKUP,3.0
18,401320325,2193,ARRIVES_AT_DROPOFF,3.0
18,401320325,2203,SETS_OFF_FOR_DEST,
18,401320325,2203,ARRIVES_AT_DEST,
19,411761807,0,STARTS_DAY,
19,411761807,1719,REQUESTS_RIDE,
19,411761807,1789,RECEIVES_OFFER,
19,411761807,1789,ACCEPTS_OFFER,
19,411761807,1809,ARRIVES_AT_PICKUP,2.0
19,411761807,1820,MEETS_DRIVER_AT_PICKUP,2.0
19,411761807,1850,DEPARTS_FROM_PICKUP,2.0
19,44995668,2029,ARRIVES_AT_DROPOFF,2.0
19,44995668,2039,SETS_OFF_FOR_DEST,
19,44995668,2039,ARRIVES_AT_DEST,
20,2634407882,0,STARTS_DAY,
20,2634407882,1732,REQUESTS_RIDE,
20,2634407882,2149,RECEIVES_OFFER,
20,2634407882,2149,ACCEPTS_OFFER,
20,2634407882,2169,ARRIVES_AT_PICKUP,2.0
20,2634407882,2228,MEETS_DRIVER_AT_PICKUP,2.0
20,2634407882,2258,DEPARTS_FROM_PICKUP,2.0
20,4290089182,2467,ARRIVES_AT_DROPOFF,2.0
20,4290089182,2477,SETS_OFF_FOR_DEST,
20,4290089182,2477,ARRIVES_AT_DEST,
21,44969118,0,STARTS_DAY,
21,44969118,1852,REQUESTS_RIDE,
21,44969118,1909,RECEIVES_OFFER,
21,44969118,1909,ACCEPTS_OFFER,
21,44969118,1929,ARRIVES_AT_PICKUP,1.0
21,44969118,1955,MEETS_DRIVER_AT_PICKUP,1.0
21,44969118,1985,DEPARTS_FROM_PICKUP,1.0
21,5040974850,2176,ARRIVES_AT_DROPOFF,1.0
21,5040974850,2186,SETS_OFF_FOR_DEST,
21,5040974850,2186,ARRIVES_AT_DEST,
22,513920005,0,STARTS_DAY,
22,513920005,1876,REQUESTS_RIDE,
22,513920005,2149,RECEIVES_OFFER,
22,513920005,2149,IS_REJECTED_BY_VEHICLE,
22,513920005,2269,RECEIVES_OFFER,
22,513920005,2269,IS_REJECTED_BY_VEHICLE,
22,513920005,2491,LOSES_PATIENCE,
22,513920005,2491,LOSES_PATIENCE,
23,44969118,0,STARTS_DAY,
23,44969118,2123,REQUESTS_RIDE,
23,44969118,2269,RECEIVES_OFFER,
23,44969118,2269,IS_REJECTED_BY_VEHICLE,
23,44969118,2509,RECEIVES_OFFER,
23,44969118,2509,IS_REJECTED_BY_VEHICLE,
23,44969118,2738,LOSES_PATIENCE,
23,44969118,2738,LOSES_PATIENCE,
24,44989725,0,STARTS_DAY,
24,44989725,2182,REQUESTS_RIDE,
24,44989725,2269,RECEIVES_OFFER,
24,44989725,2269,ACCEPTS_OFFER,
24,44989725,2289,ARRIVES_AT_PICKUP,1.0
24,44989725,2357,MEETS_DRIVER_AT_PICKUP,1.0
24,44989725,2387,DEPARTS_FROM_PICKUP,1.0
24,522130896,2545,ARRIVES_AT_DROPOFF,1.0
24,522130896,2555,SETS_OFF_FOR_DEST,
24,522130896,2555,ARRIVES_AT_DEST,
25,510927941,0,STARTS_DAY,
25,510927941,2329,REQUESTS_RIDE,
25,510927941,2389,RECEIVES_OFFER,
25,510927941,2389,ACCEPTS_OFFER,
25,510927941,2409,ARRIVES_AT_PICKUP,3.0
25,510927941,2535,MEETS_DRIVER_AT_PICKUP,3.0
25,510927941,2565,DEPARTS_FROM_PICKUP,3.0
25,44982950,2742,ARRIVES_AT_DROPOFF,3.0
25,44982950,2752,SETS_OFF_FOR_DEST,
25,44982950,2752,ARRIVES_AT_DEST,
26,45023464,0,STARTS_DAY,
26,45023464,2376,REQUESTS_RIDE,
26,45023464,2509,RECEIVES_OFFER,
26,45023464,2509,IS_REJECTED_BY_VEHICLE,
26,45023464,2629,RECEIVES_OFFER,
26,45023464,2629,ACCEPTS_OFFER,
26,45023464,2649,ARRIVES_AT_PICKUP,1.0
26,45023464,2670,MEETS_DRIVER_AT_PICKUP,1.0
26,45023464,2700,DEPARTS_FROM_PICKUP,1.0
26,45019694,2871,ARRIVES_AT_DROPOFF,1.0
26,45019694,2881,SETS_OFF_FOR_DEST,
