time,passenger_id,request_id,rejected,reason,true_type,ptrue,rule_acc,wait_time,travel_time,fare
64.0,1,1,False,accept,0010,0.0625,0.5,106.0,239.0,2.395
64.0,0,0,False,accept,1100,0.0625,0.5,116.0,202.0,2.029
304.0,2,2,True,impatient,1100,0.115,0.605,211.0,161.0,1.613
544.0,3,3,False,accept,1000,0.0625,0.5,224.0,237.0,2.375
664.0,4,4,False,accept,0110,0.0625,0.5,121.0,186.0,1.867
784.0,5,5,True,impatient,1010,0.08098591549295775,0.573943661971831,192.0,24.0,0.24
1024.0,8,8,True,impatient,1111,0.08098591549295775,0.573943661971831,163.0,78.0,0.785
1024.0,6,6,False,accept,0101,0.115,0.605,255.0,177.0,1.774
1024.0,7,7,False,accept,0000,0.19827586206896555,0.6810344827586208,269.0,69.0,0.694
1274.0,10,10,True,impatient,1011,0.115,0.605,220.0,197.0,1.975
1384.0,12,12,True,impatient,1111,0.08098591549295775,0.573943661971831,87.0,43.0,0.437
1504.0,14,14,False,accept,0100,0.0625,0.5,72.0,120.0,1.205
1504.0,13,13,False,accept,1100,0.0625,0.5,84.0,219.0,2.199
1504.0,15,15,False,accept,0111,0.115,0.605,172.0,108.0,1.085
1744.0,18,18,False,accept,1110,0.0625,0.5,11.0,209.0,2.091
1744.0,19,19,False,accept,0100,0.0625,0.5,40.0,179.0,1.79
1864.0,17,17,False,accept,1011,0.0625,0.5,191.0,216.0,2.166
1867.0,21,21,False,accept,0011,0.0625,0.5,22.0,191.0,1.911
2104.0,16,16,True,delay_sensitive,0110,0.08098591549295775,0.5,255.0,70.0,0.702
2104.0,20,20,False,accept,1001,0.0625,0.5,79.0,209.0,2.092
2224.0,24,24,False,accept,0000,0.0625,0.5,88.0,158.0,1.583
2344.0,25,25,False,accept,1000,0.0625,0.5,106.0,177.0,1.778
2479.0,27,27,False,accept,0101,0.115,0.605,254.0,137.0,1.378
2584.0,26,26,False,accept,1010,0.0625,0.5,47.0,171.0,1.716
2584.0,29,29,False,accept,1001,0.0625,0.5,79.0,159.0,1.591
2944.0,28,28,False,accept,0101,0.0625,0.5,11.0,167.0,1.67
2944.0,31,31,True,impatient,1001,0.115,0.605,96.0,76.0,0.762
3064.0,33,33,False,accept,0000,0.115,0.605,85.0,66.0,0.666
3184.0,32,32,False,accept,1011,0.0625,0.5,93.0,136.0,1.365
3304.0,34,34,False,accept,0101,0.0625,0.5,52.0,55.0,0.559
3544.0,36,36,False,accept,1001,0.0625,0.5,18.0,90.0,0.901
3544.0,38,38,False,accept,1001,0.0625,0.5,126.0,164.0,1.645
3904.0,39,39,True,impatient,1010,0.115,0.605,137.0,87.0,0.879
