veh,pos,t,event,paxes
1,1552542881.0,0,STARTS_DAY,[]
1,1552542881.0,0,OPENS_APP,[]
1,1552542881.0,673,RECEIVES_REQUEST,[]
1,1552542881.0,673,REJECTS_REQUEST,[]
1,1552542881.0,913,RECEIVES_REQUEST,[]
1,1552542881.0,913,IS_REJECTED_BY_TRAVELLER,[]
1,1552542881.0,1753,RECEIVES_REQUEST,[]
1,1552542881.0,1753,ACCEPTS_REQUEST,[]
1,1552542881.0,1773,IS_ACCEPTED_BY_TRAVELLER,[]
1,661170896.0,1869,ARRIVES_AT_PICKUP,[]
1,661170896.0,1869,MEETS_TRAVELLER_AT_PICKUP,[]
1,661170896.0,1899,DEPARTS_FROM_PICKUP,[20]
1,1402795348.0,2138,ARRIVES_AT_DROPOFF,[20]
1,1402795348.0,2233,RECEIVES_REQUEST,[]
1,1402795348.0,2233,ACCEPTS_REQUEST,[]
1,1432312436.0,2248,ARRIVES_AT_PICKUP,[]
1,1432312436.0,2253,IS_ACCEPTED_BY_TRAVELLER,[]
1,1432312436.0,2253,MEETS_TRAVELLER_AT_PICKUP,[]
1,1432312436.0,2283,DEPARTS_FROM_PICKUP,[24]
1,510614795.0,2533,ARRIVES_AT_DROPOFF,[24]
1,510614795.0,2593,RECEIVES_REQUEST,[]
1,510614795.0,2593,ACCEPTS_REQUEST,[]
1,510614795.0,2613,IS_ACCEPTED_BY_TRAVELLER,[]
1,44990934.0,2647,ARRIVES_AT_PICKUP,[]
1,44990934.0,2647,MEETS_TRAVELLER_AT_PICKUP,[]
1,44990934.0,2677,DEPARTS_FROM_PICKUP,[27]
1,45009924.0,2849,ARRIVES_AT_DROPOFF,[27]
1,45009924.0,2953,RECEIVES_REQUEST,[]
1,45009924.0,2953,REJECTS_REQUEST,[]
1,45009924.0,2953,RECEIVES_REQUEST,[]
1,45009924.0,2953,REJECTS_REQUEST,[]
1,45009924.0,2953,RECEIVES_REQUEST,[]
1,45009924.0,2953,REJECTS_REQUEST,[]
1,45009924.0,3193,RECEIVES_REQUEST,[]
1,45009924.0,3193,REJECTS_REQUEST,[]
1,45009924.0,3193,RECEIVES_REQUEST,[]
1,45009924.0,3193,REJECTS_REQUEST,[]
1,45009924.0,3193,RECEIVES_REQUEST,[]
1,45009924.0,3193,REJECTS_REQUEST,[]
1,45009924.0,3193,RECEIVES_REQUEST,[]
1,45009924.0,3193,REJECTS_REQUEST,[]
1,45009924.0,10799,ENDS_SHIFT,[]
2,45019694.0,0,STARTS_DAY,[]
2,45019694.0,0,OPENS_APP,[]
2,45019694.0,553,RECEIVES_REQUEST,[]
2,45019694.0,553,ACCEPTS_REQUEST,[]
2,45019694.0,573,IS_ACCEPTED_BY_TRAVELLER,[]
2,45005027.0,607,ARRIVES_AT_PICKUP,[]
2,45005027.0,607,MEETS_TRAVELLER_AT_PICKUP,[]
2,45005027.0,637,DEPARTS_FROM_PICKUP,[4]
2,44980265.0,730,ARRIVES_AT_DROPOFF,[4]
2,44980265.0,793,RECEIVES_REQUEST,[]
2,44980265.0,793,REJECTS_REQUEST,[]
2,44980265.0,913,RECEIVES_REQUEST,[]
2,44980265.0,913,ACCEPTS_REQUEST,[]
2,44980265.0,933,IS_ACCEPTED_BY_TRAVELLER,[]
2,44978609.0,1002,ARRIVES_AT_PICKUP,[]
2,44978609.0,1002,MEETS_TRAVELLER_AT_PICKUP,[]
2,44978609.0,1032,DEPARTS_FROM_PICKUP,[10]
2,44986751.0,1193,ARRIVES_AT_DROPOFF,[10]
2,44986751.0,1873,RECEIVES_REQUEST,[]
2,44986751.0,1873,ACCEPTS_REQUEST,[]
2,44986751.0,1893,IS_ACCEPTED_BY_TRAVELLER,[]
2,44999244.0,1914,ARRIVES_AT_PICKUP,[]
2,44999244.0,1914,MEETS_TRAVELLER_AT_PICKUP,[]
2,44999244.0,1944,DEPARTS_FROM_PICKUP,[21]
2,45007582.0,1997,ARRIVES_AT_DROPOFF,[21]
