sweep,n,m,method,seeds,K,beta,rho_hat,final_regret_mean,final_regret_sem,median_burn_in_all_agents,burn_in_censored_seeds,median_agent_burn_in,storage_entries,storage_theoretical_bytes,storage_allocated_bytes,planner_ms_mean,planner_ms_sem,update_us_per_event_mean,update_us_per_event_sem,planner_feasible,joint_feasible,feasible,cap_rule
s1_population_m4,2,4,oracle,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,0,0,0,0.023639999999999998,0.000839601489590535,0.0,0.0,True,True,True,none
s1_population_m4,2,4,pact,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,8,64,64,0.009711200000000001,0.00031608056404330186,2.9997,0.1294770962638328,True,True,True,none
s1_population_m4,2,4,pact_plus,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,8,64,64,0.028774,0.0009496132785284307,2.9695,0.1237152392425512,True,True,True,none
s1_population_m4,2,4,joint_psrl_uniform,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,16,128,128,0.009711200000000001,0.00031608056404330186,7.174199679866433,0.1461242228514224,True,True,True,none
s1_population_m4,2,4,psrl_notype,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,8,64,64,0.0096624,0.00023531442419977774,0.0,0.0,True,True,True,none
s1_population_m4,3,4,oracle,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,0,0,0,0.041199999999999994,0.0008824133422683648,0.0,0.0,True,True,True,none
s1_population_m4,3,4,pact,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,12,96,96,0.012456,0.00038477639447800715,1.7825333333333333,0.051533280186909634,True,True,True,none
s1_population_m4,3,4,pact_plus,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,12,96,96,0.0424026,0.0007931751636053165,2.1080666666666668,0.05903271807741207,True,True,True,none
s1_population_m4,3,4,joint_psrl_uniform,10,50,0.25,7.294051330375417e-06,0.0,0.0,8.0,0,8.0,64,512,512,0.012456,0.00038477639447800715,7.385133571612338,0.18661100474426642,True,True,True,none
s1_population_m4,3,4,psrl_notype,10,50,0.25,7.294051330375417e-06,0.0,0.0,nan,10,nan,12,96,96,0.0134714,0.00040302633230231757,0.0,0.0,True,True,True,none
