n,m,turn,rho_action,scaled_information,mean_posterior_error,sem_posterior_error,observations
2,8,1,0.015992267610175137,0.015992267610175137,0.8021831858497128,0.0056163022631835645,400
2,8,2,0.015992267610175137,0.031984535220350274,0.7680437199221462,0.006673788403713364,400
2,8,4,0.015992267610175137,0.06396907044070055,0.711601904089346,0.007737384641526228,400
2,8,8,0.015992267610175137,0.1279381408814011,0.6354611882150079,0.009833590880663809,400
2,8,16,0.015992267610175137,0.2558762817628022,0.5286556274138244,0.011125012165796228,400
2,8,32,0.015992267610175137,0.5117525635256044,0.37475326416976273,0.012628650764041882,400
2,8,64,0.015992267610175137,1.0235051270512088,0.18346182895361862,0.011991455605696314,400
2,8,128,0.015992267610175137,2.0470102541024175,0.051258319535273815,0.007519292892493194,400
2,8,256,0.015992267610175137,4.094020508204835,0.004191973877015085,0.0026791787762171174,400
2,8,512,0.015992267610175137,8.18804101640967,9.649901909852821e-08,4.653887950252751e-08,400
2,8,1024,0.015992267610175137,16.37608203281934,1.7177925748512735e-15,1.6892657826974435e-15,400
2,8,2000,0.015992267610175137,31.984535220350274,0.0,0.0,400
3,4,1,0.07433819726669055,0.07433819726669055,0.5114175249528536,0.00909947947156107,600
3,4,2,0.07433819726669055,0.1486763945333811,0.4069497058578385,0.009824053644098349,600
3,4,4,0.07433819726669055,0.2973527890667622,0.2597631306109463,0.010310103750218519,600
3,4,8,0.07433819726669055,0.5947055781335244,0.1277273525770453,0.009035270836801496,600
3,4,16,0.07433819726669055,1.1894111562670489,0.05148983078763235,0.006468311701428686,600
3,4,32,0.07433819726669055,2.3788223125340977,0.009340493096706466,0.0024708730324081427,600
3,4,64,0.07433819726669055,4.757644625068195,0.001432137255794005,0.0011131954698535501,600
3,4,128,0.07433819726669055,9.51528925013639,2.692838435214284e-07,2.456171110766769e-07,600
3,4,256,0.07433819726669055,19.03057850027278,8.820721930646869e-16,8.820721930646869e-16,600
3,4,512,0.07433819726669055,38.06115700054556,0.0,0.0,600
3,4,1024,0.07433819726669055,76.12231400109113,0.0,0.0,600
3,4,2000,0.07433819726669055,148.6763945333811,0.0,0.0,600
3,8,1,0.015992267610175137,0.015992267610175137,0.8141980757365307,0.004102020815373694,600
3,8,2,0.015992267610175137,0.031984535220350274,0.7799282773875509,0.005090798449774429,600
3,8,4,0.015992267610175137,0.06396907044070055,0.7174845759216355,0.006623369003902865,600
3,8,8,0.015992267610175137,0.1279381408814011,0.6393464748085806,0.007779138787276716,600
3,8,16,0.015992267610175137,0.2558762817628022,0.5360508102980354,0.008700203246428393,600
3,8,32,0.015992267610175137,0.5117525635256044,0.37722714908721816,0.009924064801566027,600
3,8,64,0.015992267610175137,1.0235051270512088,0.2003374126859562,0.010322917008080901,600
3,8,128,0.015992267610175137,2.0470102541024175,0.06957273661196839,0.00753200161640878,600
3,8,256,0.015992267610175137,4.094020508204835,0.0059944923874508645,0.002249241760473959,600
3,8,512,0.015992267610175137,8.18804101640967,5.52815685067413e-07,3.01500168329047e-07,600
3,8,1024,0.015992267610175137,16.37608203281934,7.16093850883226e-17,5.2934145013434884e-17,600
3,8,2000,0.015992267610175137,31.984535220350274,0.0,0.0,600
3,16,1,0.0035047535997874135,0.0035047535997874135,0.9097346675908125,0.0020080555927734826,600
3,16,2,0.0035047535997874135,0.007009507199574827,0.8894225695111093,0.0027806868790882255,600
3,16,4,0.0035047535997874135,0.014019014399149654,0.8594331437530666,0.003787115067688975,600
3,16,8,0.0035047535997874135,0.028038028798299308,0.8188427482635435,0.004712422732864099,600
3,16,16,0.0035047535997874135,0.056076057596598616,0.7716995034435642,0.005384255275031895,600
3,16,32,0.0035047535997874135,0.11215211519319723,0.6987729949279236,0.006481367528184584,600
3,16,64,0.0035047535997874135,0.22430423038639447,0.5885609014241943,0.008015883097283245,600
3,16,128,0.0035047535997874135,0.44860846077278893,0.4412032338082449,0.009638021617607365,600
3,16,256,0.0035047535997874135,0.8972169215455779,0.24171407999490668,0.010693344065477601,600
3,16,512,0.0035047535997874135,1.7944338430911557,0.07358888324402518,0.007060796536716043,600
3,16,1024,0.0035047535997874135,3.5888676861823114,0.008807060726416915,0.0024620309108020653,600
3,16,2000,0.0035047535997874135,7.009507199574827,0.0001697707428247941,0.00010596098625803094,600
4,8,1,0.015992267610175137,0.015992267610175137,0.8126824871909677,0.003622937730728806,800
4,8,2,0.015992267610175137,0.031984535220350274,0.7777517544250339,0.004758871470755443,800
4,8,4,0.015992267610175137,0.06396907044070055,0.719930661188923,0.0056121110114320935,800
