cell,gap,target_information,turns,rho_pair,x_exact_information,empirical_mean_root_lr,theoretical_affinity_product,standard_error,standardized_error,y_negative_log_empirical
0,1,0.25,71,0.0035047535997874135,0.24927458419067167,0.7825662207681697,0.7793659424347471,0.0014091024099007546,2.271146732087432,0.2451767329687369
1,1,0.5,142,0.0035047535997874135,0.49854916838134333,0.6088340166466208,0.6074112722272015,0.001793111713315841,0.7934499612343784,0.49620959908328505
2,1,1.0,285,0.0035047535997874135,1.000609246399175,0.3684812937045844,0.3676553802076764,0.0021407196052475206,0.3858111519525578,0.998365331993801
3,1,1.5,427,0.0035047535997874135,1.4991584147805184,0.2250039557852825,0.2233180222331202,0.0020870288058899527,0.8078151807988099,1.4916372956643433
4,1,2.0,570,0.0035047535997874135,2.00121849279835,0.1348156521180554,0.13517047859565112,0.0021634974770321884,-0.1640059585752114,2.003846973609171
5,2,0.25,18,0.013945486661227524,0.2527854938271591,0.7785103447287743,0.7766344568424479,0.001413420155582035,1.3271976339929483,0.25037299976968397
6,2,0.5,36,0.013945486661227524,0.5055709876543182,0.6040288691545758,0.603161079554964,0.001802224680805292,0.48151021837299474,0.5041332855760078
7,2,1.0,71,0.013945486661227524,0.9970983367626831,0.3690189791726647,0.3689484536286688,0.002065492580252064,0.034144661021868784,0.9969072021920344
8,2,1.5,107,0.013945486661227524,1.5026693244170013,0.22489942629487875,0.22253534759080246,0.002178688150395069,1.0850927442955076,1.492101970954408
9,2,2.0,142,0.013945486661227524,1.9941966735253662,0.1351068934743986,0.13612296143498595,0.002438196374877426,-0.41672933774188775,2.00168901034067
10,3,0.25,8,0.031104180927428282,0.25278549382715976,0.7768538179937313,0.7766344568424474,0.0014087303530154174,0.15571549999928064,0.25250308274457206
11,3,0.5,16,0.031104180927428282,0.5055709876543195,0.6041666443425943,0.6031610795549632,0.0018017485370952174,0.5581049557848976,0.5039052178716064
12,3,1.0,32,0.031104180927428282,1.011141975308639,0.3641433392418454,0.3638032878899087,0.002055289768573156,0.16545178063761964,1.0102076997340363
13,3,1.5,47,0.031104180927428282,1.4851147762345636,0.2271538685065038,0.22647634508255282,0.0022060492466702717,0.3071207159013333,1.48212765629659
14,3,2.0,63,0.031104180927428282,1.990685763888883,0.13727324551073355,0.13660171679365496,0.0019850530284271153,0.3382925833526426,1.9857818467349093
