backbone,excluded_persona,variant,seed,cumulative_regret_k20,in_library_reference_regret_k20,regret_degradation,final_entropy,argmax_persona,entropy_trajectory,status
analytic_mixed,altruistic_builder,pact,0,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
analytic_mixed,altruistic_builder,pact,1,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
analytic_mixed,altruistic_builder,pact,2,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
analytic_mixed,altruistic_builder,pact,3,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
analytic_mixed,altruistic_builder,pact,4,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
analytic_mixed,altruistic_builder,pact_plus,0,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
analytic_mixed,altruistic_builder,pact_plus,1,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
analytic_mixed,altruistic_builder,pact_plus,2,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
analytic_mixed,altruistic_builder,pact_plus,3,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
analytic_mixed,altruistic_builder,pact_plus,4,0.0,0.0,0.0,6.101116082825258e-11,conditional_cooperator|conditional_cooperator|conditional_cooperator,0.452786512;0.163480944;0.055120840;0.017677788;0.005509908;0.001686429;0.000509862;0.000152827;0.000045523;0.000013496;0.000003986;0.000001174;0.000000345;0.000000101;0.000000029;0.000000009;0.000000003;0.000000001;0.000000000;0.000000000,completed_offline_outcome_likelihood
