scenario_id,scenario,policy,label,utility,utility_sem,driver_rejects,driver_accept_rate,served
normal_p2,Normal,nearest,Nearest,28.9,8.344519758500187,5.4,0.8224058512293807,19.6
normal_p2,Normal,random,Random,-0.7160000000000009,4.166582052474185,8.8,0.7157520230314348,13.6
normal_p2,Normal,llm,LLM-PACT,31.286,7.762576634082269,4.2,0.8623132586367881,20.2
normal_p2,Normal,llm_belief,LLM-belief,28.268,7.471599159483868,5.2,0.8286558512293807,19.4
normal_p2,Normal,llm_psrl,LLM-PSRL,29.814,7.797324284650473,4.8,0.8407882041705571,19.8
normal_p2,Normal,atom_tom1,A-ToM-1,28.972,8.007449281762579,5.4,0.8224058512293807,19.6
normal_p2,Normal,oracle,Oracle,37.644,6.010497982696608,0.4,0.9885714285714287,20.6
normal_p2,Normal,econ_bne,ECON-BNE,28.810000000000002,7.970105394535258,5.4,0.8224058512293807,19.6
stress_p5,Reject-stress,nearest,Nearest,12.700000000000003,11.829201579143035,5.4,0.8224058512293807,19.6
stress_p5,Reject-stress,random,Random,-27.116000000000003,7.542559645107223,8.8,0.7157520230314348,13.6
stress_p5,Reject-stress,llm,LLM-PACT,18.366000000000003,10.116756199493988,4.2,0.8623132586367881,20.2
stress_p5,Reject-stress,llm_belief,LLM-belief,13.470000000000002,9.943629619007337,5.0,0.8349058512293807,19.4
stress_p5,Reject-stress,llm_psrl,LLM-PSRL,13.766,11.135665045249882,5.0,0.8345382041705571,19.6
stress_p5,Reject-stress,atom_tom0,atom_tom0,12.674000000000001,11.337426339341746,5.4,0.8224058512293807,19.6
stress_p5,Reject-stress,atom_tom1,A-ToM-1,12.768000000000004,11.45813702134863,5.4,0.8224058512293807,19.6
stress_p5,Reject-stress,econ_bne,ECON-BNE,12.482000000000003,11.46636577124592,5.4,0.8224058512293807,19.6
stress_p5,Reject-stress,oracle,Oracle,36.444,5.094358252027435,0.4,0.9885714285714287,20.6
conflict_p5,Conflict-offer,nearest,Nearest,-108.48400000000001,9.624930960791353,24.2,0.22983660130718953,6.8
conflict_p5,Conflict-offer,random,Random,-59.145999999999994,9.613928749475939,13.2,0.5773603330220978,8.8
conflict_p5,Conflict-offer,llm,LLM-PACT,8.786,4.844574903951842,3.2,0.8957220666044196,16.4
conflict_p5,Conflict-offer,llm_belief,LLM-belief,-30.9,4.199757135835356,10.8,0.6538021319638967,13.6
conflict_p5,Conflict-offer,llm_psrl,LLM-PSRL,-32.934000000000005,7.233632973824425,11.2,0.6426972455648926,13.6
conflict_p5,Conflict-offer,atom_tom0,atom_tom0,-49.212,4.714816433330145,13.8,0.5596576408341114,11.6
conflict_p5,Conflict-offer,atom_tom1,A-ToM-1,-42.432,3.213855006063588,12.8,0.5935901027077498,12.6
conflict_p5,Conflict-offer,oracle,Oracle,22.439999999999998,4.719009429954553,1.4,0.9562830687830688,18.6
conflict_p5,Conflict-offer,econ_bne,ECON-BNE,-46.824,8.021142437333975,13.4,0.5750941487706194,11.8
