variant,scenario,seed,utility,rejects,wait,served,llm_calls,cache_hits
atom_tom0,conflict_p5,0,-65.97999999999999,16,129.8,10,20,20
atom_tom0,conflict_p5,1,-46.19999999999999,14,90.0,13,20,20
atom_tom0,conflict_p5,2,-37.82,13,95.46666666666667,15,20,20
atom_tom0,conflict_p5,3,-44.73,12,107.3,10,20,20
atom_tom0,conflict_p5,4,-51.33000000000001,14,98.3,10,20,20
atom_tom1,conflict_p5,0,-40.22,12,120.92307692307692,13,20,20
atom_tom1,conflict_p5,1,-54.18999999999999,15,97.41666666666667,12,20,20
atom_tom1,conflict_p5,2,-34.830000000000005,13,92.6875,16,20,20
atom_tom1,conflict_p5,3,-40.09,12,109.08333333333333,12,20,20
atom_tom1,conflict_p5,4,-42.83000000000001,12,103.3,10,20,20
econ_bne,conflict_p5,0,-76.62,18,123.55555555555556,9,20,20
econ_bne,conflict_p5,1,-43.93999999999999,14,92.42857142857143,14,20,20
econ_bne,conflict_p5,2,-30.41999999999999,12,93.25,16,20,20
econ_bne,conflict_p5,3,-47.33,12,109.22222222222223,9,20,20
econ_bne,conflict_p5,4,-35.81000000000001,11,102.81818181818181,11,20,20
llm,conflict_p5,0,2.6900000000000017,4,120.6875,16,20,20
llm,conflict_p5,1,23.58,2,89.05263157894737,19,20,20
llm,conflict_p5,2,15.750000000000002,3,116.25,20,20,20
llm,conflict_p5,3,5.549999999999998,2,138.92857142857142,14,20,20
llm,conflict_p5,4,-3.6400000000000006,5,101.07692307692308,13,20,20
llm_belief,conflict_p5,0,-35.379999999999995,11,118.3076923076923,13,20,20
llm_belief,conflict_p5,1,-25.980000000000004,10,92.71428571428571,14,20,20
llm_belief,conflict_p5,2,-16.919999999999998,10,96.77777777777777,18,20,20
llm_belief,conflict_p5,3,-40.239999999999995,12,110.33333333333333,12,20,20
llm_belief,conflict_p5,4,-35.98000000000001,11,104.36363636363636,11,20,20
llm_psrl,conflict_p5,0,-33.45,11,121.07142857142857,14,20,20
llm_psrl,conflict_p5,1,-53.83999999999999,15,94.5,12,20,20
llm_psrl,conflict_p5,2,-10.229999999999999,9,98.57894736842105,19,20,20
llm_psrl,conflict_p5,3,-26.76,9,110.5,12,20,20
llm_psrl,conflict_p5,4,-40.390000000000015,12,103.54545454545455,11,20,20
nearest,conflict_p5,0,-132.93,28,123.25,4,0,0
nearest,conflict_p5,1,-118.64,26,94.0,6,0,0
nearest,conflict_p5,2,-76.05000000000001,21,93.21428571428571,14,0,0
nearest,conflict_p5,3,-114.39,25,87.8,5,0,0
nearest,conflict_p5,4,-100.41000000000001,21,198.2,5,0,0
oracle,conflict_p5,0,11.260000000000002,2,123.375,16,0,0
oracle,conflict_p5,1,36.48,0,82.6,20,0,0
oracle,conflict_p5,2,30.29,3,94.625,24,0,0
oracle,conflict_p5,3,15.619999999999997,1,130.5,16,0,0
oracle,conflict_p5,4,18.549999999999997,1,135.0,17,0,0
random,conflict_p5,0,-83.52,17,200.33333333333334,6,0,0
random,conflict_p5,1,-33.29,10,129.15384615384616,13,0,0
random,conflict_p5,2,-59.78999999999999,15,139.91666666666666,12,0,0
random,conflict_p5,3,-42.459999999999994,8,228.0,7,0,0
random,conflict_p5,4,-76.67,16,202.83333333333334,6,0,0
atom_tom1,normal_p2,0,22.07,8,86.47368421052632,19,20,20
atom_tom1,normal_p2,1,40.34,3,55.523809523809526,21,20,20
atom_tom1,normal_p2,2,54.530000000000015,2,72.11111111111111,27,20,20
atom_tom1,normal_p2,3,14.849999999999998,7,81.0,15,20,20
atom_tom1,normal_p2,4,13.069999999999999,7,118.3125,16,20,20
econ_bne,normal_p2,0,22.040000000000003,8,86.63157894736842,19,20,20
econ_bne,normal_p2,1,40.3,3,55.714285714285715,21,20,20
econ_bne,normal_p2,2,54.10000000000001,2,73.70370370370371,27,20,20
econ_bne,normal_p2,3,14.969999999999999,7,80.2,15,20,20
econ_bne,normal_p2,4,12.639999999999997,7,121.0,16,20,20
llm,normal_p2,0,24.14,6,91.36842105263158,19,20,20
llm,normal_p2,1,40.34,3,55.523809523809526,21,20,20
llm,normal_p2,2,57.0,2,73.21428571428571,28,20,20
llm,normal_p2,3,21.310000000000002,4,85.5625,16,20,20
llm,normal_p2,4,13.639999999999999,6,137.41176470588235,17,20,20
llm_belief,normal_p2,0,23.54,7,86.63157894736842,19,20,20
llm_belief,normal_p2,1,40.3,3,55.714285714285715,21,20,20
llm_belief,normal_p2,2,50.73000000000002,2,76.03846153846153,26,20,20
llm_belief,normal_p2,3,14.34,7,84.4,15,20,20
llm_belief,normal_p2,4,12.43,7,122.3125,16,20,20
llm_psrl,normal_p2,0,26.189999999999998,6,94.05,20,20,20
llm_psrl,normal_p2,1,41.839999999999996,2,55.523809523809526,21,20,20
llm_psrl,normal_p2,2,53.260000000000005,2,76.81481481481481,27,20,20
llm_psrl,normal_p2,3,14.71,7,81.93333333333334,15,20,20
llm_psrl,normal_p2,4,13.069999999999999,7,118.3125,16,20,20
nearest,normal_p2,0,20.03,8,83.16666666666667,18,0,0
nearest,normal_p2,1,40.339999999999996,3,55.523809523809526,21,0,0
nearest,normal_p2,2,56.08000000000001,2,76.5,28,0,0
nearest,normal_p2,3,14.970000000000002,7,80.2,15,0,0
nearest,normal_p2,4,13.079999999999998,7,118.25,16,0,0
oracle,normal_p2,0,34.91,0,95.45,20,0,0
oracle,normal_p2,1,44.839999999999996,0,55.523809523809526,21,0,0
oracle,normal_p2,2,57.0,2,73.21428571428571,28,0,0
oracle,normal_p2,3,27.310000000000002,0,85.5625,16,0,0
oracle,normal_p2,4,24.159999999999997,0,140.77777777777777,18,0,0
random,normal_p2,0,4.809999999999999,7,141.26666666666668,15,0,0
random,normal_p2,1,4.769999999999999,8,108.78571428571429,14,0,0
random,normal_p2,2,2.5799999999999974,10,130.75,16,0,0
random,normal_p2,3,1.4400000000000004,6,168.28571428571428,14,0,0
random,normal_p2,4,-17.18,13,174.22222222222223,9,0,0
atom_tom0,stress_p5,0,-1.819999999999998,8,85.89473684210526,19,20,0
atom_tom0,stress_p5,1,31.340000000000003,3,55.523809523809526,21,20,0
atom_tom0,stress_p5,2,48.530000000000015,2,72.11111111111111,27,20,0
atom_tom0,stress_p5,3,-6.030000000000001,7,80.2,15,20,0
atom_tom0,stress_p5,4,-7.9300000000000015,7,118.3125,16,20,0
atom_tom1,stress_p5,0,-1.819999999999998,8,85.89473684210526,19,20,0
atom_tom1,stress_p5,1,31.300000000000004,3,55.714285714285715,21,20,0
atom_tom1,stress_p5,2,48.530000000000015,2,72.11111111111111,27,20,0
atom_tom1,stress_p5,3,-6.030000000000001,7,80.2,15,20,0
atom_tom1,stress_p5,4,-7.960000000000003,7,118.5,16,20,0
econ_bne,stress_p5,0,-2.070000000000001,8,87.21052631578948,19,20,0
econ_bne,stress_p5,1,31.300000000000004,3,55.714285714285715,21,20,0
econ_bne,stress_p5,2,46.71000000000001,2,78.85185185185185,27,20,0
econ_bne,stress_p5,3,-6.870000000000003,7,85.8,15,20,0
econ_bne,stress_p5,4,-7.960000000000003,7,118.5,16,20,0
llm,stress_p5,0,6.139999999999999,6,91.36842105263158,19,20,20
llm,stress_p5,1,31.340000000000003,3,55.523809523809526,21,20,20
llm,stress_p5,2,51.000000000000014,2,73.21428571428571,28,20,20
llm,stress_p5,3,8.989999999999998,4,87.5625,16,20,20
llm,stress_p5,4,-5.640000000000002,6,144.94117647058823,17,20,20
llm_belief,stress_p5,0,3.830000000000001,7,93.35,20,20,20
llm_belief,stress_p5,1,31.340000000000003,3,55.523809523809526,21,20,20
llm_belief,stress_p5,2,47.84,2,74.66666666666667,27,20,20
