model,method,beta,couple_lambda,episodes,final_mean_cumulative_reward,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_cumulative_exploration_cost,final_mean_cumulative_message_cost,final_mean_cumulative_total_information_cost,live_calls,live_parse_ok_rate
DeepSeek-V3.2,live_atom_adaptive_hedge,0.0,0.0,5,14.317669999999998,0.0625,0.5,5.967822916666667,0.0,5.967822916666667,120,1.0
DeepSeek-V3.2,live_atom_tom0,0.0,0.0,5,15.008683333333332,0.0625,0.5,5.226787083333335,0.0,5.226787083333335,120,1.0
DeepSeek-V3.2,live_atom_tom1,0.0,0.0,5,13.4429,0.0625,0.5,7.241707083333334,0.0,7.241707083333334,120,1.0
DeepSeek-V3.2,live_econ_bne,0.0,0.0,5,15.37591,0.0625,0.5,5.151402083333333,0.0,5.151402083333333,120,1.0
DeepSeek-V3.2,live_llm_belief,0.0,0.0,5,16.07708333333333,0.0625,0.5,4.387252083333333,0.0,4.387252083333333,120,1.0
DeepSeek-V3.2,live_llm_greedy,0.0,0.0,5,14.201556666666667,0.0625,0.5,4.99914,0.0,4.99914,120,1.0
Kimi-K2.6,live_atom_adaptive_hedge,0.0,0.0,5,13.303593333333334,0.0625,0.5,7.111830833333333,0.0,7.111830833333333,120,0.875
Kimi-K2.6,live_atom_tom0,0.0,0.0,5,16.711703333333332,0.0625,0.5,3.97452875,0.0,3.97452875,120,1.0
Kimi-K2.6,live_atom_tom1,0.0,0.0,5,13.558183333333332,0.0625,0.5,6.767534166666667,0.0,6.767534166666667,120,0.725
Kimi-K2.6,live_econ_bne,0.0,0.0,5,15.115816666666666,0.0625,0.5,4.6859641666666665,0.0,4.6859641666666665,120,0.5833333333333334
Kimi-K2.6,live_llm_belief,0.0,0.0,5,13.01421,0.0625,0.5,6.494540833333334,0.0,6.494540833333334,120,0.7666666666666667
Kimi-K2.6,live_llm_greedy,0.0,0.0,5,15.495259999999998,0.0625,0.5,4.253724166666666,0.0,4.253724166666666,120,0.9916666666666667
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,0.0,0.0,5,12.424616666666669,0.0625,0.5,7.855938333333333,0.0,7.855938333333333,120,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,0.0,0.0,5,13.590586666666667,0.0625,0.5,6.561985416666667,0.0,6.561985416666667,120,0.9916666666666667
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,0.0,0.0,5,12.984563333333332,0.0625,0.5,7.640346666666668,0.0,7.640346666666668,120,0.9916666666666667
Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,0.0,0.0,5,12.94649,0.0625,0.5,7.423578749999999,0.0,7.423578749999999,120,0.9916666666666667
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,0.0,0.0,5,14.119039999999998,0.0625,0.5,7.469374166666666,0.0,7.469374166666666,120,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,0.0,0.0,5,13.381943333333334,0.0625,0.5,6.618088333333333,0.0,6.618088333333333,120,1.0
gpt-5.4-mini-20260317,live_atom_adaptive_hedge,0.0,0.0,5,12.262519999999999,0.0625,0.5,8.622757916666666,0.0,8.622757916666666,120,1.0
gpt-5.4-mini-20260317,live_atom_tom0,0.0,0.0,5,13.087013333333331,0.0625,0.5,7.527689583333332,0.0,7.527689583333332,120,1.0
gpt-5.4-mini-20260317,live_atom_tom1,0.0,0.0,5,11.574643333333333,0.0625,0.5,8.382464583333332,0.0,8.382464583333332,120,1.0
gpt-5.4-mini-20260317,live_econ_bne,0.0,0.0,5,10.548853333333334,0.0625,0.5,9.424402083333332,0.0,9.424402083333332,120,1.0
gpt-5.4-mini-20260317,live_llm_belief,0.0,0.0,5,10.728720000000001,0.0625,0.5,8.673674166666666,0.0,8.673674166666666,120,1.0
gpt-5.4-mini-20260317,live_llm_greedy,0.0,0.0,5,12.613933333333334,0.0625,0.5,7.162880416666667,0.0,7.162880416666667,120,1.0
