driver_model,method,beta,episodes,final_mean_cumulative_reward,final_mean_true_tuple_posterior,final_mean_rule_marginal_accuracy,final_mean_cumulative_exploration_cost,driver_parse_ok_rate,driver_cache_hit_rate
DeepSeek-V3.2,atom_tom1,0.0,1,0.7878333333333334,0.0625,0.5,0.4042708333333334,1.0,1.0
DeepSeek-V3.2,oracle,0.0,1,1.5436666666666667,1.0,1.0,0.0,1.0,0.5
DeepSeek-V3.2,pact,0.0,1,0.7878333333333334,0.07342405766015155,0.566885693276794,0.2743437500000001,1.0,0.0
DeepSeek-V3.2,pact_plus,0.1,1,0.7878333333333334,0.07342405766015155,0.566885693276794,0.2743437500000001,1.0,1.0
Kimi-K2.6,atom_tom1,0.0,1,1.0292166666666667,0.0625,0.5,0.4042708333333334,0.8333333333333333,1.0
Kimi-K2.6,oracle,0.0,1,1.9021666666666666,1.0,1.0,0.0,1.0,0.5
Kimi-K2.6,pact,0.0,1,1.0292166666666667,0.11094358575052778,0.638849534289508,0.46693958333333346,0.8333333333333333,0.0
Kimi-K2.6,pact_plus,0.1,1,1.0292166666666667,0.11094358575052778,0.638849534289508,0.46693958333333346,0.8333333333333333,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,atom_tom1,0.0,1,1.1463333333333332,0.0625,0.5,0.4042708333333334,1.0,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,oracle,0.0,1,1.9021666666666666,1.0,1.0,0.0,1.0,0.5
Llama-4-Maverick-17B-128E-Instruct-FP8,pact,0.0,1,1.1463333333333332,0.11508624605147606,0.6193752402938864,0.46693958333333346,1.0,0.0
Llama-4-Maverick-17B-128E-Instruct-FP8,pact_plus,0.1,1,1.1463333333333332,0.11508624605147606,0.6193752402938864,0.46693958333333346,1.0,1.0
gpt-5.4-mini-20260317,atom_tom1,0.0,1,1.6304999999999998,0.0625,0.5,0.4042708333333334,1.0,1.0
gpt-5.4-mini-20260317,oracle,0.0,1,1.9021666666666666,1.0,1.0,0.0,1.0,1.0
gpt-5.4-mini-20260317,pact,0.0,1,1.6304999999999998,0.25652045335129037,0.7034409917123935,0.46693958333333346,1.0,1.0
gpt-5.4-mini-20260317,pact_plus,0.1,1,1.6304999999999998,0.25652045335129037,0.7034409917123935,0.46693958333333346,1.0,1.0
