model,method,episodes,final_mean_cumulative_reward,final_mean_cumulative_regret,final_mean_cumulative_exploration_cost,live_parse_ok_rate
DeepSeek-V3.2,live_atom_adaptive_hedge,5,2.9887566666666667,3.174807813722752,3.1178635584607224,0.975
DeepSeek-V3.2,live_atom_tom0,5,3.483683333333333,2.828371087835788,2.8582604194570207,1.0
DeepSeek-V3.2,live_atom_tom1,5,3.2971466666666664,3.145000983237476,3.1353534952332374,0.975
DeepSeek-V3.2,live_econ_bne,5,3.28307,3.1137945592032845,3.1717058090014434,0.975
DeepSeek-V3.2,live_llm_belief,5,3.4816066666666665,2.7523051180280533,3.138465550927636,1.0
DeepSeek-V3.2,live_llm_greedy,5,3.6640333333333333,2.7445618560437537,2.8385864465432538,1.0
Kimi-K2.6,live_atom_adaptive_hedge,5,3.151336666666667,3.102639807041539,3.3315851084825305,0.85
Kimi-K2.6,live_atom_tom0,5,3.2473299999999994,2.710457983383333,2.952354795507646,0.975
Kimi-K2.6,live_atom_tom1,5,3.0087866666666665,3.175529033296049,3.715317574585677,0.725
Kimi-K2.6,live_econ_bne,5,3.8207699999999996,2.621513262518358,3.256645096366565,0.775
Kimi-K2.6,live_llm_belief,5,3.2488166666666665,2.8837949438838284,3.493924433735001,0.875
Kimi-K2.6,live_llm_greedy,5,3.5055699999999996,2.6767206948301454,2.753207966432761,0.975
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_adaptive_hedge,5,3.268436666666666,2.9029293410854597,3.4762097094277324,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom0,5,3.5578833333333337,2.598096022594936,2.870117622303272,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_atom_tom1,5,3.552903333333333,2.8454601190634508,3.2540803682057886,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_econ_bne,5,3.548976666666667,2.7736844639950418,3.411343552571746,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_belief,5,3.1138199999999996,2.754932821821578,3.2139230960514666,1.0
Llama-4-Maverick-17B-128E-Instruct-FP8,live_llm_greedy,5,3.3934733333333336,2.8402304073285434,3.1767533044347744,1.0
gpt-5.4-mini-20260317,live_atom_adaptive_hedge,5,3.56895,2.816004274274155,3.2141803905984454,1.0
gpt-5.4-mini-20260317,live_atom_tom0,5,3.85946,2.968674627501374,3.365893239863511,1.0
gpt-5.4-mini-20260317,live_atom_tom1,5,3.2595666666666667,3.0465239024206103,3.276191477655474,1.0
gpt-5.4-mini-20260317,live_econ_bne,5,3.1744433333333335,2.907554712764707,3.276945898903743,1.0
gpt-5.4-mini-20260317,live_llm_belief,5,4.128333333333333,2.506899003571448,3.095737687718773,1.0
gpt-5.4-mini-20260317,live_llm_greedy,5,3.5255566666666667,2.807366017937329,3.1048838200640434,1.0
