condition,family,value,cumulative_regret_mean,cumulative_regret_sem,true_type_mass_mean,true_type_mass_sem,map_accuracy_mean,map_accuracy_sem,normalized_entropy_mean,normalized_entropy_sem
reference,reference,,0.0016648670667148565,0.0002843693834645707,0.9953437786956019,0.0001499221474137749,1.0,0.0,0.018035495683437108,0.0005627525584940737
temperature_0.5,likelihood_temperature,0.5,0.0016196593643285188,0.0002635859008263454,0.9999050547506086,9.168966970484269e-06,1.0,0.0,0.0005829901732941911,4.279686894375393e-05
temperature_2,likelihood_temperature,2.0,0.0023791548926169388,0.0005144660292193959,0.9583332809865547,0.0010836059785649407,1.0,0.0,0.10673673833078502,0.002430707062254214
temperature_4,likelihood_temperature,4.0,0.0037772175940922305,0.0008361919984122858,0.8595499314613397,0.0023865583326692754,1.0,0.0,0.2751439687289126,0.0037966305032015564
log_noise_0.25,log_likelihood_noise,0.25,0.0016906968790360221,0.0002868906864665801,0.9865244834592957,0.0011551327371838527,0.998,0.0011523841859194563,0.03208994709667305,0.0018279402413067475
log_noise_0.5,log_likelihood_noise,0.5,0.001734895622823665,0.0003098168158955516,0.9531218471489594,0.003972094984581102,0.9626666666666667,0.004891519706716256,0.051431163262208146,0.0029920858440864095
log_noise_1.0,log_likelihood_noise,1.0,0.0047481311918689,0.0017515334202347053,0.873324367318476,0.007834910002629312,0.8819999999999999,0.00855495548882169,0.060621660448621266,0.003295006146539091
top_k_2,top_k,2,0.0016648670667148565,0.0002843693834645707,0.9954147566360326,0.00015187218079015384,1.0,0.0,0.017762708969069407,0.0005704517701750774
top_k_1,top_k,1,0.0019350408541771484,0.0003640999888809166,1.0,0.0,1.0,0.0,7.474338213496566e-14,0.0
calibration_drift_0.02,calibration_drift,0.02,0.16025870086674102,0.014747246243201482,0.944943836948248,0.003341208506030649,0.9766666666666668,0.003807316375431904,0.08143265666872093,0.0035472284897709607
calibration_drift_0.05,calibration_drift,0.05,0.729712780021526,0.036426500426423036,0.699172152559156,0.009363229098343827,0.714,0.011421325278618843,0.1824029982046177,0.005251343658050817
calibration_drift_0.10,calibration_drift,0.1,1.7819085075263603,0.05704928477306198,0.4838734471526883,0.011069495054260572,0.48333333333333334,0.013174572514662872,0.19374262450215426,0.005070362623850845
persona_mix_0.10,persona_mixture,0.1,0.006162452333129519,0.0011049076976861448,0.9871690438569364,0.00048370801190911677,1.0,0.0,0.03850132903903804,0.001288846701971967
persona_mix_0.25,persona_mixture,0.25,0.0,0.0,0.7627147074845347,0.009343640028913962,0.7426666666666666,0.011046510041707128,0.1007559079881412,0.00342366011306304
persona_mix_0.50,persona_mixture,0.5,0.0,0.0,0.3713331108806635,0.005523251925326789,0.5893333333333333,0.012539636556533042,0.3765605922399418,0.005302410727207748
planner_candidates_32,planner_candidates,32,1.4098078315023403,0.02663882906274492,0.9949960772734708,0.0002946790030091928,1.0,0.0,0.018061846975579016,0.0009436088439889247
planner_candidates_8,planner_candidates,8,3.838166960042242,0.06498967941738061,0.9973231583815491,0.00014508311148316426,1.0,0.0,0.011105151111909285,0.0005007947636052833
