backbone,round,mean_true_mass,sem
DeepSeek_V3_2,1,0.46593441145841497,0.06589792907978288
DeepSeek_V3_2,2,0.7393837901176543,0.07140664802963849
DeepSeek_V3_2,3,0.8294125840720343,0.06077392299563585
DeepSeek_V3_2,4,0.8909399628011847,0.05460151751612589
DeepSeek_V3_2,5,0.9024681346573434,0.052985036274642655
DeepSeek_V3_2,6,0.9083417987206857,0.05238387605634219
DeepSeek_V3_2,7,0.9111875534940524,0.05215553785863042
DeepSeek_V3_2,8,0.9942120632282422,0.0034727747033070316
DeepSeek_V3_2,9,0.9955944716469811,0.0029135958012014443
DeepSeek_V3_2,10,0.9962436415599084,0.002804530331987937
DeepSeek_V3_2,11,0.9965443710167169,0.0027939189805681985
DeepSeek_V3_2,12,0.9966828033718815,0.0027977865602195574
DeepSeek_V3_2,13,0.9967463403239535,0.0028014077621657334
DeepSeek_V3_2,14,0.9967754629387017,0.0028034544132561966
DeepSeek_V3_2,15,0.9967888032752864,0.0028044729558720067
DeepSeek_V3_2,16,0.9967949124396429,0.002804956369151058
DeepSeek_V3_2,17,0.9967977097676602,0.002805181276734464
DeepSeek_V3_2,18,0.9967989905767615,0.002805285000453793
DeepSeek_V3_2,19,0.9967995770159556,0.0028053326483139344
DeepSeek_V3_2,20,0.996799845533722,0.002805354497992188
Kimi_K2_6,1,0.642990359673509,0.07228019920174185
Kimi_K2_6,2,0.8130581194054859,0.0570380747998391
Kimi_K2_6,3,0.8671765394844295,0.05147244404491239
Kimi_K2_6,4,0.8851674165158745,0.049253676306496505
Kimi_K2_6,5,0.8953823551130168,0.048348865708340995
Kimi_K2_6,6,0.9014674923251101,0.04774062122025495
Kimi_K2_6,7,0.9054301919571903,0.04719217632293041
Kimi_K2_6,8,0.9083195950348825,0.04668635891332081
Kimi_K2_6,9,0.9106463200918465,0.046236677065800195
Kimi_K2_6,10,0.9126502817964408,0.045850985725618104
Kimi_K2_6,11,0.9144427361566984,0.045529709763090044
Kimi_K2_6,12,0.9160756610967039,0.04526877103042021
Kimi_K2_6,13,0.9175743718856262,0.04506190281829941
