backbone,round,mean_true_mass,sem
DeepSeek_V3_2_live,1,0.466784460678002,0.06397718070656458
DeepSeek_V3_2_live,2,0.7614412283910473,0.06159018205885417
DeepSeek_V3_2_live,3,0.8881861835211048,0.034930900314168435
DeepSeek_V3_2_live,4,0.9381250529793234,0.025109305960683965
DeepSeek_V3_2_live,5,0.9754602794887023,0.012817986082844242
DeepSeek_V3_2_live,6,0.9806571440074855,0.010800369599561214
DeepSeek_V3_2_live,7,0.9867944368537744,0.006710674741867643
DeepSeek_V3_2_live,8,0.9888221852287379,0.006172312209333113
DeepSeek_V3_2_live,9,0.9898246651599943,0.006089464599310074
DeepSeek_V3_2_live,10,0.9903237077947151,0.0060934498298484165
DeepSeek_V3_2_live,11,0.9905805306438533,0.006105798822926247
DeepSeek_V3_2_live,12,0.9907204518803657,0.006114906118947366
DeepSeek_V3_2_live,13,0.9908026933818724,0.0061208872198723376
DeepSeek_V3_2_live,14,0.9908552688076672,0.006124950209503066
DeepSeek_V3_2_live,15,0.990891613347552,0.006127898622734043
DeepSeek_V3_2_live,16,0.990918352814079,0.006130165330890373
DeepSeek_V3_2_live,17,0.9909389062065619,0.0061319764207840065
DeepSeek_V3_2_live,18,0.9909551552923103,0.006133455521399402
DeepSeek_V3_2_live,19,0.9909682220351771,0.006134676804736679
DeepSeek_V3_2_live,20,0.9909788345427001,0.0061356899534071455
Kimi_K2_6_live,1,0.5940280024106889,0.07146328527399934
Kimi_K2_6_live,2,0.7042137608004932,0.0625984805347307
Kimi_K2_6_live,3,0.7737464012393177,0.06301877741452494
Kimi_K2_6_live,4,0.7869704265813394,0.061948077629429436
Kimi_K2_6_live,5,0.7947954941449754,0.060328661542092245
Kimi_K2_6_live,6,0.8014293792706322,0.058849722983104875
Kimi_K2_6_live,7,0.8075925020134221,0.057666524240758556
Kimi_K2_6_live,8,0.8133502294710054,0.05679532255656394
Kimi_K2_6_live,9,0.8186670378563387,0.05621032253580669
Kimi_K2_6_live,10,0.8235088764814674,0.055867955335498286
Kimi_K2_6_live,11,0.8278603603089411,0.055717887313817466
Kimi_K2_6_live,12,0.8394947757057792,0.056462116734639085
Kimi_K2_6_live,13,0.8428944930297348,0.056518492412354945
Kimi_K2_6_live,14,0.8458561483615498,0.05664020781734019
