type_count,algorithm,mean_final_cumulative_regret,sem,seeds,input
2,hpsmg,0.19800000000000004,0.13462540622037136,5,results\e1_e4_llm\E2_type2_live.npz
2,hpsmg_plus,0.06200000000000001,0.062000000000000006,5,results\e1_e4_llm\E2_type2_live.npz
3,hpsmg,0.632,0.4938360051677074,5,results\e1_e4_llm\E2_type3_live.npz
3,hpsmg_plus,0.0,0.0,5,results\e1_e4_llm\E2_type3_live.npz
4,hpsmg,0.23200000000000004,0.14207040508142435,5,results\e1_e4_llm\E2_type4_live.npz
4,hpsmg_plus,0.0,0.0,5,results\e1_e4_llm\E2_type4_live.npz
5,hpsmg,0.9199999999999999,0.08916277250063495,5,results\e1_e4_llm\E2_type5_live.npz
5,hpsmg_plus,1.0959999999999999,0.5778806105070491,5,results\e1_e4_llm\E2_type5_live.npz
6,hpsmg,1.2800000000000005,0.2715695122800052,5,results\e1_e4_llm\E2_type6_live.npz
6,hpsmg_plus,0.20000000000000084,0.08191458966508985,5,results\e1_e4_llm\E2_type6_live.npz
