type_count,algorithm,mean_final_cumulative_regret,sem,seeds,input
2,hpsmg,0.4530000000000001,0.20599379710186533,10,results\e1_e4_llm\E2_type2_live_s10.npz
2,hpsmg_plus,0.09300000000000001,0.04735328218121035,10,results\e1_e4_llm\E2_type2_live_s10.npz
3,hpsmg,0.38,0.25473733748924815,10,results\e1_e4_llm\E2_type3_live_s10.npz
3,hpsmg_plus,0.0,0.0,10,results\e1_e4_llm\E2_type3_live_s10.npz
4,hpsmg,0.11600000000000002,0.07733333333333334,10,results\e1_e4_llm\E2_type4_live_s10.npz
4,hpsmg_plus,0.0,0.0,10,results\e1_e4_llm\E2_type4_live_s10.npz
5,hpsmg,0.9099999999999999,0.11004039662273521,10,results\e1_e4_llm\E2_type5_live_s10.npz
5,hpsmg_plus,0.772,0.3214992655944609,10,results\e1_e4_llm\E2_type5_live_s10.npz
6,hpsmg,1.2920000000000003,0.23314182617263485,10,results\e1_e4_llm\E2_type6_live_s10.npz
6,hpsmg_plus,0.33900000000000013,0.1904232128707002,10,results\e1_e4_llm\E2_type6_live_s10.npz
