n,algorithm,storage_entries,mean_final_cumulative_regret,sem,seeds,input
2,hpsmg,8,0.13999999999999996,0.06196773353931863,5,results\e1_e4_llm\E3_n2_live.npz
2,hpsmg_plus,8,2.6879999999999984,0.8996354817369085,5,results\e1_e4_llm\E3_n2_live.npz
2,joint_psrl,16,0.4219999999999999,0.2655635517159687,5,results\e1_e4_llm\E3_n2_live.npz
3,hpsmg,12,0.23200000000000004,0.14207040508142435,5,results\e1_e4_llm\E3_n3_live.npz
3,hpsmg_plus,12,0.0,0.0,5,results\e1_e4_llm\E3_n3_live.npz
3,joint_psrl,64,0.34800000000000003,0.232,5,results\e1_e4_llm\E3_n3_live.npz
4,hpsmg,16,0.10799999999999992,0.10799999999999992,5,results\e1_e4_llm\E3_n4_live.npz
4,hpsmg_plus,16,0.0,0.0,5,results\e1_e4_llm\E3_n4_live.npz
4,joint_psrl,256,0.21599999999999983,0.21599999999999983,5,results\e1_e4_llm\E3_n4_live.npz
5,hpsmg,20,0.8699999999999999,0.587758453788629,5,results\e1_e4_llm\E3_n5_live.npz
5,hpsmg_plus,20,0.27800000000000014,0.27800000000000014,5,results\e1_e4_llm\E3_n5_live.npz
5,joint_psrl,1024,1.252,0.6478842489210552,5,results\e1_e4_llm\E3_n5_live.npz
