n,algorithm,storage_entries,mean_final_cumulative_regret,sem,seeds,input
2,hpsmg,8,0.06999999999999998,0.03738686638082652,10,results\e1_e4_llm\E3_n2_live_s10.npz
2,hpsmg_plus,8,2.961999999999998,0.5445524155977393,10,results\e1_e4_llm\E3_n2_live_s10.npz
2,joint_psrl,16,0.27499999999999986,0.13954887634405685,10,results\e1_e4_llm\E3_n2_live_s10.npz
3,hpsmg,12,0.11600000000000002,0.07733333333333334,10,results\e1_e4_llm\E3_n3_live_s10.npz
3,hpsmg_plus,12,0.0,0.0,10,results\e1_e4_llm\E3_n3_live_s10.npz
3,joint_psrl,64,0.17400000000000002,0.12379373525703508,10,results\e1_e4_llm\E3_n3_live_s10.npz
4,hpsmg,16,0.05399999999999996,0.05399999999999996,10,results\e1_e4_llm\E3_n4_live_s10.npz
4,hpsmg_plus,16,0.0,0.0,10,results\e1_e4_llm\E3_n4_live_s10.npz
4,joint_psrl,256,0.10799999999999992,0.10799999999999992,10,results\e1_e4_llm\E3_n4_live_s10.npz
5,hpsmg,20,0.5959999999999999,0.32886403810017834,10,results\e1_e4_llm\E3_n5_live_s10.npz
5,hpsmg_plus,20,0.13900000000000007,0.13900000000000004,10,results\e1_e4_llm\E3_n5_live_s10.npz
5,joint_psrl,1024,0.626,0.3698924768692173,10,results\e1_e4_llm\E3_n5_live_s10.npz
