experiment,model,family,algorithm,episode_k,n_seeds,cumulative_regret_mean,cumulative_regret_std,cumulative_regret_sem,instant_regret_mean,source
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,5,0.02,0.04472135955,0.02,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,5,0.04,0.0894427191,0.04,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,5,0.06,0.1341640786,0.06,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,4,5,0.08,0.1788854382,0.08,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,5,5,0.1,0.2236067977,0.1,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,6,5,0.12,0.2683281573,0.12,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,7,5,0.14,0.3130495168,0.14,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,8,5,0.16,0.3577708764,0.16,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,9,5,0.18,0.4024922359,0.18,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,10,5,0.2,0.4472135955,0.2,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,11,5,0.22,0.491934955,0.22,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,12,5,0.24,0.5366563146,0.24,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,13,5,0.26,0.5813776741,0.26,0.02,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
